article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000008017;STELLA FRAGRANCE TONKA+MACADAMIA;ароматические свечи;;487;311;https://goldapple.ru/19000008017-tonka-macadamia;432.0;Свеча с нежным сочетанием ароматов сахарной пудры, ванили, гиацинтов, макадамии, бобов тонка и мускуса;
19000190303;STELLA FRAGRANCE Berry + Prosecco;ароматические свечи;Россия;487;355;https://goldapple.ru/19000190303-berry-prosecco;261.12;Ароматическая свеча Stella Fragrance-это уникальная премиальная композиция. Многогранный, глубокий, чувственный аромат, дарящий тепло и уют.;Для того, чтобы свеча работала правильно, необходимо поддерживать высоту фитиля 0,5-0,7 см, подрезая по необходимости. Для достижения необходимого уровня ароматизации, необходимо, чтобы свеча горела не менее 20 мин., но не более 4-х часов. Время горения -60 часов.
19000008016;STELLA FRAGRANCE MACAROON-YUZU;ароматические свечи;;362;213;https://goldapple.ru/19000008016-macaroon-yuzu;261.12;Ароматическая свеча с манящим сочетанием юзу, лимона, грейпфрута, миндаля, имбиря, фисташки. В средних нотах присутствуют: тропические фрукты, персик, мандарин. В основе аромата лежат: ваниль, пралине, бобы тонка, мускус. Объём: 50 мл. ДxШxВ: 55x55x50 мм Вес: 143 г;
19000190304;STELLA FRAGRANCE Spicy Amber;ароматические свечи;Россия;487;355;https://goldapple.ru/19000190304-spicy-amber;137.28;Ароматическая свеча Stella Fragrance-это уникальная премиальная композиция. Многогранный, глубокий, чувственный аромат, дарящий тепло и уют.;Для того, чтобы свеча работала правильно, необходимо поддерживать высоту фитиля 0,5-0,7 см, подрезая по необходимости. Для достижения необходимого уровня ароматизации, необходимо, чтобы свеча горела не менее 20 мин., но не более 4-х часов. Время горения -60 часов.
19000008018;STELLA FRAGRANCE LAVENDER+BASIL;ароматические свечи;;487;355;https://goldapple.ru/19000008018-lavender-basil;114.3;Свеча с пряно-нежным сочетанием ароматов базилика и лаванды с нотами какао, бобов тонка и яблока;
19000008015;STELLA FRAGRANCE CINNAMON-ORANGE;ароматические свечи;;362;213;https://goldapple.ru/19000008015-cinnamon-orange;96.82;Пряно-сладкий, чарующий аромат с композицией из имбиря, корицы, гвоздики, аниса, цитруса, ванили, мускатного ореха и апельсина;
19000190305;STELLA FRAGRANCE Burned Wood;ароматические свечи;Россия;487;350;https://goldapple.ru/19000190305-burned-wood;50.4;Ароматическая свеча Stella Fragrance-это уникальная премиальная композиция. Многогранный, глубокий, чувственный аромат, дарящий тепло и уют.;Для того, чтобы свеча работала правильно, необходимо поддерживать высоту фитиля 0,5-0,7 см, подрезая по необходимости. Для достижения необходимого уровня ароматизации, необходимо, чтобы свеча горела не менее 20 мин., но не более 4-х часов. Время горения -60 часов.
19000146900;PUSY Tobacco-pepper-vanilla;ароматические свечи;;2900;2610;https://goldapple.ru/19000146900-tobacco-pepper-vanilla;37.24;Ароматическая свеча для вашего дома с фирменным парфюмерным ароматом от Илоны Дрожь. Аромасвеча имеет необычный эксклюзивный аромат PÚSY, сочетающий в себе ноты ванили, листьев и цветов табака, смесь перцев, пряностей, дерева и бобов тонка.   Свеча выполнена из натурального соевого воска и помещена в стильный подсвечник ручной работы с выгравированным логотипом бренда, оснащена тонким фитилем из натурального дерева, который потрескивает при горении, будто камин, и создает неповторимую уютную, романтическую атмосферу.  При первом использовании рекомендуется дать ей прогореть в течении не менее 2 часов, чтобы воск равномерно расплавился и принял правильную форму при застывании, после чего потушить фитиль, используя специальный гаситель.   Перед следующим использованием подрежьте фитиль на 2-3 мм для получения красивого ровного пламени и для исключения запаха гари.  30 часов горения.;1 этап: Подожгите фитиль, используя спички.  2 этап: При первом зажжении дайте свече прогореть не менее 2 часов, чтобы верхний слой воска расплавился равномерно, и в дальнейшем свеча сохраняла свой эстетический вид.  3 этап: Потушите свечу при помощи специального гасителя. Дайте остыть воску и стакану.  4 этап: Перед последующими использованиями рекомендуется обрезать фитиль на 2-3 мм для ровного пламени и отсутствия запахи гари.
19000031687;BOOMBLOOM More Coffee Please!;ароматические свечи;;1390;1251;https://goldapple.ru/19000031687-more-coffee-please;26.32;Аромат More Coffee Please! от BOOM BLOOM — узнаваемый запах бодрящего напитка из любимой кофейни. Ничего лишнего: свежемолотое зерно с терпкой и яркой горчинкой, едва уловимые ноты шоколада и ванили. Пространство окутанное этой композицией сразу становится уютнее.  Аромат «Еще кофе, пожалуйста!» из коллекции «Простые радости» довольно стойкий, он будет радовать вас даже после того, как свеча потухнет.;Подрежьте фитиль свечи BoomBloom до 5-6 мм. и оставьте гореть 1-3 часа, пока расплавленный воск не достигнет стенок сосуда. Это позволит избежать образования лунки вокруг фитиля и свеча прослужит дольше.  Не жгите свечу дольше 3 часов подряд, это приводит к перегреванию свечи и ускоренному расходу.  Подрезайте фитиль свечи перед всеми последующими использованиями до 5-6 мм. Именно длинный обугленный фитиль искажает запах любой свечи и делает пламя неровным, а свеча перегревается и прогорает быстрее.  Площадь ароматизации свечи BoomBloom весом 90 гр. - от 10 м², при горении не менее одного часа. Для ароматизации большего пространства используйте несколько свечей. Не бойтесь экспериментировать и использовать разные ароматы одновременно.  Следите за чистотой расплавленного воска, не допускайте нахождения сажи и остатков фитиля внутри бассейна, это испортит аромат свечи BoomBloom.  Не задувайте свечу. Лучше всего накрыть ее блюдцем, крышкой, или специальным тушителем. Весь резкий запах тления появляется от задувания.  Накройте свечу крышкой. Это позволит избежать попадания инородных предметов на поверхность свечи и сохранить соевый воск в исходном виде.  Всегда держите горящую свечу в пределах видимости и вдали от сквозняков. Держите свечу в зоне недосягаемости детей и домашних животных.
19000099008;CASA LEGGERA Milk&Honey;ароматические свечи;;1980;1386;https://goldapple.ru/19000099008-milk-honey;20.64;Ароматическая свеча Milk & honey перенесет в детство, в зимний вечер, когда мама готовила теплое молоко с душистым медом. Аромат взбитых сливок, молока, меда, кокоса, карамели и карибской ванили расслабляет, дарит приятную сладость и погружает в приятные воспоминания. Время горения не менее 30 часов. Оптимальная Температура хранения от +10 до +25 °С.;"Подрезать фитиль при каждом использовании, так свеча не будет ""коптить"". Оптимальная высота фитиля 5мм. - Тушить свечу крышкой. - Не оставлять свечу без присмотра - Держать подальше от солнечных лучей"
