article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
99000079532;METAPHYSICA черный;атомайзер;;3900;3900;https://goldapple.ru/99000079532-cernyj;4.0;Парфюмерный аксессуар METAPHYSICA – это не только современный атрибут стиля, но и ольфакторный акцент, подчеркивающий ваш образ. Чёрный, сияющий кофр атомайзера выполнен в виде футляра губной помады, что придаёт ему игривости и элегантности. Преимущества:  сочетание эстетики и функционала герметичный, самозаправляющийся атомайзер равномерный, мелкодисперсный распылитель металлический кофр защищает парфюм от света и падения тактильно приятный материал и форма  Объем 5мл.;
19000175173;KILIAN PARIS Empty Blue Travel Spray;атомайзер;США;11300;7910;https://goldapple.ru/19000175173-empty-blue-travel-spray;4.0;Дорожный формат Blue Refillable Travel Spray для ароматов KILIAN PARIS позволяет взять с собой любимый парфюм.  Футляр покрыт матовой синей эмалью, украшен гравировкой в виде щита Ахиллеса с обеих сторон и выглядят как истинный предмет роскоши. Килиан Хеннесси говорит: «Аромат — это не только оружие соблазнения, но и защита».  Набор состоит из внешнего синего футляра и пустой пополняемой виалы со спреем объемом 7,5 мл. Настоящая роскошь должна сопровождать вас всю жизнь, и поэтому флакон дорожного набора можно заново пополнить из рефила с любым ароматом KILIAN PARIS.;
99000109908;AURENDAL HOME Серебристый + синий;атомайзер;Китай (Китайская Народная Республика);800;800;https://goldapple.ru/99000109908-serebristyj-sinij;1.0;Серый и синий алюминиевые атомайзеры по 15 мл — это сочетание строгости и выразительности. Матовые флаконы из прочного алюминия устойчивы к повреждениям и выглядят стильно в любой обстановке. Серый цвет универсален и сдержан, синий — подчёркивает индивидуальность и современный вкус.  Каждый атомайзер легко заправляется любимыми духами, не протекает и удобен в использовании. Подходит для повседневной носки, командировок и путешествий.  Надёжная помпа, компактные размеры и многоразовое использование делают этот набор практичным и стильным аксессуаром для любого аромата.;Заправьте парфюм в колбу, плотно закрутите распылительную головку и пользуйтесь — каждым нажатием вы получаете точное, равномерное распыление аромата.
99000109913;AURENDAL HOME Черный + серебристый;атомайзер;Китай (Китайская Народная Республика);800;800;https://goldapple.ru/99000109913-cernyj-serebristyj;1.0;Этот набор из двух алюминиевых атомайзеров — чёрного и серого — выделяется лаконичным, современным дизайном. Оба флакона объёмом по 15 мл изготовлены из прочного алюминия с матовым покрытием, устойчивым к повреждениям и загрязнениям. Сдержанные оттенки идеально подходят для делового образа или повседневного использования.  Самозаправляющаяся конструкция позволяет быстро и легко наполнить каждый атомайзер любимым парфюмом. Надёжная помпа предотвращает протечки, а компактный размер удобен для переноски. Практичный и универсальный набор для тех, кто ценит минимализм и функциональность.;Заправьте парфюм в колбу, плотно закрутите распылительную головку и пользуйтесь — каждым нажатием вы получаете точное, равномерное распыление аромата.
99000109915;AURENDAL HOME Черный + розовый;атомайзер;Китай (Китайская Народная Республика);800;800;https://goldapple.ru/99000109915-cernyj-rozovyj;1.0;Стильный набор из двух алюминиевых атомайзеров — чёрного и розового — сочетает в себе практичность и индивидуальность. Каждый флакон объёмом 15 мл выполнен из прочного алюминия с матовым покрытием, устойчивым к царапинам и отпечаткам. Чёрный цвет придаёт сдержанности и элегантности, розовый добавляет нотку мягкости и современного стиля.  Атомайзеры легко заправляются любыми духами без дополнительных инструментов, надёжно закрываются и не протекают. Идеальны для путешествий, повседневного использования и смены ароматов.  Компактные, лёгкие, многоразовые — удобный выбор для тех, кто любит сочетать функциональность с выразительным дизайном.;Заправьте парфюм в колбу, плотно закрутите распылительную головку и пользуйтесь — каждым нажатием вы получаете точное, равномерное распыление аромата.
99000109916;AURENDAL HOME Розовый + синий;атомайзер;Китай (Китайская Народная Республика);800;800;https://goldapple.ru/99000109916-rozovyj-sinij;;Стильный дуэт из синего и розового алюминиевых атомайзеров по 15 мл — это яркое сочетание характера и индивидуальности. Матовые флаконы из прочного алюминия устойчивы к царапинам и выглядят современно в любой ситуации. Синий оттенок придаёт образу свежести и уверенности, розовый — мягкости и женственности. Каждый атомайзер легко заправляется любимым парфюмом без дополнительных инструментов, плотно закрывается и не протекает. Надёжная помпа обеспечивает точное и равномерное распыление. Компактные размеры делают набор удобным для путешествий, поездок и повседневного использования — соответствует нормам ручной клади в самолёте. Идеальный выбор для тех, кто любит менять ароматы и подчёркивать настроение — практично, стильно и многоразово.;Заправьте парфюм в колбу, плотно закрутите распылительную головку и пользуйтесь — каждым нажатием вы получаете точное, равномерное распыление аромата.
99000109910;AURENDAL HOME Серебристый + розовый;атомайзер;Китай (Китайская Народная Республика);800;720;https://goldapple.ru/99000109910-serebristyj-rozovyj;;Набор из серого и розового алюминиевых атомайзеров по 15 мл — это гармония нейтрального и яркого. Матовые поверхности устойчивы к царапинам и выглядят стильно в любых условиях. Серый оттенок добавляет сдержанности, розовый — женственности и свежести.  Атомайзеры легко заправляются, не протекают и удобно распыляют аромат благодаря качественной помпе. Идеальны для путешествий, смены настроения и ношения нескольких парфюмов одновременно.  Компактный, красивый и практичный набор — отличный выбор для тех, кто любит сочетать утончённость с современным вкусом.;Заправьте парфюм в колбу, плотно закрутите распылительную головку и пользуйтесь — каждым нажатием вы получаете точное, равномерное распыление аромата.
26802200003;MAISON FRANCIS KURKDJIAN Globe Trotter Gold edition;атомайзер;Франция;13000;13000;https://goldapple.ru/26802200003-globe-trotter-gold-edition;;Оригинальный флакон золотого цвета, созданный с особым вниманием к каждой детали и украшенный оттиском логотипа Дома Maison Francis Kurkdjian. Аксессуар удобно брать с собой в путешествие — он не займет много места даже в небольшой косметичке. В атомайзер-спрей помещается рефилл объемом 11 мл.;
19000159606;FOR ME BY GOLD APPLE Pocket atomizer;атомайзер;Китай (Китайская Народная Республика);515;463;https://goldapple.ru/19000159606-pocket-atomizer;;Мы задумались, как сделать так, чтобы любимый парфюм всегда был с собой – и в качестве ответа на вопрос создали этот флакон-атомайзер FOR ME.  С помощью удобного дозатора в него можно перелить любимый парфюм и носить его даже в самой маленькой сумочке.  А также он идеально подходит для путешествий, когда хочется взять с собой несколько ароматов на выбор.  Объем: 5 мл.;Чтобы перелить ваш парфюм в атомайзер, следуйте этим простым шагам:  Снимите распылитель со своего парфюма.  Установите атомайзер отверстием в место распылителя.  Держите атомайзер строго вертикально и нажимайте на него, жидкость начнет набираться.  После заполнения атомайзера снимите его с флакона духов и установите распылитель на место.  Теперь у вас есть мини-флакон парфюма, который удобно брать с собой!
99000109912;AURENDAL HOME Черный;атомайзер;Китай (Китайская Народная Республика);1000;800;https://goldapple.ru/99000109912-cernyj;;Алюминиевый атомайзер объёмом 20 мл — компактное и практичное решение для тех, кто ценит аромат повсюду. Изготовлен из прочного алюминия с матовым чёрным покрытием, устойчивым к царапинам и отпечаткам пальцев. Лёгкий, но надёжный корпус защищает содержимое от протечек и ударов, идеально помещается в карман, сумочку или косметичку. Самозаправляющаяся конструкция позволяет легко наполнять атомайзер любыми духами без дополнительных инструментов — просто открутите распылитель, влейте парфюм и закройте. Надёжная помпа обеспечивает точное и равномерное распыление с первого нажатия. Чёрный атомайзер выглядит стильно и лаконично — подходит как мужчинам, так и женщинам. Удобен в поездках, соответствует требованиям авиакомпаний к ручной клади. Практичный, экологичный, многоразовый — идеальный спутник для любимого аромата каждый день.;Заправьте парфюм в колбу, плотно закрутите распылительную головку и пользуйтесь — каждым нажатием вы получаете точное, равномерное распыление аромата.
