article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000144152;GIVENCHY  Gentleman Society DEODORANT SPRAY;дезодорант;Франция;4800;4800;https://goldapple.ru/19000144152-gentleman-society-deodorant-spray;73.5;Дезодорант-спрей Gentleman Society от Givenchy обеспечивает бодрящее ощущение свежести и дарит коже комфорт.   Ноты ветивера и шалфея в сочетании с цветами дикого нарцисса усиливают шлейф древесно-цветочного аромата Gentleman Society.  Флакон на 100% состоит из переработанного алюминия, что соответствует принципам ответственного потребления.  В линию Gentleman от Givenchy также входит парфюмерная вода и гель для душа.;Нанести на тело, избегая попадания в глаза
19000261021;GIVENCHY  IRRESISTIBLE;дезодорант;Франция;5900;5900;https://goldapple.ru/19000261021-irresistible;71.04;Парфюмированный дезодорант-спрей Irresistible от Givenchy обволакивает кожу легким цветочным ароматом и дарит ей комфорт и ощущение свежести.  Композиция Irresistible Givenchy представляет собой дуэт роскошной розы и аккорда светлого дерева. Восхитительная роза сверкает, раскрываясь фруктовыми сочными гранями груши, амбретты и пудровой ноты ириса. Это великолепное цветочно-фруктовое сочетание, дополняется аккордами кедра, янтарного дерева и едва уловимой нотой Мускуса.  Упаковка продукта на 100% состоит из переработанного алюминия, что соответствует принципам ответственного потребления.  В банную линию Irresistible от Givenchy также входят гель для душа, дымка для волос, мыло и молочко для тела.;Нанести на тело, избегая попадания в глаза
7190100005;DIOR Fahrenheit;дезодорант;Франция;4950;4950;https://goldapple.ru/7190100005-fahrenheit;62.0;Освежающая формула с легким ароматом для длительной и мягкой защиты.;
19000144153;GIVENCHY  Gentleman Society STICK DEODORANT;дезодорант;Франция;4800;4320;https://goldapple.ru/19000144153-gentleman-society-stick-deodorant;57.6;Дезодорант-стик Gentleman Society от Givenchy обеспечивает бодрящее ощущение свежести, увлажняет и успокаивает кожу.   Ноты ветивера и шалфея в сочетании с цветами дикого нарцисса усиливают шлейф древесно-цветочного аромата Gentleman Society.  Флакон привлекает внимание своей элегантной черной отделкой и изогнутыми краями.  В линию Gentleman от Givenchy также входит парфюмерная вода и гель для душа.;Нанести на чистую кожу в зоне подмышечных впадин.
7030300004;HUGO BOSS Boss Bottled;дезодорант;Монако;3400;2890;https://goldapple.ru/7030300004-boss-bottled;47.88;Мужчина в стиле BOSS рожден быть успешным — он готов к соперничеству, мотивирован и амбициозен. Ежедневный утренний ритуал — неотъемлемая составляющая его успеха, и дезодорант-стик Hugo Boss Bottled становится его незаменимым оружием на этом пути. Стойкий и современный BOSS Bottled — это легендарная классика в аккуратном и строгом флаконе, прекрасное воплощение стиля BOSS. Это сочетание элегантности и стиля, созданное для современных мужчин. Яркий аромат со свежими и чувственными нотами подчеркивает индивидуальность и изысканность вашего образа и воплощает в себе радость жизни. Аромат герани с едва различимым оттенком гвоздики преобладает над теплыми, пряно-цветочными сердечными нотами, уравновешивая свежую фруктовую верхнюю ноту. Базовая нота решительно мужская — это пульсирующая гармония сандалового дерева, кедра и ветивера. BOSS Bottled — это классика, которая всегда остается актуальной.;
19760300583;DIOR Homme Deodorant-Stick;дезодорант;Франция;4750;4750;https://goldapple.ru/19760300583-homme-deodorant-stick;41.36;Дезодорант-стик с бодрящим ароматом Dior Homme мягко воздействует на кожу, обеспечивая ей свежесть и комфорт. Средства для ванны и душа из линии Dior Homme имеют легкий древесный аромат новой туалетной воды. Они дарят коже приятное ощущение полного комфорта, оставляя чувственный шлейф Dior Homme.;
80620200009;SISLEY Eau du Soir Scented Deodorant;дезодорант;;6990;5312;https://goldapple.ru/80620200009-eau-du-soir-scented-deodorant;34.96;"Дезодорант-спрей Sisley Eau du Soir Scented Deodorant — надёжный защитник с волнующим приятным ароматом. Дезодорант от Sisley, содержащий спирт в своём составе, прошёл все тест-драйвы и обеспечивает молниеносный результат, дарящий свободу от неприятных запахов и пота. Eau du Soir Scented Deodorant имея передовую формулу наносится нежным прикосновением лепестка и моментально впитывается, экономя Ваше время и позволяя сразу облачиться в одежду. Будь защищённой весь день, один раз воспользовавшись дезодорантом-спреем с волнующим ароматом ""О Дю Суар"". Не дай запаху пота встать между тобой и успехом сегодняшнего и последующих дней.";Использовать ежедневно, после водных процедур. Распыляя на кожу, не более 1-2 нажатий,  с расстояния 10-15 см.
7192300027;DIOR Dior Homme;дезодорант;Франция;4950;4950;https://goldapple.ru/7192300027-dior-homme;33.0;Дезодорант-спрей Dior Homme со свежими нотами Dior Homme сочетает удовольствие и эффективность, обеспечивая коже свежесть. Средства для ванны и душа из линии Dior Homme имеют легкий древесный аромат новой туалетной воды. Они дарят коже приятное ощущение полного комфорта, оставляя чувственный шлейф Dior Homme.;
7192400006;DIOR Eau Sauvage;дезодорант;Франция;4750;4750;https://goldapple.ru/7192400006-eau-sauvage;17.48;Эффективность в течение 24 часов, ощущение свежести, комфорта и мягкости. Дезодорант-стик Eau Sauvage защищает кожу, предотвращая обезвоживание, не оставляя следов на одежде. Доступен в стике и в спрее.;
26422500008;ACQUA DI PARMA COLONIA ESSENZA;дезодорант;Италия;4900;4900;https://goldapple.ru/26422500008-colonia-essenza-deodorant-natural-spray;14.1;Дезодорант, в основе которого лежат ноты Colonia Essenza, создает настоящую сенсацию свежести и комфорта, длящихся в течении всего дня.;
