article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000021502;ZIELINSKI & ROZEN Cedarwood, Neroli, Amber;диффузоры;;3990;3990;https://goldapple.ru/19000021502-cedarwood-sandalwood-amber-patchouli;63.64;Диффузор — украшение интерьера и приятный аромат в одном флаконе. В комплект входят ротанговые палочки-аппликаторы: с их помощью удобно регулировать интенсивность ароматизации. В диффузорах используется чистый этиловый спирт, который применяется в пищевой промышленности и медицине и не имеет вредных испарений. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Откройте крышку диффузора и поместите ротанговые палочки во флакон.
19000268040;AROMA HARMONY Magnolia;диффузоры;Россия;549;477;https://goldapple.ru/19000268040-magnolia;57.6;Диффузор Magnolia обладает изысканным ароматом, начиная со свежих нот зелёного чая, продолжая композицию нотами чувственной магнолии и ароматным жасмином, нота туберозы придаёт теплоту и глубину этому аромату.;Открутить крышку. Вынуть пробку. Вставить палочки. Для того, чтобы поддерживать уровень ароматизации на должном уровне, периодически переворачивайте палочки.
90151300010;ZIELINSKI & ROZEN Vetiver, Lemon;диффузоры;;3990;3990;https://goldapple.ru/90151300010-vetiver-lemon-bergamot;57.6;Диффузор — украшение интерьера и приятный аромат в одном флаконе. В комплект входят ротанговые палочки-аппликаторы: с их помощью удобно регулировать интенсивность ароматизации. В диффузорах используется чистый этиловый спирт, который применяется в пищевой промышленности и медицине и не имеет вредных испарений. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Откройте крышку диффузора и поместите ротанговые палочки во флакон.
19000333823;AROMA HARMONY Зимние объятия;диффузоры;Россия;369;328;https://goldapple.ru/19000333823-zimnie-ob-atia;46.0;Погрузитесь в атмосферу зимних праздников с диффузором «Зимние Объятия» от бренда Aroma Harmony.  Этот волшебный аромат сочетает в себе ноты, которые принесут в ваш дом тепло и уют, словно объятия любимых людей в морозную ночь. В верхних нотах вы ощутите свежесть сочного яблока, приправленного щепоткой корицы и пряными специями, которые создают настроение праздника и тепла. Сердце аромата раскрывается нежными оттенками ванили и клевера, даря комфорт, который напомнит о детских зимних воспоминаниях и уютных вечерах у камина. База из сандала и пралине завершает волшебное путешествие, привнося древесные акценты и нотки сладости, которые обволакивают и успокаивают, словно теплый плед в холодный вечер. «Зимние Объятия» — это не просто аромат, это настроение, которое сделает холодные зимние дни теплее, а ваши праздники — ярче и запоминающимся.  Наполните свой дом атмосферой уюта и радости с этой изысканной композицией от Aroma Harmony. Пусть каждый вдох дарит вам тепло и счастье в долгожданные новогодние дни! Ароматы для дома в формате диффузора-открытки представляет собой не только ароматный подарок, но и способ создания особой атмосферы в доме. Каждая открытка с диффузором имеет место для подписи, что позволяет добавить личное послание к вашему подарку. Это идеальный способ передать свои чувства и пожелания близкому человеку, при этом подарив ему прекрасный аромат для дома.;Вынуть пробку. Вставить палочки. Для того, чтобы поддерживать уровень ароматизации на должном уровне, периодически переворачивайте палочки.
19000291930;AROMA HARMONY Papaya;диффузоры;Россия;749;606;https://goldapple.ru/19000291930-papaya;45.9;Отправьтесь в экзотическое путешествие! Аромат папайи привнесет в вашу жизнь волшебство тропических островов. Расслабьтесь и позвольте себе окунуться в мир гармонии и благополучия.;Открутить крышку. Вынуть пробку. Вставить палочки. Для того, чтобы поддерживать уровень ароматизации на должном уровне, периодически переворачивайте палочки.
19000268018;AROMA HARMONY Euphoria;диффузоры;Россия;449;314;https://goldapple.ru/19000268018-euphoria;42.24;EUPHORIA. Представьте, что вы поднимаетесь на самую высокую гору, окруженную буйной зеленью дикой природы. Момент достижения вершины и есть данная ароматическая композиция. Аромат зелени наполняет свежестью и энергией. Инжир добавляет нотку экзотики, позволяя окунуться в загадочный мир далеких стран. Древесные ноты подчеркивают силу и стойкость. Однако, сочетание не ограничивается только природными ароматами. Присутствуют мускусные и молочные ноты, которые отвечают за нежность и чувственность композиции. Ноты: зелень, инжир, древесные ноты, мускус, молоко.;Открутить крышку. Вынуть пробку. Вставить палочки. Для того, чтобы поддерживать уровень ароматизации на должном уровне, периодически переворачивайте палочки.
90151300009;ZIELINSKI & ROZEN Amber, Patchouli;диффузоры;;3990;3990;https://goldapple.ru/90151300009-moss;39.36;Средство для ароматизации помещений. В комплекте ротанговые палочки-аппликаторы. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Опустите палочки-аппликаторы во флакон и оставьте на 3 дня для насыщения ароматом, затем переверните. Интенсивность аромата регулируется количеством вставленных палочек.
19000205793;BANKA_HOME Лист табака и кориандр;диффузоры;Россия;1190;975;https://goldapple.ru/19000205793-list-tabaka-i-koriandr;36.0;"Ароматический диффузор ""Лист табака и кориандр"" . Этот аромат можно описать, как богатый и знойный, с нотами янтаря, табака и сладкой ванили. Действительно уникальный и увлекательный аромат для любимого пространства.";Откройте крышку диффузора и поместите палочки во флакон.   Интенсивность ароматизации регулируется количеством палочек.  Рекомендуем начинать с 2-3.
19000098993;CASA LEGGERA Sandro;диффузоры;;3490;2966;https://goldapple.ru/19000098993-sandro;35.2;У вашей квартиры должен быть свой парфюм для дома, поэтому знакомьтесь, ароматические диффузоры от Casa Leggera! В верхнем аккорде Sandro содержится композиция Tobacco Vanille, которая раскрывается дымно-пряными оттенками табачных листьев и мягким, притягательным теплом восточных специй. Постепенно в композиции начинает доминировать ваниль, смешиваясь с запахом бархатистого какао, сливочными тонами бобов тонка и шелковисто-пряным ароматом цветов табака. В финале аромата звучит сладковато-дымный запах сухофруктов, сдобренных тёплыми древесными нотами, создавая ощущение спокойствия, гармонии с окружающим миром, силы и уверенности в себе. Самый простой способ наполнить помещение любимым ароматом на длительное время - это поставить ароматический диффузор. Уже через пару часов аромат наполнит всё пространство вокруг и будет радовать своим присутствием. Каждый диффузор объемом 50 миллилитров прослужит от 1 до 2 месяцев. Комплектуется пятью ротанговыми палочками черного цвета. Каждый диффузор объемом 100 миллилитров прослужит от 3 до 4 месяцев. Комплектуется пятью ротанговыми палочками черного цвета. Каждый диффузор объемом 200 миллилитров прослужит от 5 до 6 месяцев. Комплектуется пятью ротанговыми палочками черного цвета.;• Переворачивать ротанговые палочки каждые две недели в целях обеспечения более длительного срока действия. • Установить аромадиффузор на ровной поверхности в подходящем месте, чтобы случайно его не уронить. Можно использовать в кабинете, спальне, прихожей, ванной или гардеробной комнате. Обратите внимание, что повышенная влажность помещения немного ускорит время испарения аромата. • В начале использования диффузора начните с трех-четырех палочек. Через несколько часов почувствуется результат. По желанию можно добавить или убрать палочки. Через 2 недели нужно перевернуть палочки. • При установке диффузора на солнце, звучание ароматической композиции будет более ярким.
19000437024;ZIELINSKI & ROZEN Amberwood, Vanilla, Davana;диффузоры;Россия;8290;8290;https://goldapple.ru/19000437024-amberwood-vanilla-davana;32.9;Средство для ароматизации помещений. В комплекте ротанговые палочки-аппликаторы.;Опустите палочки-аппликаторы во флакон и оставьте на 3 дня для насыщения ароматом, затем переверните. Интенсивность аромата регулируется количеством вставленных палочек.
