article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
26801500004;MAISON FRANCIS KURKDJIAN Baccarat Rouge 540;дымка;Франция;10000;10000;https://goldapple.ru/26801500004-baccarat-rouge-540;78.12;Парфюмированная дымка для волос Baccarat Rouge 540 деликатно покрывает волосы нежным ароматом, делая волосы мягкими благодаря своей легкой, воздушной текстуре. Дымка не утяжеляет волосы, придает ощущение свежести. Яркая ольфакторная подпись. Baccarat Rouge 540 окутывает кожу амбровой, цветочно-древесной вуалью. Воздушные ноты жасмина и сияющего шафрана сочетаются с минеральными оттенками амбры и древесными аккордами свежесрубленного кедра.    Парфюмированная дымка Baccarat Rouge 540 на основе касторового масла заключена в иконический стеклянный флакон Дома. Исключительный ольфакторный ритуал для ежедневного удовольствия. Чтобы насладиться моментом ухода за собой и продлить звучание вашего аромата Baccarat Rouge 540, попробуйте также парфюмированное масло для тела Baccarat Rouge 540.;Нанести на сухие или слегка влажные волосы с расстояния 10-15 см. Дымку для волос можно использовать самостоятельно и в сочетании с вашим ароматом.
19000145085;VERSACE Dylan Purple;дымка;Италия;6200;4650;https://goldapple.ru/19000145085-dylan-purple;59.34;Яркий и элегантный аромат Dylan Purple приглашает в увлекательное парфюмерное путешествие. Парфюмерная дымка VERSACE – это продолжение чувственной линии Dylan Purple. Средство придаёт волосам блеск и стойкий фруктовый аромат с нотами искрящегося бергамота, свежего апельсина сочной груши, кедра и невесомых молекул Mahonial и Pomarose. Silkolide добавляет композиции легкие мускусные и фруктовые акценты. Классификация аромата – цветочный, фруктовый мускусный.  Парфюмер – Кристоф Рейно.;Только для наружного применения
99000047786;TSUYU Hide me;дымка;;3500;3500;https://goldapple.ru/99000047786-hide-me;55.44;Hide me - это фантазия или сон. Вы чувствуете дымный древесный аромат коры, нагретой солнцем за день, видите мерцающих светлячков над заросшими прудами. Утренняя роса на цветах османтуса и камелии - тихий момент истомы и умиротворения. Аромат разработан японскими и корейскими парфюмерами специально для бренда TSUYU. Мист дополнен стильной подарочной упаковкой и открыткой.;Парфюмированный мист создан для тонкого и комфортного парфюмерного сопровождения в течение дня. Он нежнее духов и раскрывается деликатно, оставляя за вами ароматный след. При правильном использовании вы будете окружены невидимым нежным ароматным облаком в течение всего дня. Что важно знать: • Мист держится на коже в среднем 2–3 часа. • Благодаря лёгкой формуле его можно наносить повторно в течение дня. • Удобный формат позволяет брать его с собой, чтобы освежить аромат в нужный момент. Рекомендации по нанесению: • Распылите на чистую, слегка увлажнённую кожу: запястья, шею, зону декольте. • Можно наносить на волосы — они хорошо удерживают аромат. • На одежде аромат держится менее выраженно и менее стойко, чем на коже. • Не трите кожу после нанесения — это может изменить звучание композиции. • Избегайте нанесения на очень сухую или обезжиренную кожу — аромат на ней выветривается быстрее. • Лучше всего наносить мист сразу после душа — тёплая кожа и лёгкая влага способствуют стойкости. Что влияет на стойкость аромата: • Тип кожи: на увлажнённой и тёплой коже аромат раскрывается ярче и держится дольше. • Температура и влажность воздуха: в жару и сухом воздухе аромат испаряется быстрее. • Наличие других ароматизированных средств: гели для душа, лосьоны и масла с нейтральным или подходящим ароматом усиливают стойкость. • Слойность аромата: использование нескольких продуктов из одной ароматической линейки (например, лосьон и мист) увеличивает насыщенность и продолжительность звучания. • Физическая активность: потоотделение ускоряет выветривание аромата.
19000327281;PHILOSOPHY BY ALEX KONTIER SAFFRON+GREY AMBER;дымка;Россия;7600;6840;https://goldapple.ru/19000327281-saffron-grey-amber;53.9;ЧТО ТАКОЕ: Спрей для создание неповторимого аромата на волосах с протеинами шелка и фитонцидами. Объем, удобный для путешествий. Для всех типов волос.  ПРЕИМУЩЕСТВА: Герметичный стеклянный флакон для более надежной защиты продукта от окислительных. Процессов. Натуральный распылитель. Необходимое дозирование продукта.  ЧЕГО ОЖИДАТЬ: Парфюмированный спрей создаст легкую дымку и оставит нежный аромат на ваших волосах.;Откройте флакон, распылите необходимое количество на расстоянии 30 см от волос.
19000093685;KILIAN PARIS Good Girl Gone Bad;дымка;Франция;16400;14760;https://goldapple.ru/19000093685-good-girl-gone-bad-hair-mist;53.1;Источник вдохновения. KILIAN PARIS представляет дымку для волос с культовым ароматом Good girl gone Bad by KILIAN. Дымка для волос Good girl gone Bad by KILIAN — изысканный завершающий шаг парфюмерного ритуала — окутывает вас в вихрь цветочных лепестков, а инновационная формула средства питает волосы и помогает защитить их от сухости.  Культовый аромат Good Girl Gone Bad by KILIAN влюбляет в себя соблазнительным воздушным сочетанием нот цветка апельсина, туберозы и османтуса, игриво балансирующим на грани света и тьмы, невинности и искушения.  Дымка для волос Good girl gone Bad by KILIAN — мощное секретное оружие, которое доведет ваш парфюмерный ритуал до совершенства. Она помогает создать образ, продуманный до мельчайших деталей, и сохранить пьянящий шлейф вашего аромата до глубокой ночи.  Ноты: цветок апельсина, османтус, тубероза.  Категория аромата: Соблазняющие. Цветочные ароматы Kilian созданы, чтобы вызывать зависимость, пленяя чарующими нотами цветка апельсина и гардении, пышными аккордами розы и туберозы.  Парфюмер: Альберто Морильяс.  Каждый флакон KILIAN PARIS — это произведение искусства высочайшего качества, созданное с особым вниманием к деталям. Матовый белый флакон напоминает мягкость маршмеллоу в сахарной пудре. Все дымки для волос имеют бумажную FSC-этикетку, изготовленную в Европе.;
99000047787;TSUYU Rosarium;дымка;;3500;3500;https://goldapple.ru/99000047787-rosarium;34.04;Rosarium - аромат погружающегося в сумерки цветущего сада. Обволакивает кожу и волосы тонкой и нежной дымкой, оставляя легкий аромат цитруса, пьянящей турецкой розы, специй, пачули и сандала. Дарит волнующие ощущения женственности и гармонии. Аромат разработан японскими и корейскими парфюмерами специально для бренда TSUYU. Мист дополнен стильной подарочной упаковкой и открыткой.;Парфюмированный мист создан для тонкого и комфортного парфюмерного сопровождения в течение дня. Он нежнее духов и раскрывается деликатно, оставляя за вами ароматный след. При правильном использовании вы будете окружены невидимым нежным ароматным облаком в течение всего дня. Что важно знать: • Мист держится на коже в среднем 2–3 часа. • Благодаря лёгкой формуле его можно наносить повторно в течение дня. • Удобный формат позволяет брать его с собой, чтобы освежить аромат в нужный момент. Рекомендации по нанесению: • Распылите на чистую, слегка увлажнённую кожу: запястья, шею, зону декольте. • Можно наносить на волосы — они хорошо удерживают аромат. • На одежде аромат держится менее выраженно и менее стойко, чем на коже. • Не трите кожу после нанесения — это может изменить звучание композиции. • Избегайте нанесения на очень сухую или обезжиренную кожу — аромат на ней выветривается быстрее. • Лучше всего наносить мист сразу после душа — тёплая кожа и лёгкая влага способствуют стойкости. Что влияет на стойкость аромата: • Тип кожи: на увлажнённой и тёплой коже аромат раскрывается ярче и держится дольше. • Температура и влажность воздуха: в жару и сухом воздухе аромат испаряется быстрее. • Наличие других ароматизированных средств: гели для душа, лосьоны и масла с нейтральным или подходящим ароматом усиливают стойкость. • Слойность аромата: использование нескольких продуктов из одной ароматической линейки (например, лосьон и мист) увеличивает насыщенность и продолжительность звучания. • Физическая активность: потоотделение ускоряет выветривание аромата.
99000020846;PARFUMS LOUIS ARMAND Taj sunset Tropical flower;дымка;;399;363;https://goldapple.ru/99000020846-taj-sunset-tropical-flower;23.76;Парфюмерный спрей-облако для волос, тела и одежды Taj sunset Tropical flower окутывает благоухающей вуалью. Жизнерадостный и романтический парфюм, который приносит летнее настроение и яркие тропические краски. Дуновение пряного ветра на берегу тропического острова, безбрежный океан и ощущение молодости воплощены в этом аромате. Мускус, сандал и ноты фруктов придают обаяние классической женственности. Сумочный вариант упаковки. Гипоаллергенная смягчающая формула с антиоксидантом помогает вырабатывать коллаген и борется с фотостарением. Содержит витамины А и Е. В любой момент можно поднять себе настроение, окружив себя облаком любимого аромата.;Распылять на волосы, кожу, одежду, окружая себя ароматным облаком.
19000344532;TIZIANA TERENZI Kirke;дымка;Италия;13000;11050;https://goldapple.ru/19000344532-kirke;19.32;С первого применения волосы приобретают естественный блеск и благоухают вашим любимым ароматом весь день.  Чувственный и теплый аромат Kirke, посвящен богине Цирцее, очаровавшей великого героя Одиссея.  Он открывается фруктовыми сладостными и сочными нотами маракуйи, персиков, малины, черной смородины и груши, настоящий золотой алхимический эликсир.  При регулярном использовании дымки улучшается общее состояние волос, они становятся более мягкими, послушными и лучше расчесываются.  Запатентованная формула Kirke Hair Therapy Mist содержит сертифицированные ингредиенты, продукт обогащен гидролизованными протеинами риса, экстрактом семян конопли, бета-каротином, которые увлажняют, разглаживают и питают волосы, предотвращая их ломкость.  Дымка для волос Kirke может быть использована как самостоятельный продукт вместо аромата, однако рекомендуется совместное нанесение дымки на волосы и духов Kirke на тело. Продукт подходит для любого типа волос, безопасен для окрашенных волос.;Распылите дымку на всю поверхность волос, сделав необходимое количество нажатий на распылитель. Для деликатного нанесения возможно нанести дымку на расческу или щетку для волос непосредственно перед расчесыванием.  Дымку для волос рекомендуется наносить на сухие чистые волосы от корней к кончикам.
19000225799;RUDROSS Road to Paradise;дымка;ОАЭ;6000;4800;https://goldapple.ru/19000225799-road-to-raradise;15.84;Дорога в рай.  Аромат вдохновлен гламуром, роскошью и лоском, он подобен наряду от-кутюр – эффектный и элегантный. Не боитесь привлекать внимание? Тогда смело наносите аромат и готовьтесь принимать бесчисленное количество комплиментов. Он очарует, покорит и не оставит равнодушным. Манящие сладостные оттенки ванильных стручков сочетаются с роскошным звучанием сандаловой древесины.  Парфюмерная вуаль RudRoss окутывает волосы изысканным ароматом, ненавязчиво сопровождающим вас в течение всего дня. Средство увлажняет и кондиционирует волосы, не утяжеляя их, защищает от повреждений, усиливает блеск волос и облегчает расчесывание.  Парфюмерная вода для волос представлена в виде спрея, её удобно брать с собой, чтобы усилить шлейф любимого аромата в течение дня.;Нанесите парфюмерную вуаль на сухие или слегка влажные волосы с расстояния 10-15 см. Вуаль для волос можно использовать как самостоятельно, так и в сочетании с парфюмерными водами RudRoss.
19000214429;SONO Blonder hair perfume;дымка;Италия;2302;2071;https://goldapple.ru/19000214429-blonder-hair-perfume;13.32;Парфюмированная дымка SONO дарит волосам ощущение свежести и роскошный аромат на весь день. Аргановое масло, известное как «золото пустыни», содержит множество ценных ингредиентов: витамины A и E, сквалан, жирные кислоты омега-3 и омега-6.  Средство питает и укрепляет волосы, защищает от внешней среды и придает сияние.  Подходит для всех типов волос.;Распылите дымку на волосы на расстоянии 15-20 см.
