article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000312026;FOR ME BY GOLD APPLE 07. Salty salt;крем для рук;;270;243;https://goldapple.ru/19000312026-07-salty-salt;415.48;Легкий парфюмированный крем с ароматом морской соли, кипариса и лимона. Брызги морской воды переливаются на солнце и оставляют на коже блестящие кристаллы соли. Одновременно прозрачный и глубокий, как океан, который бодрит и манит приключениями.  Он увлажняет руки, питает кожу и при продолжительном использовании делает ее менее чувствительной к окружающей среде. Благодаря легкой текстуре средство быстро впитывается, не создает маслянистое ощущение и не оставляет на предметах жирные следы. Крем подходит для сухой кожи — пантенол и сквалан быстро восстанавливают ее и возвращают мягкость. Нежность рукам придают также натуральные масла оливы и авокадо. А крепкую защиту рукам обеспечивают экстракт базилика и алоэ вера.;Нанесите крем массажными движениями на чистую сухую кожу рук.
90150600004;ZIELINSKI & ROZEN Black Vanilla;крем для рук;;1650;1650;https://goldapple.ru/90150600004-vanilla-blend;346.72;Универсальные кремы для рук подходят для использования в любое время года и в любом климате. Благодаря легкой текстуре средство быстро впитывается, а обогащенная натуральными маслами формула надолго оставляет кожу мягкой и нежной. Тюбик удобного travel-формата поместится даже в очень маленькой сумке или кармане. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Выдавите небольшое количество крема на руки и равномерно распределите на коже.
19000210123;ZIELINSKI & ROZEN Peach, Passion fruit, Musk;крем для рук;Израиль;1650;1650;https://goldapple.ru/19000210123-peach-passion-fruit-musk;211.5;Крем для рук интенсивно питает и смягчает кожу, легко впитывается, имеет мягкую текстуру.;Выдавить небольшое количество на чистые руки и равномерно распределить. Повторяйте по мере необходимости.
19000283183;ESSENTIAL PARFUMS PARIS Bois imperial;крем для рук;Франция;2510;2259;https://goldapple.ru/19000283183-bois-imperial;186.76;Увлажняющий крем для рук в алюминиевой упаковке оставляет на коже аромат BOIS IMPERIAL by Quentin Bisch.  Содержит не менее 97% ингредиентов натурального происхождения.;Нанесите крем на кожу рук аккуратными массирующими движениями.
19760324881;ZIELINSKI & ROZEN Tobacco, Cedarwood, Pepper;крем для рук;;1650;1650;https://goldapple.ru/19760324881-fiction;174.72;Универсальные кремы для рук подходят для использования в любое время года и в любом климате. Благодаря легкой текстуре средство быстро впитывается, а обогащенная натуральными маслами формула надолго оставляет кожу мягкой и нежной.  Тюбик удобного travel-формата поместится даже в очень маленькой сумке или кармане. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Выдавите небольшое количество крема на руки и равномерно распределите на коже.
90150600002;ZIELINSKI & ROZEN Vetiver, Lemon;крем для рук;;1650;1650;https://goldapple.ru/90150600002-vetiver-lemon-bergamot;137.28;Универсальные кремы для рук подходят для использования в любое время года и в любом климате. Благодаря легкой текстуре средство быстро впитывается, а обогащенная натуральными маслами формула надолго оставляет кожу мягкой и нежной.  Тюбик удобного travel-формата поместится даже в очень маленькой сумке или кармане. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Выдавите небольшое количество крема на руки и равномерно распределите на коже.
19000180340;ZIELINSKI & ROZEN Grapefruit, Basil, Petitgrain;крем для рук;Израиль;1650;1650;https://goldapple.ru/19000180340-grapefruit-basil-petitgrain;130.66;Универсальные кремы для рук подходят для использования в любое время года и в любом климате. Благодаря легкой текстуре средство быстро впитывается, а обогащенная натуральными маслами формула надолго оставляет кожу мягкой и нежной.  Тюбик удобного travel-формата поместится даже в очень маленькой сумке или кармане.;Выдавите небольшое количество крема на руки и равномерно распределите на коже.
19000080135;JMELLA IN FRANCE QUEEN 5' PERFUME HAND CREAM;крем для рук;Республика Корея;427;192;https://goldapple.ru/19000080135-in-france-queen-5-perfume-hand-cream;113.4;Мягкий эмульсионный крем увлажняет и питает нежную кожу рук. Легкая формула защищает от обезвоживания и восстанавливает гладкость, упругость. Оставляет на коже аромат жасмина и белого мускуса с нотой альдегида.;Нанести крем на чистую сухую кожу рук мягкими массирующими движениями.
19000232572;ONLY BIO ART&NATURAL Цветущий миндаль;крем для рук;Россия;260;221;https://goldapple.ru/19000232572-roskosnyj-uhod-cvetusij-mindal;98.7;Теплый фактурный крем для рук с ароматом миндаля.;Небольшое количество крема нанесите на кожу рук.
19000210122;ZIELINSKI & ROZEN Lavender, Vanilla, Amber, Musk;крем для рук;Израиль;1650;1650;https://goldapple.ru/19000210122-lavender-vanilla-amber-musk;97.76;Крем для рук интенсивно питает и смягчает кожу, легко впитывается, имеет мягкую текстуру.;Выдавить небольшое количество на чистые руки и равномерно распределить. Повторяйте по мере необходимости.
19000209345;ZIELINSKI & ROZEN Grapefruit, Patchouli, White Rose;крем для рук;;1650;1650;https://goldapple.ru/19000209345-grapefruit-patchouli-white-rose;75.44;Крем для рук интенсивно питает и смягчает кожу, легко впитывается, имеет мягкую текстуру.;Выдавить небольшое количество на чистые руки и равномерно распределить. Повторяйте по мере необходимости.
19000422958;TESORI D’ORIENTE HAMMAM;крем для рук;Италия;369;276;https://goldapple.ru/19000422958-hammam;72.68;Итальянский парфюмированный крем для рук от Tesori d’Oriente приглашает Вас окунуться в расслабляющий SPA, тёплые нишевые ноты цветов апельсина, слегка винтажный шлейф жасмина и ванили. Итальянские мастера парфюмеры создали универсальный уход для рук и тела - яркий, сладкий, томный, невероятно стойкий, оттенённый пудровыми нотами в шлейфе. Благодаря проверенному дерматологами составу, итальянская уходовая косметика Tesori увлажняет и питает кожу.;Нанесите небольшое количество крема на чистые и сухие руки. Массируйте крем в кожу рук до полного впитывания. Повторяйте процедуру несколько раз в течение дня, особенно после контакта с водой или в условиях сухого воздуха. Помните, что кремы для рук могут использоваться ежедневно для увлажнения и смягчения кожи рук.
