article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000232575;ONLY BIO Art&Natural Пион и масло розы;крем для тела;Россия;486;243;https://goldapple.ru/19000232575-uvlaznausij-pion-i-maslo-rozy;246.96;Фактурный крем для тела с ароматом Розы и пиона.;Небольшое количество крема нанесите на тело.
19760340606;ZIELINSKI & ROZEN Black Pepper, Vetiver, Neroli, Amber;крем для тела;;3690;3690;https://goldapple.ru/19760340606-black-pepper-amber-neroli;184.0;Баланс эстетики и функциональности. Тонкий аромат и легкая, но при этом насыщенная текстура делают нанесение максимально комфортным: крем равномерно распределяется и быстро впитывается, не оставляя ощущения липкости, питает и увлажняет кожу.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нанесите крем на сухую или слегка влажную кожу и распределите легкими массажными движениями до полного впитывания.
19000021529;ZIELINSKI & ROZEN Black Vanilla;крем для тела;;3690;3690;https://goldapple.ru/19000021529-vanilla-blend;175.5;Баланс эстетики и функциональности. Тонкий аромат и легкая, но при этом насыщенная текстура делают нанесение максимально комфортным: крем равномерно распределяется и быстро впитывается, не оставляя ощущения липкости, питает и увлажняет кожу.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нанесите крем на сухую или слегка влажную кожу и распределите легкими массажными движениями до полного впитывания.
90150700001;ZIELINSKI & ROZEN Black Pepper, Vetiver, Neroli, Amber;крем для тела;;3690;3690;https://goldapple.ru/90150700001-black-pepper-amber-neroli;109.48;Баланс эстетики и функциональности. Тонкий аромат и легкая, но при этом насыщенная текстура делают нанесение максимально комфортным: крем равномерно распределяется и быстро впитывается, не оставляя ощущения липкости, питает и увлажняет кожу.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нанесите крем на сухую или слегка влажную кожу и распределите легкими массажными движениями до полного впитывания.
19000277455;ONLY BIO Art&Natural Масло ириса и Бурбонская ваниль;крем для тела;Россия;486;243;https://goldapple.ru/19000277455-iris-oil-and-bourbon-vanilla;85.54;Арома-крем для тела с драгоценным маслом ириса и бурбонской ванилью питает кожу, дарит ей упругость, эластичность и бархатистую мягкость, придает терпкий изысканный аромат, погружая в глубину красочной живописи Ван Гога.;Небольшое количество крема нанесите на тело и распределите его. Наслаждайтесь эффектом и приятным ароматом.
19760301695;ZIELINSKI & ROZEN Black Vanilla;крем для тела;;3690;3690;https://goldapple.ru/19760301695-vanilla-blend;84.48;Баланс эстетики и функциональности. Тонкий аромат и легкая, но при этом насыщенная текстура делают нанесение максимально комфортным: крем равномерно распределяется и быстро впитывается, не оставляя ощущения липкости, питает и увлажняет кожу.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нанесите крем на сухую или слегка влажную кожу и распределите легкими массажными движениями до полного впитывания.
99000067560;MONO BEAUTY Naked Vanilla;крем для тела;;3180;445;https://goldapple.ru/99000067560-naked-vanilla;65.7;Крем для рук и тела - это настоящая находка для тех, кто ценит роскошь и качественный уход за кожей. Этот крем разработан с учетом самых современных технологий и особенностей чувствительной кожи, чтобы обеспечить ей максимальное увлажнение и питание на протяжении всего дня. Его шелковистая текстура мгновенно впитывается, не оставляя чувства жирности, а лишь нежное облако комфорта. Основу формулы составляют высококачественные натуральные масла, такие как масло ши и масло авокадо, которые известны своими питательными свойствами. Они глубоко проникают в кожу, восстанавливая её барьерные функции и защищая от потери влаги. Благодаря этому ваши руки и тело приобретают ухоженный вид и гладкость. Нежные, сладковатые ноты обволакивают и дарят атмосферу уюта, создавая ощущение тепла и расслабления. Этот изысканный благоухающий шлейф остается на коже на длительное время, поднимая настроение и создавая неповторимый шарм. Каждое нанесение крема становится маленьким ритуалом, который наполняет день положительными эмоциями. Крем обогащен витаминами и антиоксидантами, которые помогают защищать кожу от неблагоприятных факторов окружающей среды и замедляют процессы старения. Он способствует восстановлению и регенерации клеток, придавая коже упругость и эластичность. Регулярное использование этого крема не только улучшает внешний вид, но и защищает вашу кожу от воздействия влаги и температуры в холодное время года. Этот крем идеален для применения не только после душа, но и в течение дня, когда вам необходимо освежить и увлажнить руки и тело. Подарите себе удовольствие от качественного ухода и любви к своей коже с нашими уникальными косметическими средствами! Позвольте ей сиять, быть мягкой и увлажненной, как никогда раньше.;Нанесите небольшое количество крема и втирайте мягкими массирующими действиями. Дождитесь впитывания, крем не нужно смывать водой.
19760340609;ZIELINSKI & ROZEN Orange & Jasmine;крем для тела;;3690;3690;https://goldapple.ru/19760340609-orange-jasmine-vanilla;57.34;Баланс эстетики и функциональности. Тонкий аромат и легкая, но при этом насыщенная текстура делают нанесение максимально комфортным: крем равномерно распределяется и быстро впитывается, не оставляя ощущения липкости, питает и увлажняет кожу.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нанесите крем на сухую или слегка влажную кожу и распределите легкими массажными движениями до полного впитывания.
19000277456;ONLY BIO Art&Natural Ароматные цветы Живерни;крем для тела;Россия;486;243;https://goldapple.ru/19000277456-refreshing-fragrant-flowers-of-giverny;56.84;"""Освежающий арома-крем  со звонким летним ароматом раскрывается на коже, как симфония природы: переливами ландыша, нежностью жасмина и нотами бергамота. Он бережно ухаживает за кожей, увлажняет, придает упругость, а его аромат переносит Вас в волшебный мир благоухающих лугов Живерни.""";Небольшое количество крема нанесите на тело и распределите его. Наслаждайтесь эффектом и приятным ароматом.
19000200476;POÈMES DE PROVENCE ORANGE & OAKMOSS;крем для тела;Беларусь;1970;1024;https://goldapple.ru/19000200476-orange-oakmoss;52.8;Парфюмированный крем для тела, обогащенный комплексом витаминов и растительных масел, обладает смягчающим и увлажняющим действием, возвращает коже упругость и эластичность. Рапсовое масло питает и защищает, масло кокоса активизирует процесс обновления клеток, а экстракт зеленого чая воздействует на структуру кожи, разглаживая и смягчая ее.  Быстро впитывается, оставляя на коже легкий цитрусовый аромат.;Наносить на сухую кожу тела легкими массажными движениями. Не смывать.
