article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000080169;JMELLA In France Queen 5';лосьон для тела;Республика Корея;655;484;https://goldapple.ru/19000080169-in-france-queen-5-body-lotion;219.12;Лосьон с ароматом жасмина, белого мускуса и нотой альдегида увлажняет, возвращает коже упругость и эластичность.  Смягчает, устраняет раздражение и воспаление, шелушение, зуд и ощущение стянутости.  Лосьон быстро впитывается, не оставляет липкости и дискомфорта, экономно расходуется.;После душа нанесите лосьон на кожу и распределите мягкими массирующими движениями.
41100600001;DUFT & DOFT STOCKHOLM ROSE;лосьон для тела;Республика Корея;1313;525;https://goldapple.ru/41100600001-stockholm-rose;78.96;Нелипкий, быстро впитывающийся лосьон для рук и тела увлажняет и смягчает кожу, оставляя на ней изысканный аромат. Добиться интенсивного увлажнения помогают гиалуроновая кислота, удерживающая влагу в коже, и масло ши, которое устраняет сухость и повышает эластичность. После применения лосьона кожа выглядит здоровой и долго радует нежным ароматом.;Наносите обильное количество средства на кожу рук и тела по мере необходимости
7753700003;GUERLAIN Mon Guerlain;лосьон для тела;Франция;7500;7500;https://goldapple.ru/7753700003-mon-guerlain;52.92;Гамма средств по уходу за телом Mon Guerlain продлевает пленительное благоухание аромата. Легкая, тающая текстура лосьона мгновенно впитывается, обволакивая кожу мягкой атласной пеленой. Средство глубоко увлажняет кожу, придавая ей удивительную нежность и тонкий изысканный аромат Вашего любимого парфюма. Mon Guerlain – это восточный свежий аромат. Свежесть лаванды карла, особая разновидность которой культивируется в Провансе, контрастирует с негой индийского жасмина самбак и белого сандала из Австралии в сочетании с чувственной таитянской ванилью из Папуа-Новой Гвинеи.;
26730600005;BYREDO Bal d'Afrique;лосьон для тела;;10920;6552;https://goldapple.ru/26730600005-bal-d-afrique;47.0;Богатый витамином Е, лосьон для тела смягчает кожу, делает ее более гладкой и ароматной.    BAL D`AFRIQUE Париж, конец 20-ых гг. ХХ века, резонансное смешение авангардизма и африканской культуры. Bal d`Afrique рисует нам яркую сцену той невоздержанности и эйфории. Полные энергетики ноты бергамота, лимона, нероли, африканской календулы и бучу будоражат чувства.  Но после - нежный букет фиалок, лепестков жасмина и цикламена берёт верх и мягко подводит нас к пьянящей чёрной амбре, романтическому теплу ветивера и марокканского кедра.;
19000080177;JMELLA In France Sparkling Rosé;лосьон для тела;Республика Корея;655;589;https://goldapple.ru/19000080177-in-france-sparkling-rose-body-lotion;35.28;Лосьон с ароматом черной смородины, розы и мускуса увлажняет, возвращает коже упругость и эластичность. Смягчает, устраняет раздражение и воспаление, шелушение, зуд и ощущение стянутости. Лосьон быстро впитывается, не оставляет липкости и дискомфорта, экономно расходуется.;после душа нанесите лосьон на кожу и распределите мягкими массирующими движениями.
19000061264;HFC INDIAN VENUS;лосьон для тела;;7300;5840;https://goldapple.ru/19000061264-indian-venus;25.38;Легкий и воздушный лосьон для тела обеспечит вашей коже необходимый уход, не только даря ей глубокое увлажнение и мягкость в течение 24 часов, но и окутывая ее нежной вуалью изысканного аромата. Насладитесь таинственным восточным путешествием вместе с чувственной цветочно-древесной композицией. Сладкий дуэт мускуса и сандалового дерева подарит вам мечтательное настроение, в то время как лосьон для тела с его богатой ухаживающей формулой придаст вашей коже особую нежность и длительное увлажнение.;для наружного применения.
19000347895;LAB FRAGRANCE Ambroxan;лосьон для тела;Россия;1700;1360;https://goldapple.ru/19000347895-ambroxan;24.96;Насыщенный активными компонентами лосьон для тела возвращает нежность и мягкость даже очень сухой коже.  Питает и разглаживает, придавая ей шелковистость.  Масло ши обеспечивает интенсивное питание, выравнивает тон, возвращает сияние, смягчает, повышает эластичность.  Масло кокоса увлажняет, тонизирует, устраняет сухость и шелушения.  Быстро впитывается, оставляя на коже изысканный шлейф аромата Ambroxan.;Нанести лосьон на чистую кожу тела массирующими движениями до полного впитывания.
7140600005;NINA RICCI Nina;лосьон для тела;Испания;4626;3932;https://goldapple.ru/7140600005-nina;24.44;Nina ― соблазнительно-сладкое имя героини, рожденной под счастливой звездой. Она ― спонтанная и радостная муза, живущая своей очаровательной мечтой. Так же назван и ее аромат: элегантный и ультраженственный шлейф, который, впервые раскрываясь, демонстрирует свои уверенные и благородные грани. Этот парфюм, не похожий ни на один другой, представляет собой поэтическую композицию из ярких аккордов калабрийского лимона, лайма кайпиринья, гардении, яблока в карамели, кедрового дерева и белого мускуса. Лосьон для тела Nina станет прекрасным дополнением к оригинальному аромату и неотъемлемой частью ритуалов ухода за собой.;Наносить на чистую сухую кожу легкими массирующими движениями.
19000386848;EMI Perfumed Lotion №7;лосьон для тела;Россия;150;135;https://goldapple.ru/19000386848-perfumed-lotion-no7;16.32;Perfumed Lotion – это легкий лосьон, с мягкой текстурой, которая впитывается за считанные секунды, не создавая ощущения липкости, тяжести и пленки на коже.;Нанесите небольшое количество лосьона на тело, втирайте массажными движениями до полного впитывания. Подходит для ежедневного применения.
19000386844;EMI Perfumed Lotion №3;лосьон для тела;Россия;150;135;https://goldapple.ru/19000386844-perfumed-lotion-no3;16.32;Perfumed Lotion – это легкий лосьон, с мягкой текстурой, которая впитывается за считанные секунды, не создавая ощущения липкости, тяжести и пленки на коже.;Нанесите небольшое количество лосьона на тело, втирайте массажными движениями до полного впитывания. Подходит для ежедневного применения.
