article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000312024;FOR ME BY GOLD APPLE 06. Vanilla spark;молочко для тела;;725;435;https://goldapple.ru/19000312024-06-vanilla-spark;382.08;Парфюмированное молочко для тела с ароматом ванили, белого мускуса и амбры увлажняет и защищает кожу, оставляя на теле приятный ненавязчивый аромат. За счет легкой текстуры оно быстро впитывается и не оставляет ощущение липкости. При этом средство защищает кожу от вредного воздействия окружающей среды. Аромат молочка — это атмосфера свидания в луна-парке, полного беззаботной радости. Ваниль напоминает сладость крем-соды и сахарной ваты, а бархатный шлейф амбры и белого мускуса мысленно переносит в теплый романтический вечер. Кожа надолго сохраняет нежный аромат, остается гладкой и бархатно-мягкой. Увлажнение и питание обеспечивают масла макадамии, виноградной косточки и ши. Гладкость и эластичность коже придает коллаген, а сияние и здоровый вид — натуральные экстракты персика и миндаля. При курьерской доставке и самовывозе из супермаркета «‎Золотое Яблоко» у некоторых товаров могут отсутствовать стопперы — это специальная деталь, которая фиксирует дозатор в одном положении.;Небольшое количество молочка нанесите на чистую сухую кожу тела массажными движениями.
19000312027;FOR ME BY GOLD APPLE 07. Salty salt;молочко для тела;;725;435;https://goldapple.ru/19000312027-07-salty-salt;128.8;Парфюмированное молочко для тела с нотами морской соли, кипариса и лимона увлажняет и защищает кожу, оставляя на теле приятный ненавязчивый аромат. За счет легкой текстуры оно быстро впитывается и не оставляет ощущение липкости. При этом средство защищает кожу от вредного воздействия окружающей среды. Аромат молочка — одновременно прозрачный и глубокий, как океан, который бодрит и манит приключениями. Брызги морской воды переливаются на солнце и оставляют на коже блестящие кристаллы соли. Кожа надолго сохраняет нежный аромат, остается гладкой и бархатно-мягкой. Увлажнение и питание обеспечивают масла макадамии, виноградной косточки и ши. Гладкость и эластичность коже придает коллаген, а сияние и здоровый вид — натуральные экстракты персика и миндаля. При курьерской доставке и самовывозе из супермаркета «‎Золотое Яблоко» у некоторых товаров могут отсутствовать стопперы — это специальная деталь, которая фиксирует дозатор в одном положении.;Небольшое количество молочка нанесите на чистую сухую кожу тела массажными движениями.
19000269137;PAYOT Lait corps parfumé NEROLI DeTe;молочко для тела;;3314;1325;https://goldapple.ru/19000269137-lait-corps-parfume-neroli-dete;71.76;Молочко для тела PAYOT с легкой и тающей текстурой питает и увлажняет, оставляя нежный аромат нероли, петитгрейна, белого кедра и мускуса.  Масло ши восстанавливает кожу, придает мягкость и шелковистость.  Цветочный мед успокаивает, поддерживает увлажненность кожи. Эфирное масло петитгрейна дарит успокаивающий и расслабляющий эффект.;Нанесите молочко на чистую и сухую кожу.
19760302796;GIVENCHY  IRRESISTIBLE;молочко для тела;Франция;5800;5800;https://goldapple.ru/19760302796-irresistible;52.8;Нежное парфюмированное молочко для тела Irresistible от Givenchy глубоко увлажняет кожу, дарит ей мягкость, и обволакивает легким цветочным ароматом.  Композиция Irresistible Givenchy представляет собой дуэт роскошной розы и аккорда светлого дерева. Восхитительная роза сверкает, раскрываясь фруктовыми сочными гранями груши, амбретты и пудровой ноты ириса.  Это великолепное цветочно-фруктовое сочетание, дополняется аккордами кедра, янтарного дерева и едва уловимой нотой Мускуса.  Упаковка продукта на 50% состоит из переработанного пластика, что соответствует принципам ответственного потребления.  В банную линию Irresistible от Givenchy также входят гель для душа, мыло для тела, дезодорант в виде спрея и дымка для волос.;Нанесите небольшое количество средства на предварительно очищенную кожу тела и тщательно  распределите его
26290100006;NARCISO RODRIGUEZ For Her;молочко для тела;Франция;5800;3480;https://goldapple.ru/26290100006-for-her;29.14;Молочко для тела Narciso Rodriguez For Her имеет в меру жидкую легкую текстуру, которая моментально впитывается в кожу, без липких остатков на поверхности. Средство For Her равномерно проникает сквозь слои дермы, обволакивая и образуя на ней неощутимую шаль превосходного аромата. Молочко великолепно гармонирует с парфюмерной водой Narciso Rodriguez, дополняя друг друга и увеличивая продолжительность присутствия неповторимого аромата на теле. Использование молочка для тела допускается и в качестве самостоятельного продукта, при этом вы обеспечите себя нежным шлейфом и стойким райским ароматом.;
19000266762;DIOR J'adore Body Milk;молочко для тела;Франция;7800;7800;https://goldapple.ru/19000266762-j-adore;28.42;Молочко для тела J'adore Les Adorables увлажняет кожу, оставляя ощущение комфорта и свежести.  Молочко для тела на 92%* состоит из натуральных ингредиентов и содержит экстракт Жасмина. Продукт оставляет на коже цветочный аромат парфюмерной композиции J'adore.  Количество рассчитывается исходя из стандарта ISO 16128-1 и ISO 16128-2. Включено процентное содержание воды. Остальные 8% отвечают за функциональность и стабильность формулы и комфорт в применении.;Нажмите на помпу флакона, чтобы получить необходимое количество средства. Нанесите молочко на тело.
99000110936;SOMNA SECRA Eternal Glow;молочко для тела;Беларусь;4000;1320;https://goldapple.ru/99000110936-eternal-glow;15.0;Eternal Glow — увлажняющее молочко-лосьон для тела с деликатным шиммером и парфюмированным шлейфом. Это многофункциональное средство, которое объединяет уход, аромат и сияние — питает, смягчает и визуально выравнивает тон кожи. Эффект похож на жидкие колготки: кожа выглядит ровной, сияющей и ухоженной. Подходит как для ежедневного применения, так и для особых случаев, когда хочется чувствовать себя особенно женственной и уверенной. Формула сочетает уход за телом и ароматерапию. Амбра — даёт телесный, мягкий шлейф. Ваниль и тонка — уютная база с оттенком женственности. Лаванда — добавляет свежесть и внутренний комфорт. Шиммер для тела — мика и диоксид титана дарят коже деликатное сияние без навязчивого блеска. Eternal Glow особенно красиво раскрывается на светлой коже славянского типа, подчёркивая её фарфоровую гладкость. При этом крем-шиммер мягко подсвечивает любой оттенок кожи, визуально улучшая её текстуру и тон. Увлажняющая база, как у баттера, с маслами ши и миндаля глубоко питает кожу, а глицерин удерживает влагу. Лёгкая текстура впитывается за секунды, не оставляя липкости или жирности, не пачкает одежду. Подходит для всех типов кожи, включая чувствительную. Может использоваться как мист-шиммер при нанесении на зону декольте или плеч для быстрого эффекта перед выходом. Somna Eternal Glow — это не просто уход. Это энергия кожи, света и желания — в каждой капле.;Нанесите небольшое количество молочка на слегка влажную кожу после душа, уделяя внимание зонам декольте, плечам и другим участкам, где желательно подчеркнуть мерцающий эффект. Аккуратно распределите массажными движениями до полного впитывания.  Используйте ежедневно для поддержания увлажнённости и сияющего вида кожи.
19000304449;EPSOM.PRO   Shimmering body milk;молочко для тела;Россия;909;409;https://goldapple.ru/19000304449-shimmering-body-milk;6.02;Нежное молочко с маслами манго, жожоба, экстрактами маракуйи, ягод годжи и роскошным золотым шиммером увлажняет, смягчает и совершенствует кожу, придавая ей притягательную гладкость и сияние. Соли магния в составе восстанавливают липидный слой и поддерживают процессы заживления кожи. Средство оставляет на теле легкий сладкий аромат манго.;Нанести на сухую чистую кожу, дождаться впитывания.
19000393482;SPACE IN TAN Integration;молочко для тела;Россия;1399;1259;https://goldapple.ru/19000393482-integration;2.0;Используй лифтинг-молочко Space In Tan как ежедневный уход после душа. И как незаменимый уход после солнца или в холодные периоды.;Легкими массирующими движениями наносить средство на чистую кожу тела. Рекомендовано ежедневное применение.
19000393481;SPACE IN TAN Molecule;молочко для тела;Россия;1399;1259;https://goldapple.ru/19000393481-molecule;1.0;Липидовосполняющее молочко обладает роскошной свежей уникальной текстурой, благодаря базе на основе листьев алоэ. Не оставляет липкости и быстро впитывается. Он оставляет на коже тонкий шлейф аромата личи, бергамота, персика, жасмина, пиона, древесных нот и мускуса. Используй липидовосполняющее молочко Space In Tan как ежедневный уход после душа или ванны и незаменимый уход после солнца.;Легкими массирующими движениями наносить средство на чистую кожу тела. Рекомендовано ежедневное применение.
