article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000092355;ESSENTIAL PARFUMS PARIS ORANGE X SANTAL by Natalie Gracia-Cetto;мыло жидкое;Франция;3639;1637;https://goldapple.ru/19000092355-orange-x-santal-by-natalie-gracia-cetto;47.36;Парфюмированное жидкое мыло ESSENTIAL PARFUMS PARIS мягко очищает руки и кожу тела, оставляя изысканный аромат. Средство с растительным глицерином питает кожу и не вызывает сухости после очищения. Экологичная и мягкая формула, подходящая даже для чувствительной кожи, на 98% состоит из натуральных ингредиентов. Чувственный и яркий аромат объединяет ноты горького апельсина, сандалового дерева, базилика, дубового мха и кипариса.;нанесите на влажную кожу рук, вспеньте, затем смойте водой. Используйте в качестве геля для душа для очищения кожи тела.
19000092356;ESSENTIAL PARFUMS PARIS THE MUSC by Calice Becker;мыло жидкое;Франция;3639;1455;https://goldapple.ru/19000092356-the-musc-by-calice-becker;45.24;Парфюмированное жидкое мыло ESSENTIAL PARFUMS PARIS мягко очищает руки и кожу тела, оставляя изысканный аромат. Средство с растительным глицерином питает кожу и не вызывает сухости после очищения. Экологичная и мягкая формула, подходящая даже для чувствительной кожи, на 98% состоит из натуральных ингредиентов. Нежный аромат мыла окутывает нотами чарующего мускуса и свежей французской лаванды в сочетании с имбирём, сандалом и легкой сладостью пчелиного воска.;нанесите на влажную кожу рук, вспеньте, затем смойте водой. Используйте в качестве геля для душа для очищения кожи тела.
19000092354;ESSENTIAL PARFUMS PARIS NICE BERGAMOTE by Antoine Maisondieu;мыло жидкое;Франция;3639;3275;https://goldapple.ru/19000092354-nice-bergamote-by-antoine-maisondieu;41.58;Парфюмированное жидкое мыло ESSENTIAL PARFUMS PARIS мягко очищает руки и кожу тела, оставляя изысканный аромат. Средство с растительным глицерином питает кожу и не вызывает сухости после очищения. Экологичная и мягкая формула, подходящая даже для чувствительной кожи, на 98% состоит из натуральных ингредиентов. Игривый и солнечный аромат раскрывает ноты бергамота, жасмина, иланг-иланга и лепестков розы, а изысканный кедр и сладость бобов тонка дополняют яркую композицию.;нанесите на влажную кожу рук, вспеньте, затем смойте водой. Используйте в качестве геля для душа для очищения кожи тела.
19000021509;ZIELINSKI & ROZEN Black Vanilla;мыло жидкое;;2290;2290;https://goldapple.ru/19000021509-vanilla-blend;31.96;Эффективно очищает от всех видов загрязнений и подходит для ежедневного использования: средство содержит увлажняющие и смягчающие натуральные масла. Приятный бонус — ароматный шлейф, остающийся на коже несколько часов.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нажмите на дозатор, вспеньте мыло в руках и затем смойте водой.
19000210128;ZIELINSKI & ROZEN Pink Pepper, Elemi, Cinnamon, Leather;мыло жидкое;Израиль;2290;2290;https://goldapple.ru/19000210128-pink-pepper-elemi-cinnamon-leather;31.68;Мягко и эффективно очищает кожу от жира и других видов загрязнений. Подходит для ежедневного умывания, мытья рук и тела.;небольшое количество мыла нанести на влажную кожу, вспенить и тщательно смыть водой. Хранить в сухом, защищенном от света и недоступном для детей месте при температуре от +5 °С до +25 °С.
19000311742;TOUCH&RELAX Табак, ваниль и древесные ноты;мыло жидкое;Россия;693;388;https://goldapple.ru/19000311742-tabak-vanil-i-drevesnye-noty;24.5;Парфюмированный гель для мытья рук Табак, ваниль и древесные ноты. Эксклюзивная формула с ароматом селективного парфюма. Гель для мытья рук с роскошным ароматом табака, ванили и древесных нот подарит истинное удовольствие для души и тела! Его нежная воздушная пена бережно очищает, не нарушая pH кожи, и предотвращает ее сухость. Насыщенная формула геля содержит все необходимые ингредиенты для молодости, красоты и сияния кожи.  Ваша кожа гладкая и нежная, окутанная роскошным шлейфом селективной парфюмерии на целый день. -Комплекс натуральных масел глубоко питает, дарит гладкость и эластичность. -Д-пантенол и витамин Е защищают липидный барьер, смягчают и омолаживают кожу. -Натуральные экстракты предотвращают обезвоживание кожи, тонизируют, дарят свежий и сияющий вид. -Инулин – натуральный пребиотик поддерживает гармоничный баланс микробиома кожи.;Небольшое количество геля нанесите на влажную кожу рук, помассируйте до образования пены,  смойте водой.
90150300010;ZIELINSKI & ROZEN Orange & Jasmine;мыло жидкое;;2290;2290;https://goldapple.ru/90150300010-orange-jasmine-vanilla;23.92;Эффективно очищает от всех видов загрязнений и подходит для ежедневного использования: средство содержит увлажняющие и смягчающие натуральные масла. Приятный бонус — ароматный шлейф, остающийся на коже несколько часов.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нажмите на дозатор, вспеньте мыло в руках и затем смойте водой.
90150300009;ZIELINSKI & ROZEN Vetiver, Lemon;мыло жидкое;;2290;2290;https://goldapple.ru/90150300009-vetiver-lemon-bergamot;21.56;Эффективно очищает от всех видов загрязнений и подходит для ежедневного использования: средство содержит увлажняющие и смягчающие натуральные масла. Приятный бонус — ароматный шлейф, остающийся на коже несколько часов.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нажмите на дозатор, вспеньте мыло в руках и затем смойте водой.
19760314265;ZIELINSKI & ROZEN Tobacco, Cedarwood, Pepper;мыло жидкое;;2290;2290;https://goldapple.ru/19760314265-fiction;19.2;Эффективно очищает от всех видов загрязнений и подходит для ежедневного использования: средство содержит увлажняющие и смягчающие натуральные масла. Приятный бонус — ароматный шлейф, остающийся на коже несколько часов.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нажмите на дозатор, вспеньте мыло в руках и затем смойте водой.
19000311744;TOUCH&RELAX Черный перец, нероли и амбра;мыло жидкое;Россия;693;408;https://goldapple.ru/19000311744-cernyj-perec-neroli-i-ambra;17.48;Парфюмированный гель для мытья рук Черный перец, нероли и амбра. Эксклюзивная формула с ароматом селективного парфюма. Гель для мытья рук с непревзойденным ароматом черного перца, нероли и амбры превратит банальную процедуру в истинное наслаждение! Его нежная воздушная пена бережно очищает, не нарушая pH кожи, и предотвращает ее сухость. Насыщенная формула геля содержит все необходимые ингредиенты для молодости, красоты и сияния кожи.  Ваша кожа гладкая и нежная, с загадочным стойким шлейфом эксклюзивного парфюма. -Комплекс натуральных масел глубоко питает, дарит гладкость и эластичность -Д-пантенол и витамин Е защищают липидный барьер, смягчают и омолаживают кожу -Натуральные экстракты предотвращают обезвоживание кожи, тонизируют, дарят свежий и сияющий вид -Инулин – натуральный пребиотик поддерживает гармоничный баланс микробиома кожи.;Небольшое количество геля нанесите на влажную кожу рук, помассируйте до образования пены,  смойте водой.
19000306195;BANKA_HOME Булочки с корицей;мыло жидкое;Россия;710;639;https://goldapple.ru/19000306195-bulocki-s-koricej;15.04;"Жидкое мыло ""Булочки с корицей"". Аромат свежеиспеченных булочек с корицей, политых ванильной глазурью. Верхние ноты: Гвоздика, корица. Ноты сердца: Пломбир. Базовые ноты: Ваниль.";
19000295744;4FRESH BEAUTY Сандал и сычуаньский перец, Relaxing;мыло жидкое;Россия;703;421;https://goldapple.ru/19000295744-sandalwood-and-sichuan-pepper;14.72;"Парфюмированное жидкое мыло «Сандал и сычуаньский перец» – это средство для деликатного очищения, специально разработанное для кожи, требующей дополнительного питания. Благодаря своей мягкой растительной формуле мыло бережно воздействует на кожу, не повреждая ее естественный защитный барьер, предотвращает появление сухости и шелушений и защищает от негативного воздействия внешних факторов.  Пантенол в составе средства улучшает регенерацию клеток и защищает от обезвоживания. Пребиотики помогают поддерживать здоровый микробиом, а экстракт ламинарии глубоко увлажняет, повышает упругость и эластичность кожи, препятствует появлению первых признаков старения. Верхние ноты: бергамот, артемизия, шафран;  Ноты сердца: сычуаньский перец, ваниль, малина; Нижние ноты: сандал, мускус, амбра, кедр. Сложный многогранный аромат Scentease Relaxing с восточными древесными нотами и пряным аккордом окунает в атмосферу умиротворения и улучшает эмоциональный фон. Эффективность доказана научными исследованиями.";Нанесите небольшое количество мыла на влажную кожу, вспеньте, смойте водой.
19000084116;ZIELINSKI & ROZEN oakmoss, amber;мыло жидкое;;2290;2290;https://goldapple.ru/19000084116-oakmoss-amber;14.7;Эффективно очищает от всех видов загрязнений и подходит для ежедневного использования: средство содержит увлажняющие и смягчающие натуральные масла. Приятный бонус — ароматный шлейф, остающийся на коже несколько часов.;Нажмите на дозатор, вспеньте мыло в руках и затем смойте водой.
19000194517;POÈMES DE PROVENCE Bergamote & Lemon Flower;мыло жидкое;Беларусь;1090;882;https://goldapple.ru/19000194517-bergamote-lemon-flower;13.72;Парфюмированное жидкое мыло, обогащенное эфирными маслами бергамота и лайма, бережно очищает, оставляя на коже легкий аромат, растительные экстракты персика, граната и мелиссы тонизируют и питают, витамин Е восстанавливает, а глицерин смягчает и удерживает естественную влагу.  Подходит для мужчин и женщин.;Массажными движениями нанести на влажную кожу рук и/или тела, тщательно смыть водой.
19000322294;ZIELINSKI & ROZEN Apple, Lotus;мыло жидкое;Израиль;2290;2290;https://goldapple.ru/19000322294-apple-lotus;13.0;Бережно и эффективно очищает кожу, сохраняя ее мягкость. Подходит для ежедневного использования для рук и тела.;Вспеньте мыло ладонями, затем тщательно смойте теплой водой.
19000306204;BANKA_HOME Янтарь и кашемир;мыло жидкое;Россия;710;639;https://goldapple.ru/19000306204-antar-i-kasemir;11.04;"Жидкое мыло ""Янтарь и кашемир"". Это сложная древесная смесь с нотами янтаря.  Аромат представляет собой сочетание ванили, темного мускуса и сандалового дерева, с хорошо сбалансированной цитрусовой и цветочной нотой. Верхние ноты: Озон, жасмин. Ноты сердца: Бобы тонка, пачули, сандал, кожа. Базовые ноты: Пудра, светлый мускус, темный мускус, амбра.";
