article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
90151100001;ZIELINSKI & ROZEN Black Pepper, Vetiver, Neroli, Amber;мыло твердое;;890;890;https://goldapple.ru/90151100001-black-pepper-amber-neroli;440.86;Твердое мыло никогда не выйдет из моды, ведь тактильные ощущения — самое приятное, что можно испытывать. А положив кусочек мыла в гардероб одежда будет всегда пропитана любимым  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Вспенить мыло в руках. Тщательно смыть теплой водой.
90151100009;ZIELINSKI & ROZEN Black Vanilla;мыло твердое;;890;890;https://goldapple.ru/90151100009-vanilla-blend;153.0;Твердое мыло никогда не выйдет из моды, ведь тактильные ощущения — самое приятное, что можно испытывать. А положив кусочек мыла в гардероб одежда будет всегда пропитана любимым ароматом. Мыло имеет уникальную базу, создающую ощущение крема. От него не остаются мыльные следы на раковине или мыльнице. В составе только натуральные ингредиенты. Твердое мыло мягко и эффективно очищает кожу от жира и других видов загрязнений. Гигиеническое мыло Zielinski&Rozen подходит для ежедневного умывания лица, мытья рук и тела. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Вспенить мыло в руках. Тщательно смыть теплой водой
19760314277;ZIELINSKI & ROZEN Tobacco, Cedarwood, Pepper;мыло твердое;;890;890;https://goldapple.ru/19760314277-fiction;108.48;Твердое мыло никогда не выйдет из моды, ведь тактильные ощущения — самое приятное, что можно испытывать. А положив кусочек мыла в гардероб одежда будет всегда пропитана любимым ароматом. Мыло имеет уникальную базу, создающую ощущение крема. От него не остаются мыльные следы на раковине или мыльнице. В составе только натуральные ингредиенты. Твердое мыло мягко и эффективно очищает кожу от жира и других видов загрязнений. Гигиеническое мыло Zielinski & Rozen подходит для ежедневного умывания лица, мытья рук и тела. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Вспенить мыло в руках. Тщательно смыть теплой водой.
90151100008;ZIELINSKI & ROZEN Orange & Jasmine;мыло твердое;;890;890;https://goldapple.ru/90151100008-orange-jasmine-vanilla;75.84;Твердое мыло никогда не выйдет из моды, ведь тактильные ощущения — самое приятное, что можно испытывать. А положив кусочек мыла в гардероб одежда будет всегда пропитана любимым ароматом. Мыло имеет уникальную базу, создающую ощущение крема. От него не остаются мыльные следы на раковине или мыльнице. В составе только натуральные ингредиенты. Твердое мыло мягко и эффективно очищает кожу от жира и других видов загрязнений. Гигиеническое мыло Zielinski&Rozen подходит для ежедневного умывания лица, мытья рук и тела.;Вспенить мыло в руках. Тщательно смыть теплой водой
19000035805;ZIELINSKI & ROZEN Peach, Passion fruit, Musk;мыло твердое;;890;890;https://goldapple.ru/19000035805-peach-passion-fruit-musk;51.04;Твердое мыло никогда не выйдет из моды, ведь тактильные ощущения — самое приятное, что можно испытывать. А положив кусочек мыла в гардероб одежда будет всегда пропитана любимым ароматом.  Мыло имеет уникальную базу, создающую ощущение крема. От него не остаются мыльные следы на раковине или мыльнице.  В составе только натуральные ингредиенты. Твердое мыло мягко и эффективно очищает кожу от жира и других видов загрязнений.  Гигиеническое мыло Zielinski&Rozen подходит для ежедневного умывания лица, мытья рук и тела.;Вспенить мыло в руках. Тщательно смыть теплой водой.
19760331243;ZIELINSKI & ROZEN Oakmoss & Amber;мыло твердое;;890;890;https://goldapple.ru/19760331243-oakmoss-amber;48.96;Ароматное мыло — беспроигрышный подарок по любому поводу и любому человеку: в том числе, самому себе. В составе — только натуральные ингредиенты, которые мягко и эффективно очищают кожу от загрязнений и не оставляют ощущения сухости после мытья.  Подходит для ежедневного мытья рук и тела, а компактную металлическую мыльницу удобно брать с собой в путешествия.  Также твердое мыло можно использовать как саше: если положить его в шкаф с одеждой, гардероб наполнится любимым ароматом.;Храните мыло в гардеробе в качестве саше или используйте по прямому назначению: вспеньте в руках и смойте водой.
19000180344;ZIELINSKI & ROZEN Grapefruit, Basil, Petitgrain;мыло твердое;Россия;890;890;https://goldapple.ru/19000180344-grapefruit-basil-petitgrain;43.2;Ароматное мыло — беспроигрышный подарок по любому поводу и любому человеку: в том числе, самому себе. В составе — только натуральные ингредиенты, которые мягко и эффективно очищают кожу от загрязнений и не оставляют ощущения сухости после мытья.  Подходит для ежедневного мытья рук и тела, а компактную металлическую мыльницу удобно брать с собой в путешествия.  Также твердое мыло можно использовать как саше: если положить его в шкаф с одеждой, гардероб наполнится любимым ароматом.;Храните мыло в гардеробе в качестве саше или используйте по прямому назначению: вспеньте в руках и смойте водой.
19000345270;ZIELINSKI & ROZEN Powder;мыло твердое;Россия;890;890;https://goldapple.ru/19000345270-powder;42.14;Мягко и эффективно очищает кожу от жира и других видов загрязнений. Подходит для ежедневного умывания, мытья рук и тела.;Вспенить мыло в руках.  Тщательно смыть теплой водой.  Хранить в сухом месте при комнатной температуре.
19000019538;ZIELINSKI & ROZEN Bergamot, Green Tea, Sandalwood, Musk;мыло твердое;;890;890;https://goldapple.ru/19000019538-bergamot-green-tea-sandalwood-musk;31.96;Ароматное мыло — беспроигрышный подарок по любому поводу и любому человеку: в том числе, самому себе. В составе — только натуральные ингредиенты, которые мягко и эффективно очищают кожу от загрязнений и не оставляют ощущения сухости после мытья.  Подходит для ежедневного мытья рук и тела, а компактную металлическую мыльницу удобно брать с собой в путешествия.  Также твердое мыло можно использовать как саше: если положить его в шкаф с одеждой, гардероб наполнится любимым ароматом.;Храните мыло в гардеробе в качестве саше или используйте по прямому назначению: вспеньте в руках и смойте водой.
90151100013;ZIELINSKI & ROZEN Cedarwood, Patchouli, Jasmine;мыло твердое;;890;890;https://goldapple.ru/90151100013-717;27.84;Твердое мыло никогда не выйдет из моды, ведь тактильные ощущения — самое приятное, что можно испытывать. А положив кусочек мыла в гардероб одежда будет всегда пропитана любимым ароматом. Мыло имеет уникальную базу, создающую ощущение крема. От него не остаются мыльные следы на раковине или мыльнице. В составе только натуральные ингредиенты. Твердое мыло мягко и эффективно очищает кожу от жира и других видов загрязнений. Гигиеническое мыло Zielinski & Rozen подходит для ежедневного умывания лица, мытья рук и тела. Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Вспенить мыло в руках. Тщательно смыть теплой водой.
