article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
83700700005;DR. VRANJES FIRENZE Rosso Nobile;набор ароматов для дома;;12000;12000;https://goldapple.ru/83700700005-rosso-nobile;38.4;Восхитительный дуэт для роскошного аромадекора станет отличным подарком для себя и самых любимых! Истинная магия Тосканы, запечатленная в неповторимой ольфакторной композиции.  Позвольте себе насладиться ароматом знаменитого красного вина с холмов Кьянти с едва ощутимыми аккордами цветов апельсина, клубники, лесных ягод, переплетающимися с чуть шершавыми, дымными и теплыми нотами дуба и березовой древесины, которые отсылают к прославленным на весь мир винам в драгоценных дубовых бочках.  Главный бестселлер Dr. Vranjes Firenze с насыщенным, ярким и утонченным ароматом, созвучным благородному красному вину, одному из ключевых символов Италии.  Совершенное сочетание нот и безупречное элегантное оформление превращает Rosso Nobile в символ непревзойденного стиля и благополучия. Рефил с ароматом позволит продлить удовольствие, сохранив атмосферу надолго.;"Поместите во флакон все палочки, таким образом аромат не будет испаряться через открытое горлышко флакона. Для того, чтобы отрегулировать интенсивность аромата, переворачивайте необходимое количество палочек ежедневно (1-2 для деликатного, еле заметного звучания; все палочки – для более яркого). Для оптимального распространения аромата диффузор следует разместить в центре комнаты, чтобы воздух циркулировал при прохождении людей. В больших помещениях рекомендуется разместить два диффузора на противоположных концах комнаты.  Выбирайте объем флакона в зависимости от помещения. Необходимо поддерживать уровень жидкости в диффузоре выше середины флакона, это позволит сохранить аутентичное звучание аромата.  Для этого используйте рефил, регулярно добавляя необходимый объем ароматической жидкости в стеклянный флакон диффузора."
19000236082;NICE BY SEPTIVIT Formula 01 + Formula 02 + Formula 03;набор ароматов для дома;Россия;896;806;https://goldapple.ru/19000236082-formula-01-formula-02-formula-03;27.26;NICE by Septivit - эксперт в сфере эко продуктов для ухода за собой и домашнего уюта. Вся продукция компании разработана в собственной лаборатории SEPTIVIT: полностью безопасна для здоровья и экологии, а также не тестируется на животных. Набор состоит из трех флаконов по 300мл с различными ароматами для дома – розовое дерево, пряный шалфей и дамасская роза. Парфюм для дома - это универсальный освежитель воздуха, призванный создать уютную благоухающую атмосферу у вас дома. Гипоаллергенный акваспрей-освежитель на водной основе безопасен для природы и человека. Водный поглотитель запаха не только приносит освежающий аромат, но и нейтрализует стойкие неприятные запахи от домашних животных, приготовления пищи, туалета, табачных изделий ( антитабак ) и других источников. Освежитель используют как для жилых комнат, туалета и ванны, так и для машины, шкафа для одежды и белья, гаража и других помещений. Удобный спрей дозатор помогает равномерно распылять средство. Поддерживайте экологию и получайте удовольствие от уютной атмосферы у себя дома вместе с ароматизатором от NICE BY SEPTIVIT. Нажмите на логотип продавца SEPTIVIT Premium, чтобы ознакомиться с широким ассортиментом экологически чистой продукцией бренда. Состав набора: аромат для дома 3*300мл.;Хорошо встряхните флакон. Держа его вертикально, распылите в нужном количестве по помещению. При необходимости повторите.
19000234788;BY KAORI Rose and Peach;набор ароматов для дома;Россия;2690;2690;https://goldapple.ru/19000234788-rose-and-peach;6.16;Цветочный аромат сочного персика и лепестков нежной розы. Аромат высокой насыщенности, благодаря которому в вашей комнате будет пахнуть спелыми персиками и сливами. Ноты розы и корицы придают аромату сладость и пряность. Аккорды чёрной смородины и кокоса раскрываются в помещении в душистый сладкий шлейф.  Вы полюбите ROSE AND PEACH, если давно мечтаете оказаться в согретой солнцем Италии и хотите ощутить в своём доме долгожданное жаркое лето. Аромат подойдёт как для просторной гостиной, так и для ванной комнаты.   ROSE AND PEACH также идеально впишется в светлые интерьеры с панорамными окнами.;Наполните стеклянный флакон арома жидкостью из пластикового рефила. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.
19000234764;BY KAORI Dune;набор ароматов для дома;Россия;2690;2690;https://goldapple.ru/19000234764-dune;3.6;Дерзкий, пряный аромат жаркого солнца и острого перца. Аромат высокой насыщенности, который заполнит собой все ваше пространство. Цитрусовые ноты апельсина и грейпфрута окрашивают шлейф приятной сладостью. Громкие аккорды перца растворяются в яркий, дерзкий и огненный аромат. Вкрапления кедра и ветивера дополняют композицию согревающим, древесным звучанием.  DUNE идеально подойдёт для тех, кто скучает по палящему солнцу и бескрайним пустынным барханам. Этот аромат впустит в ваш дом солнце, тепло и долгожданное лето.;Наполните стеклянный флакон арома жидкостью из пластикового рефила наполовину. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.
19000234803;BY KAORI Tobacco Vanilla;набор ароматов для дома;Россия;3890;3890;https://goldapple.ru/19000234803-tobacco-vanilla;3.0;Тёплый мягкий аромат табачных листьев и сладкой ванили. Аромат средней насыщенности. Ноты специй и листьев табака в помещении постепенно раскрываются в богатый, деликатный аромат ванили и какао. Шлейф проявляется в полупрозрачных нотах древесной коры и сухофруктов.  В закрытом пространстве TOBACCO VANILLA распространяется плавно, пик аромата наиболее выражен в первые минуты нахождения в помещении. Вам подойдёт TOBACCO VANILLA, если в аромате вы цените легкость, сладость и ненавязчивость, а также если вы хотите придать помещению солидность и роскошь. Аромат идеально подойдёт для прихожей и спальни, а также станет отличным дополнением для тёмного современного интерьера.;Наполните стеклянный флакон арома жидкостью из пластикового рефила. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.
19000234746;BY KAORI Amber Lily;набор ароматов для дома;Россия;2690;2690;https://goldapple.ru/19000234746-amber-lily;2.58;Терпкий древесный аромат амбры, имбиря и водяной лилии. Ярчайший аромат с высоким душистым спектром, быстро наполняет собой окружающее пространство. Ноты чёрного кардамона и имбиря мгновенно задают тон всей композиции. Плавные аккорды жасмина и орхидеи смягчают аромат, постепенно растворяясь в насыщенный шлейф, приправленный нотками сандала и кожи. AMBER LILY - идеальный аромат для тех, кто обожает терпкие восточные композиции и мечтает наполнить своё помещение согревающим пряным ароматом. Выбирайте AMBER LILY, если хотите украсить натуральный интерьер просторной гостиной с элементами темного дерева, мрамора и растений.;Наполните стеклянный флакон арома жидкостью из пластикового рефила наполовину. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.
19000234778;BY KAORI Green Mango;набор ароматов для дома;Россия;2690;2690;https://goldapple.ru/19000234778-green-mango;2.0;Сочный фруктовый аромат свежего манго и хрустящего ананаса. Аромат с высокой концентрацией душистых веществ, который заполняет собой все пространство. Ноты зелёного манго и дыни раскрываются в помещении в яркий, свежий аромат нарезанных фруктов. Аккорды ананаса и персика усиливают сладость аромата, а финальные штрихи хвои перерастают в насыщенный, растительный шлейф.  GREEN MANGO - верное решение для тех, кто любит фруктовые, но не приторные ароматы, а также - для истинных ценителей манго.   Аромат идеально подойдёт для прихожей, светлой гостиной, а также для небольшого салона красоты.;Наполните стеклянный флакон арома жидкостью из пластикового рефила. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.
19000237928;CASA LEGGERA Pino;набор ароматов для дома;Россия;7800;6240;https://goldapple.ru/19000237928-pino;2.0;Новогодний набор Casa Leggera — это изысканный подарок для любителей уникальных ароматов. В него входят два продукта, которые помогут создать неповторимую атмосферу в доме: Диффузор Pino —  стильный и элегантный аксессуар для дома, в котором друг друга находят теплое и праздничное сочетание апельсинов, клюквы и корицы. Диффузор 200 мл прослужит от пяти до шести месяцев. В набор также входят пять ротанговых палочек черного цвета. Свеча Pino станет отличным спутником в создании уюта и праздничной атмосферы. Ароматы мускатного ореха, красного винограда, ванили и гвоздики идеально подходит для холодных зимних вечеров. Время горения свечи объёмом 300 мл от 50 до 60 часов.;"Для Диффузора: Переворачивайте палочки каждые две недели, чтобы обеспечить более длительный срок действия и стойкости аромата.  Установите аромадиффузор на ровной поверхности в подходящем месте, чтобы случайно его не уронить. Изделие можно поставить в кабинете, спальне, прихожей, ванной или гардеробной комнате.  Обратите внимание, что повышенная влажность помещения ускоряет время испарения жидкости диффузора. Использование диффузора можно начать с трёх-четырёх палочек. По желанию количество палочек можно увеличить или уменьшить. Для Свечи:  Подрезать фитиль при каждом использовании, так свеча не будет ""коптить"". Оптимальная высота фитиля 5 миллиметров. Тушить свечу крышкой. Не оставлять свечу без присмотра. Держать подальше от солнечных лучей."
19000234768;BY KAORI Etna;набор ароматов для дома;Россия;2690;2690;https://goldapple.ru/19000234768-etna;1.98;Аромат, который будет обволакивать все пространство вокруг. Ноты кожи и чёрного перца сразу громко заявляют о себе, а в сочетании с аккордами гвоздики, шалфея и мёда сливаются в терпкую самодостаточную композицию. Аромат оставляет насыщенный амбровый шлейф, дополненный нотками табака и пачули.  Вам идеально подойдёт ETNA, если от аромата вы ожидаете пряности, жгучести и огненного взрыва ярких восточных нот.  ETNA прекрасно впишется в тёмный интерьер просторной гостиной, холла, а также выгодно подчеркнёт элементы из дерева и грубого камня.;Наполните стеклянный флакон арома жидкостью из пластикового рефила. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.
19000234748;BY KAORI Bamboo;набор ароматов для дома;Россия;2690;2690;https://goldapple.ru/19000234748-bamboo;1.6;Зеленый свежий аромат весенних цветов и стебля бамбука. Аромат со средней насыщенностью душистых веществ, мягко наполняет собой пространство. Ноты бергамота и бамбука растворяются в мягкую растительную дымку. Ведущие аккорды лилии и иланг-иланга насыщают пространство цветочным ароматом. Финальный штрих - нота ванили - окрашивает помещение сладостью. BAMBOO точно пополнит вашу коллекцию ароматов, если вы - фанат растительной свежести и нежного аромата цветов.BAMBOO идеален для светлых интерьеров, небольшой спальни и ванной комнаты.;Наполните стеклянный флакон арома жидкостью из пластикового рефила наполовину. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.
