article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000179919;MALUNA №38;набор свечей;Россия;500;399;https://goldapple.ru/19000179919-no38;10.34;Набор свечей #38 MALUNA запускает активацию денежного потока, привлечение изобилие и материальное благосостояние. В набор входят 3 желтые свечи с календулой, 3 зеленые свечи с базиликом, 3 красные свечи с мятой, 3 голубые свечи с чабрецом. Идеально подходят для медитаций и практик, направленных на разрешение кризисных финансовых ситуаций, а также при раскладах таро и загадывании желаний. Каждая свеча изготавливается вручную в период растущей луны, чтобы привлечь в вашу жизнь желаемое. Свечи не содержат отдушек и ароматизаторов, поэтому обладают натуральным ароматом.;Поджигайте свечи с помощью спичек. Чтобы свеча устойчиво стояла на подсвечнике, проведите огнём по низу свечи. Не зажигайте свечу с легко воспламеняемыми предметами. Не оставляйте свечу без присмотра.
19000179925;MALUNA jasmine;набор свечей;Россия;390;351;https://goldapple.ru/19000179925-jasmine;9.88;Цветные свечи-скрутки с жасмином привлекут в жизнь удачу и помогут улучшить свое материальное положение. Идеально подходят для медитаций и практик, направленных на жизненные изменения, а также при раскладах таро и загадывании желаний. Каждая свеча изготавливается вручную в период растущей луны, чтобы привлечь в вашу жизнь желаемое. Свечи не содержат отдушек и ароматизаторов, поэтому обладают натуральным ароматом.;Поджигайте свечи с помощью спичек. Чтобы свеча устойчиво стояла на подсвечнике, проведите огнём по низу свечи. Не зажигайте свечу с легко воспламеняемыми предметами. Не оставляйте свечу без присмотра.
19000179920;MALUNA №39;набор свечей;Россия;500;399;https://goldapple.ru/19000179920-no39;9.68;Набор свечей #39 MALUNA помогает активировать женскую энергию, усилить привлекательность, обрести внутреннюю гармонию и силу. В набор входят 3 желтые свечи с календулой, 3 белые свечи с розой, 3 коричневые свечи с березой, 3 синие свечи с лавандой. Идеально подходят для медитаций и практик, направленных на работу со своим потенциалом и предназначением, а также при раскладах таро и загадывании желаний. Каждая свеча изготавливается вручную в период растущей луны, чтобы привлечь в вашу жизнь желаемое. Свечи не содержат отдушек и ароматизаторов, поэтому обладают натуральным ароматом.;Поджигайте свечи с помощью спичек. Чтобы свеча устойчиво стояла на подсвечнике, проведите огнём по низу свечи. Не зажигайте свечу с легко воспламеняемыми предметами. Не оставляйте свечу без присмотра.
19000352990;ZIELINSKI & ROZEN Orange & Jasmine;набор свечей;Россия;5990;5990;https://goldapple.ru/19000352990-orange-jasmine;9.0;"Созданный парфюмером набор Zielinski & Rozen Candles - универсальный инструмент для перезагрузки и восполнения энергии. А еще - отличный способ наполнить дом ароматом, уютом, теплом, светом и музыкой. В наборе 13 свечей необычной для бренда классической удлиненной формы. Число неслучайно: в Израиле оно является одним из важных и счастливых. Продолжительность горения каждой свечи - 310 минут.  В комплект также входят подсвечник в винтажном стиле с гравировкой-слоганом бренда ""С каждым вдохом чувствовать себя собой"" .";Поставить свечу в подсвечник. Зажечь фитиль. Возможно использование в помещении, на веранде или в саду. По мере горения свечи наполняют пространство приятным ароматом.
19000179909;MALUNA wormwood;набор свечей;Россия;390;351;https://goldapple.ru/19000179909-wormwood;8.28;Черные свечи с полынью послужат идеальным оберегом и защитником от недоброжелателей и негативных воздействий. Идеально подходят для медитаций и практик, направленных на чистку своей и окружающей энергетики, а также при раскладах таро и загадывании желаний. Каждая свеча изготавливается вручную в период растущей луны, чтобы привлечь в вашу жизнь желаемое. Свечи не содержат отдушек и ароматизаторов, поэтому обладают натуральным ароматом.;Поджигайте свечи с помощью спичек. Чтобы свеча устойчиво стояла на подсвечнике, проведите огнём по низу свечи. Не зажигайте свечу с легко воспламеняемыми предметами. Не оставляйте свечу без присмотра.
19000343695;BOOMBLOOM Your choice: Joy;набор свечей;Россия;3330;2997;https://goldapple.ru/19000343695-your-choice-joy;7.92;В наборах BOOM BLOOM (Бу́м Блу́м) Your Choice мы собрали идеальные сочетания, которые вызывают приятные и любимые нами чувства — веселье, удовольствие и вдохновение. Веселье — самая звонкая эмоция, которая вприпрыжку уносит нас в беззаботность и дарит светлые воспоминания.  Набор Your choice: joy вдохновлен именно этими ощущениями. Он состоит из ярких, непринужденных ароматов: American Movies | «Американское кино» — микс из нот попкорна, карамели, ванили, топленого сливочного масла и тростникового сахара.  Limoncello on my mind | «Настроение — Лимончелло!» — бодрящая, сочная композиция с цитрусовыми аккордами. Strawberry Sky | «Клубничное небо» — воздушное сочетание сахарной ваты и лимонно-клубничных леденцов. Площадь ароматизации свечи BOOM BLOOM весом 90 гр. — от 10 м², при горении не менее одного часа.  Для ароматизации большего пространства зажгите несколько свечей.  Не бойтесь экспериментировать и использовать разные ароматы одновременно.;Подрежьте фитиль свечи до 5 мм., зажгите его и оставьте гореть на 1-3 часа, пока расплавленный воск не достигнет стенок сосуда.  Не жгите свечу дольше трех часов подряд. Подрезайте фитиль перед каждым использованием. Попробуйте эти простые правила, чтобы продлить срок службы свечи.
19000179918;MALUNA №37;набор свечей;Россия;500;400;https://goldapple.ru/19000179918-no37;7.36;Набор свечей #37 MALUNA помогает укрепить семейные взаимоотношения, привлечь в дом финансовое благополучие. В набор входят черные свечи с полынью 3 шт, зеленые свечи с базиликом 3 шт, коричневые свечи с березой 3 шт, голубые свечи с чабрецом 3 шт. Идеально подходят для медитаций и практик, направленных на защиту дома и семьи, сохранение семейного очага, а также при раскладах таро и загадывании желаний. Каждая свеча изготавливается вручную в период растущей луны, чтобы привлечь в вашу жизнь желаемое. Свечи не содержат отдушек и ароматизаторов, поэтому обладают натуральным ароматом.;Поджигайте свечи с помощью спичек. Чтобы свеча устойчиво стояла на подсвечнике, проведите огнём по низу свечи. Не зажигайте свечу с легко воспламеняемыми предметами. Не оставляйте свечу без присмотра.
19000327404;MALUNA для Раков;набор свечей;Россия;660;594;https://goldapple.ru/19000327404-dla-rakov;7.0;Раки – знак зодиака, который максимально раскрывается в отношениях и браке. От природы надежные, любящие и чувственные Раки имеют особенную склонность к художеству, искусству и творчеству. Набор свечей MALUNA - прекрасный атрибут, чтобы укрепить сильные стороны Раков и максимально раскрыть потенциал, развить особенности характера. Мы создали специальную комбинацию свечей с травами, чтобы при проведении практик и медитаций, намерение только усиливалось, а энергия аккумулировалась. В дополнение мы подобрали специальный камень-амулет природной формы, который будет служить оберегом, охранять носителя, а также приносить удачу. Камень Раков – лунный. Он является символом гармонии и баланса, способен обострить интуицию и находить ответы на самые важные вопросы. Зажигайте свечи рядом с вашим талисманом, вкладывайте в него свои идеи и желания, используйте в ежедневных практиках, носите с собой или храните в особенном месте дома. Внутри набора вы найдете 3 розовые свечи с жасмином, 3 белые свечи с шафраном, 3 коричневые свечи с березой, а также кристалл-амулет лунный камень;Поджигайте свечи с помощью спичек. Чтобы свеча устойчиво стояла на подсвечнике, проведите огнём по низу свечи. Не зажигайте свечу с легко воспламеняемыми предметами. Не оставляйте свечу без присмотра. Зажигайте свечи рядом с вашим камнем-амуллетом, вкладывайте в него свои идеи и желания, используйте в ежедневных практиках, носите с собой или храните в особенном месте дома.
19000327405;MALUNA для Львов;набор свечей;Россия;660;594;https://goldapple.ru/19000327405-dla-l-vov;6.0;Львы – знак зодиака, отличающийся особой пылкостью, уверенностью и властностью. Лидеры по натуре Львы соглашаются только на ведущую роль, в которой они смогут максимально раскрыться и проявить свой характер.  Набор свечей MALUNA - прекрасный атрибут, чтобы укрепить сильные стороны Львов и максимально раскрыть потенциал, развить особенности характера. Мы создали специальную комбинацию свечей с травами, чтобы при проведении практик и медитаций, намерение только усиливалось, а энергия аккумулировалась. В дополнение мы подобрали специальный камень-амулет природной формы, который будет служить оберегом, охранять носителя, а также приносить удачу. Камень Львов – сердолик. Он помогает побороть страхи и сомнения, наделяет решимостью, чтобы уверенно двигаться к своей мечте. Зажигайте свечи рядом с вашим талисманом, вкладывайте в него свои идеи и желания, используйте в ежедневных практиках, носите с собой или храните в особенном месте дома. Внутри набора вы найдете 3 фиолетовые свечи с мальвой, 3 красные свечи с гранатом, 3 зеленые свечи с базиликом, а также кристалл-амулет сердолик.;Поджигайте свечи с помощью спичек. Чтобы свеча устойчиво стояла на подсвечнике, проведите огнём по низу свечи. Не зажигайте свечу с легко воспламеняемыми предметами. Не оставляйте свечу без присмотра. Зажигайте свечи рядом с вашим камнем-амуллетом, вкладывайте в него свои идеи и желания, используйте в ежедневных практиках, носите с собой или храните в особенном месте дома.
19000179906;MALUNA sage;набор свечей;Россия;390;312;https://goldapple.ru/19000179906-sage;5.4;Фиолетовые свечи с шалфеем направлены на улучшение эмоционального состояния, снижение тревожности и беспокойств. Идеально подходят для медитаций и практик, направленных на познание внутреннего «я» и обретение душевного комфорта, а также при раскладах таро и загадывании желаний. Каждая свеча изготавливается вручную в период растущей луны, чтобы привлечь в вашу жизнь желаемое. Свечи не содержат отдушек и ароматизаторов, поэтому обладают натуральным ароматом.;Поджигайте свечи с помощью спичек. Чтобы свеча устойчиво стояла на подсвечнике, проведите огнём по низу свечи. Не зажигайте свечу с легко воспламеняемыми предметами. Не оставляйте свечу без присмотра.
