article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000325945;ESSENTIAL PARFUMS PARIS Discovery Set;наборы миниатюр;Франция;3012;2710;https://goldapple.ru/19000325945-discovery-set;660.56;"В состав набора входят:   ""NICE BERGAMOTE by Antoine Maisondieu"" 2 мл,  ""ROSE MAGNETIC by Sophie Labbé"" 2мл,  ""ORANGE X SANTAL by Natalie Gracia-Cetto"" 2 мл,  ""MON VETIVER by Bruno Jovanovic"" 2 мл,  ""THE MUSC by Calice Becker"" 2 мл,  ""DIVINE VANILLE by Olivier Pescheux"" 2 мл,  ""BOIS IMPERIAL by Quentin Bisch"" 2 мл,  ""FIG INFUSION by Nathalie Lorson"" 2 мл,  ""PATCHOULI MANIA by Fabrice Pellegin"" 2 мл,  ""NEROLI BOTANICA by Anne Flipo"" 2 мл.";только для наружного применения.
19000433003;ESSENTIAL PARFUMS PARIS DISCOVERY SET;наборы миниатюр;Франция;3333;2166;https://goldapple.ru/19000433003-discovery-set;172.96;Попробуйте 11 оригинальных ароматов от 11 знаменитых парфюмеров, создавших яркие и выразительные композиции для ESSENTIAL PARFUMS. В набор пробников входят ароматы: ORANGE X SANTAL от Natalie Gracia-Cetto (2 мл). NICE BERGAMOTE от Antoine Maisondieu (2 мл). THE MUSC от Calice Becker (2 мл). ROSE MAGNETIC от Sophie Labbé (2 мл). MON VETIVER от Bruno Jovanovic (2 мл). DIVINE VANILLE от Olivier Pescheux (2 мл). BOIS IMPERIAL от Quentin Bisch (2 мл). FIG INFUSION от Nathalie Lorson (2 мл). PATCHOULI MANIA от Fabrice Pellegin (2 мл). NEROLI BOTANICA от Anne Flipo (2 мл). VELVET IRIS от Dominique Ropion (2 мл). Откройте для себя изысканные ароматы, созданные на основе тщательно отобранных и экологически чистых ингредиентов, и выберите любимые парфюмерные композиции!;
19000325754;BYBOZO DISCOVERY SET;наборы миниатюр;ОАЭ;7700;6930;https://goldapple.ru/19000325754-discovery-set;161.92;Discovery Set — идеальный способ окунуться в мир ароматов бренда.  В нем собраны все 13 ароматов по 2 мл, чтобы вы смогли найти свой идеальный парфюм.  Это как мини-путешествие по ароматической палитре Bybozo : от дерзких и ярких до нежных и чувственных. Вы сможете попробовать каждый аромат, почувствовать его индивидуальность и открыть для себя новое любимое звучание.;Нанесение на поверхность кожи.
19000004528;VILHELM PARFUMERIE DEAR POLLY;наборы миниатюр;Франция;17550;12285;https://goldapple.ru/19000004528-dear-polly;123.48;Любовное послание в виде аромата, которое Ян Вильгельм посвящает своей жене Полли. Я сделал любовный напиток, исполненный нежности, будто утренний поцелуй любимого человека. Эрл грей – напиток, приятно согревающий тело, именно с него она начинает каждое утро. Немного яблока и мой поцелуй начинают ее день.;Наносите аромат на заднюю часть шеи, в зону декольте и на запястья с расстояния 10-15 см. Не рекомендуется растирать парфюмерную воду , так как это может нарушить правильный процесс раскрытия композиции.
83670200002;STATE OF MIND Butterfly Mind;наборы миниатюр;Франция;14532;13078;https://goldapple.ru/83670200002-butterfly-mind;118.68;В состав набора входит парфюмерная вода 20 мл в футляре + рефилл 20 мл. Невесомый цветочно-фруктовый аромат Butterfly Mind вызывает ассоциации с природой, молодостью и лёгкостью. На его создание вдохновила красота весны и вечного начала. В этом светлом, романтичном и многогранном аромате нежность белого чая и цветков сакуры гармонирует с фруктовыми нотами фейхоа. Украшают праздничный букет чувственные вишня и мускус.    Верхние ноты: белый чай, цветки сакуры  Ноты сердца: фейхоа, белый чай, лесной орех  Базовые ноты: вишня, мускус;
26733400001;BYREDO La Selection Nomade;наборы миниатюр;Франция;24310;18232;https://goldapple.ru/26733400001-la-selection-nomade;90.24;Тревел-коллекция парфюма от Byredo вобрала в себя насыщенный восточно древесный унисекс-парфюм Bal D'Afrique, нежный цветочный с чувственными мускусными акцентами Blanche и Gypsy Water с фужерными оттенками, созданными цитрусовой свежестью, древесными и бальзамическими нотами.;
19000284890;LIQUIDES IMAGINAIRES Seven Charms;наборы миниатюр;Италия;12831;11547;https://goldapple.ru/19000284890-seven-charms;90.16;В набор входят 7 ароматов LIQUIDES IMAGINAIRES (по 7,5 мл): FORTIS, DOM ROSA, FLEUR DE SABLE, PHAN-TASMA, BLANCHE BÊTE, BUVEUR DE VENT и ÂME DU COEUR.  Каждая парфюмерная вода обладает уникальным характером, пробуждает эмоции и околдовывает особыми чарами. Набор дает возможность познакомиться с бестселлерами бренда и открыть вселенную оригинальных ароматов LIQUIDES IMAGINAIRES.  Внешний вид товара может отличаться. Обращаем внимание, возможно поступление товара в разных дизайнах.;Только для наружного применения.
19000459518;ZIELINSKI & ROZEN Sweet & floral;наборы миниатюр;Россия;4500;4500;https://goldapple.ru/19000459518-sweet-floral;50.96;Аромат категории унисекс. Долго сохраняется на коже, оставляя легкий шлейф. В набор входит 5 ароматов по 3 мл: • Dark fig. • Peach, passion fruit, musk. • Apple, lotus. • Blackcurrant, geranium, amber, leather. • Amberwood, vanilla, davana.;Распылять на кожу с расстояния 30 см. Для усиления стойкости аромата наносить на разогретое или влажное тело.
26733400003;BYREDO La Selection Florale;наборы миниатюр;Франция;24310;14586;https://goldapple.ru/26733400003-la-selection-florale;42.24;Тревел-коллекция цветочных ароматов от Byredo включает три вида парфюма. В составе набора пионовый с пикантными нюансами Blanche, нежный со свежими и зелеными нотами La Tulipe, восточный, насыщенный с розовыми и малиновыми нотами в сердце Rose of no man's land;
19000004540;VILHELM PARFUMERIE ROOM SERVICE;наборы миниатюр;Франция;17550;10530;https://goldapple.ru/19000004540-room-service;38.4;Посвящение Грете Гарбо. Королева Голливуда.  Коварная обольстительница на сцене, в личной жизни Грета Гарбо держала свое сердце закрытым от публики.  Одна в своём номере отеля, облачённая в  струящийся атлас, она отстранялась от окружающего мира. Room Service – струящаяся словно шелк композиция, полная изысканной загадки и тайны. Пьянящий эротизм и провокационная отстраненность.;Наносите аромат на заднюю часть шеи, в зону декольте и на запястья с расстояния 10-15 см. Не рекомендуется растирать парфюмерную воду , так как это может нарушить правильный процесс раскрытия композиции.
