article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000368995;CLINIQUE HAPPY FOR HIM;наборы;Польша;14900;7450;https://goldapple.ru/19000368995-happy-for-him;39.2;Набор средств для мужчин. Одеколон для мужчин Happy For Men Cologne Spray 100 мл.  Скраб для лица Clinique For Men Face Scrub 100 мл используйте 2-3 раза в неделю или по мере необходимости. Особенно рекомендуется перед бритьем.  Happy For Men Hair & Body Wash 50 мл гель для душа с ароматом Clinique Happy для тела и волос.;Одеколон для мужчин Happy For Men Cologne Spray.  Скраб для лица Clinique For Men Face Scrub используйте 2-3 раза в неделю или по мере необходимости. Особенно рекомендуется перед бритьем.  Happy For Men Hair & Body Wash гель для душа с ароматом Clinique Happy для тела и волос.
19000288433;AMUR Ritual for sleep;наборы;Россия;10990;8792;https://goldapple.ru/19000288433-ritual-for-sleep;5.0;Простые и приятные, а главное повторяющиеся действия заботы о себе по вечерам способствуют расслаблению ума и тела, помогая улучшить качество сна и обеспечить более эффективное восстановление организма.  В комплект входит: — лавандовый мист для подушки 50 мл  — ароматическая свеча 240 гр — шелковая маска для сна 1 шт.;Сделайте свою подготовку ко сну более качественной с боксом для вечерних ритуалов.  Зажгите свечу за час до сна, сейчас ваше время, проведите его наедине с собой, выключите и отложите гаджеты.  Распылите мист на постельное белье.  Потушите свечу, надень шелковую маску и погрузитесь в сон.
19000386299;GOURMANDISE Красные ягоды, Ирис, Гранат;наборы;Франция;1150;598;https://goldapple.ru/19000386299-krasnye-agody-iris-granat;4.0;Натуральное парфюмированное флорентийское мыло с красными ягодами, ирисом, гранатом 3 *100гр.  Благодаря натуральной растительной основе мягко очищает кожу, не пересушивая её.;Равномерно нанести на влажную кожу массирующими движениями, смыть водой.
19000386291;GOURMANDISE Savon Parfume Papavero Set;наборы;Италия;1150;598;https://goldapple.ru/19000386291-savon-parfume-papavero-set;2.0;Натуральное парфюмированное флорентийское мыло с маком, 50 г x 6 шт.  Благодаря натуральной растительной основе мягко очищает кожу, не пересушивая её.;Равномерно нанести на влажную кожу массирующими движениями, смыть водой.
19000386301;GOURMANDISE Пион, Вербена, Апельсин Грейпфрут;наборы;Франция;1150;1035;https://goldapple.ru/19000386301-pion-verbena-apel-sin-grejpfrut;1.0;Натуральное парфюмированное флорентийское мыло с пионом, вербеной, апельсином и грейпфрутом 3*100гр. Благодаря натуральной растительной основе мягко очищает кожу, не пересушивая её.;Равномерно нанести на влажную кожу массирующими движениями, смыть водой.
99000045396;DR.MINERAL'S Lemongrass & Jasmin & Melissa;наборы;;2247;1801;https://goldapple.ru/99000045396-lemongrass-jasmin-melissa;1.0;Доведите свой ежедневный ритуал купания до особого утонченного уровня с нашим набором умиротворяющей пены для ванны. Это соблазнительное трио согреет ваши чувства и создаст атмосферу полной гармонии и умиротворения. Деликатно сбалансированная формула содержит натуральные экстракты, которые благодаря особому методу извлечения полностью передают естественный аромат растений. Без содержания отдушек и ароматизаторов. Природные компоненты бережно ухаживают за кожей, даря необыкновенный комфорт и гладкость. Питают клетки десятками соединений, которые стимулируют регенерацию, идеально защищают вашу кожу. Расслабьте свои чувства с помощью нежных и изысканно сложных ароматов. Бокс состоит из трех видов натуральной пены для ванн объёмом по 500мл.:  Мелисса – погрузитесь в стойкую дымку дикой мяты, сладковатый мотив цитрусовых с травянистыми включениями создает ощущение приятной прохлады и свежести. Жасмин – откройте ключ к тайному саду обаяния, медово - цветочный аромат с амбровыми нотками покоряет Ваши чувства гармоничной симфонией пьянящего жасмина. Лемонграс – свежий, слегка сладковатый аромат с мягким цитрусовым мотивом поднимает настроение и переносит Вас в солнечный день южно-восточной культуры. Густая ароматическая пена для ванны долго сохраняет форму и не опадает. Обладает мягким, нераздражающим действием, имеет нейтральный pH, поэтому подходит для всех типов кожи, для взрослых и детей. Идеальный подарочный набор созданный в соответствии с законами природы.;"20-30 г добавить в ванну под струю воды;  Равномерно распределить по всей ванне; Время приема 20 минут; Необходимая температура воды для наилучшего результата - 36-38 градусов."
99000114167;BIOTHAL Cherry & Tobacco vanille;наборы;Россия;2990;1205;https://goldapple.ru/99000114167-cherry-tobacco-vanille;;Парфюмированные гели для душа «Табак ваниль» и «Спелая вишня» — это не просто средства для очищения кожи, а настоящее удовольствие. Лёгкая текстура превращается в воздушную пену, мягко удаляя загрязнения и придавая ощущение свежести. Бережно очищает кожу, сохраняя её естественный баланс, дарит шелковистую мягкость и увлажнение. Оставляет на коже тонкий шлейф любимого аромата, продлевая звучание парфюма. Превращает ежедневный уход в ароматную SPA-процедуру. Уже при первом прикосновении гель раскрывается благоухающей композицией — свежие верхние ноты плавно переходят в нежное «сердце» и мягкую, обволакивающую базу. Аромат остаётся на коже деликатным и ненавязчивым, создавая ощущение уюта и роскоши. Комплектация - 300 мл x 2 шт.;Нанесите средство на влажную кожу тела. Смойте водой.
99000124214;BIOTHAL №3 Vetiver Ambra;наборы;Россия;3390;1248;https://goldapple.ru/99000124214-no3-vetiver-ambra;;Гель для душа бережно очищает кожу, придавая ей мягкий бархатистый эффект.  Парфюмированный крем-баттер для тела с ароматом Ветивер и Амбра интенсивно увлажняет даже самую сухую кожу, устраняет шелушения, повышает эластичность. Масло ши в составе интенсивно питает и защищает от потери влаги. Обеспечивает равномерный загар.   В наборе:  — Гель для душа - 300 мл.   — Крем-баттер для тела - 250 мл.;Нанесите средство на влажную кожу тела или рук, смойте водой. Нанесите необходимое количество крем-баттера на чистую сухую кожу тела легкими массирующими движениями.
19000459796;ACQUA DI PARMA MIRTO DI PANAREA;наборы;Италия;12480;12480;https://goldapple.ru/19000459796-mirto-di-panarea;;Праздничный ритуал для рук и тела Mirto di Panarea представлен в яркой коробке с смелым графическим переосмыслением традиционного ремесла Кристиной Селестино в золотом и синем цвете Blu Mediterraneo. Насладитесь расслабляющим ритуалом ухода за руками и телом с этим питательным дуэтом, идеально подходящим для ухода за кожей на протяжении всех праздников и после них. Сезонный мотив, разработанный Кристиной Селестино, представляет собой смелый графический узор, вдохновлённый традиционным ремеслом, с эффектом молотого золота и тиснёным ярлыком в тон. Фирменный знак Кристины Селестино украшает верхнюю часть кофрета, подчёркивая уникальный дизайн этого коллекционного набора. Подарочный набор для рук и тела включает 300 мл геля для рук и тела Mirto di Panarea и 300 мл лосьона для рук и тела Mirto di Panarea. Гель для рук и тела Mirto di Panarea — гель двойного назначения с оттенками морского бриза Mirto di Panarea и свежими нотками можжевельника, который очищает, увлажняет и оставляет на коже лёгкий аромат регенерирующего запаха. Лосьон для рук и тела Mirto di Panarea — лосьон двойного назначения, отличающийся регенерирующими нотками Mirto di Panarea от Blu Mediterraneo, быстро впитывается и легко наносится, увлажняя кожу и придавая ей более мягкий вид.;Воспользуйтесь жидким мылом, нанося его на руки и затем смойте водой.   Нанесите на руки и тело лосьон, равномерно распределяя его по коже.
99000124217;BIOTHAL №2 Rouge;наборы;Россия;3390;1248;https://goldapple.ru/99000124217-no2-rouge;;Гель для душа бережно очищает кожу, придавая ей мягкий бархатистый эффект.  Парфюмированный крем-баттер для тела с ароматом Шафран и Кедр интенсивно увлажняет даже самую сухую кожу, устраняет шелушения, повышает эластичность. Масло ши в составе интенсивно питает и защищает от потери влаги. Обеспечивает равномерный загар.   В наборе:  — Гель для душа - 300 мл.   — Крем-баттер для тела - 250 мл.;Нанесите средство на влажную кожу тела или рук, смойте водой. Нанесите необходимое количество крем-баттера на чистую сухую кожу тела легкими массирующими движениями.
