article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000038879;BAGO HOME Fresh cotton;наполнитель для диффузора;;1529;1070;https://goldapple.ru/19000038879-fresh-cotton;126.0;"Сочетание свежего с цветочным ароматом. Ароматический диффузор «Свежий Хлопок» от Bago home наполнит ваш дом свежим, но при этом сладким цветочным ароматом. Коллекция ароматов ""Ориджиналс"" ORIGINALS – это базовая коллекция бренда, основа основ. Естественно звучащие фруктовые и цветочные ароматы подойдут как тем, кто раньше не ароматизировал помещения, так и давним ценителям парфюмерии для дома.";Достаньте содержимое из коробки, освободите фибровые палочки от скотча,  открутите крышку от диффузора, выдавите белую защитную мембрану, закрутите крышечку обратно, вставьте палочки. Интенсивность аромата регулируется количеством палочек – чем их больше, тем аромат насыщеннее. Начинайте с 2-3 палочек и постепенно добавляйте по одной до достижения оптимальной интенсивности аромата. Периодически переворачивайте палочки, чтобы поддерживать интенсивность.  Для эффективной работы диффузора необходимо движение воздуха.  Ароматический диффузор 50 мл: 1.Время работы: 4-6 недель. 2.Площадь ароматизации: 5-15 м² 3.В комплекте 6 фибровых палочек из прессованного хлопкового волокна, которое не имеет запаха и передаёт аромат в чистом виде.  Ароматический диффузор 100 мл: 1.Время работы: 8-10 недель 2.Площадь ароматизации: 10-20 м². 3.В комплекте 8 фибровых палочек из прессованного хлопкового волокна, которое не имеет запаха и передаёт аромат в чистом виде.
83700400005;DR. VRANJES FIRENZE Rosso Nobile;наполнитель для диффузора;;12300;12300;https://goldapple.ru/83700400005-rosso-nobile;15.68;Истинная магия Тосканы, запечатленная в неповторимой ольфакторной композиции. Позвольте себе насладиться ароматом знаменитого красного вина с холмов Кьянти с едва ощутимыми аккордами цветов апельсина, клубники, лесных ягод, переплетающимися с чуть шершавыми, дымными и теплыми нотами дуба и березовой древесины, которые отсылают к прославленным на весь мир винам в драгоценных дубовых бочках.  Главный бестселлер Dr. Vranjes Firenze с насыщенным, ярким и утонченным ароматом, созвучным благородному красному вину, одному из ключевых символов Италии. Совершенное сочетание нот и безупречное элегантное оформление превращает Rosso Nobile в настоящий символ роскоши, непревзойденного стиля и благополучия.;"Необходимо поддерживать уровень жидкости в диффузоре выше середины флакона, это позволит сохранить аутентичное звучание аромата. Для этого идеально подходят рефилы Dr. Vranjes Firenze с вашими любимыми ароматами. Яркость аромата легко регулируется с помощью натуральных бамбуковых палочек. Перелейте необходимое количество ароматической жидкости в стеклянную вазу диффузора и поместите в вазу необходимое количество палочек – таким образом аромат не будет испаряться через открытое горлышко флакона. Для того, чтобы отрегулировать интенсивность аромата, переворачивайте необходимое количество палочек ежедневно (1-2 для деликатного, еле заметного звучания; все палочки – для более яркого).  Для оптимального распространения аромата диффузор следует разместить в центре комнаты, чтобы воздух циркулировал при прохождении людей. В больших помещениях рекомендуется разместить два диффузора на противоположных концах комнаты. Выбирайте объем флакона в зависимости от помещения."
19000234973;BY KAORI Tobacco Vanilla;наполнитель для диффузора;Россия;2090;2090;https://goldapple.ru/19000234973-tobacco-vanilla;12.6;Бутылочка с дополнительной ароматической жидкостью.Флакон с аромакомпозицией, который входит в комплект аромадиффузора. Также доступен для отдельного заказа - по окончании аромажидкости из вашего комплекта вам не придётся снова покупать аромадиффузор, достаточно просто приобрести дополнительный рефилл;Открутите крышку и вылейте часть аромажидкости в ваш флакон. Поставьте палочки. Меры предосторожности: в случае попадания в глаза, немедленно промыть их большим количеством воды, при необходимости обратиться к врачу. Легко воспламеняется. Не использовать по истечении срока годности. Только для наружного применения! Использование в пищевых целях опасно для жизни!
19000155338;VAN&MUN Blooming cotton;наполнитель для диффузора;Россия;777;559;https://goldapple.ru/19000155338-blooming-cotton;9.24;Свежий, мягкий, сладковатый цветочный аромат на базе мускуса с едва уловимыми зелеными нотами создаст атмосферу легкости в любом помещении. Впустите этот аромат в свой дом и наслаждайтесь ним каждый день! Наполнитель для диффузора - это ароматическая жидкость, которую можно использовать для ароматического диффузора.   При регулярном переворачивании палочек данным объем будет работать до 8 недель. С наполнителем не забывайте покупать новые палочки, помните, что палочки имеют ограниченный срок службы, а их поры имеют свойство забиваться.  Всегда, заменяя аромат или доливая тот же аромат из наполнителя, - меняйте палочки на новые, чтобы продолжать наслаждаться любимым ароматом.;Откройте наполнитель и налейте его в емкость, вставьте фибровые палочки. Можно использовать любую стеклянную и керамическую тару. Если у вас уже есть диффузор с этим ароматом, можете налить наполнитель в ту же емкость. Если вы хотите налить наполнитель в диффузор от другого аромата, то предварительно вымойте бутылочку с мылом под холодной водой.
19000040862;COMFORT ZONE Tranquillity™;наполнитель для диффузора;;9080;9080;https://goldapple.ru/19000040862-tranquillity;8.64;Расслабляйтесь с мягкими и обволакивающими нотами домашнего аромата TranquillityTM, обогащенного эфирными маслами сладкого апельсина, кедра, розы, герани и сандалового дерева. Ароматерапевтический расслабляющий аромат. Парфюмированный диффузор на основе культового аромата TRANQUILLITY™ создаёт уют и дарит ощущение расслабления и благополучия в пространстве.;Вылейте составляющее сменного блока в имеющийся диффузор, а затем вставьте бамбуковые палочки внутрь флакона. Аромат начнет распространяться. Переворачивайте палочки вверх дном не реже одного раза в неделю.
19000234961;BY KAORI Green Mango;наполнитель для диффузора;Россия;2090;2090;https://goldapple.ru/19000234961-green-mango;7.2;Бутылочка с дополнительной ароматической жидкостью. Флакон с аромакомпозицией, который входит в комплект аромадиффузора. Также доступен для отдельного заказа - по окончании аромажидкости из вашего комплекта вам не придётся снова покупать аромадиффузор, достаточно просто приобрести дополнительный рефилл;Открутите крышку и вылейте часть аромажидкости в ваш флакон. Поставьте палочки. Меры предосторожности: в случае попадания в глаза, немедленно промыть их большим количеством воды, при необходимости обратиться к врачу. Легко воспламеняется. Не использовать по истечении срока годности. Только для наружного применения! Использование в пищевых целях опасно для жизни!
19000099028;CASA LEGGERA Oceano;наполнитель для диффузора;;2760;2346;https://goldapple.ru/19000099028-oceano;6.56;Рефил-самый простой способ подарить вашему диффузору вторую жизнь. Наполнитель для ароматического диффузора Oceano от Casa leggera наполнит ваш дом свежим, но при этом сладким древесным ароматом.   Oceano оживляет воспоминания о прошедшем лете, зовет вернуться в него и пройтись по берегу океана. Композиция состоит из нот сливы, личи, груши, клубники, сорбе из листьев фиалки, мимозы, амбры, жасмина, абсолют ванили и тиковой древесины. Действие рефила объемом 200 миллилитров от 5 до 6 месяцев с 5 ротанговыми палочками. С этим наполнителем нужно использовать ротанговые палочки от Casa leggera, которые входят в комплект диффузора или приобретаются отдельно.  Помните, что палочки имеют ограниченный срок службы, а их поры имеют свойство забиваться. Всегда, заменяя аромат или доливая тот же аромат из рефила, меняйте палочки на новые, чтобы продолжать наслаждаться любимым ароматом.;Просто залейте жидкость из рефила в диффузор, вставьте новые ротаноовые палочки Casa leggera и наслаждайтесь любимым и уже привычным ароматом!
19000234957;BY KAORI Fleur;наполнитель для диффузора;Россия;2090;2090;https://goldapple.ru/19000234957-fleur;6.16;Бутылочка с дополнительной ароматической жидкостью. Флакон с аромакомпозицией, который входит в комплект аромадиффузора. Также доступен для отдельного заказа - по окончании аромажидкости из вашего комплекта вам не придётся снова покупать аромадиффузор, достаточно просто приобрести дополнительный рефилл;Открутите крышку и вылейте часть аромажидкости в ваш флакон. Поставьте палочки. Меры предосторожности: в случае попадания в глаза, немедленно промыть их большим количеством воды, при необходимости обратиться к врачу. Легко воспламеняется. Не использовать по истечении срока годности. Только для наружного применения! Использование в пищевых целях опасно для жизни!
19000148537;VENEW сандал;наполнитель для диффузора;Россия;650;650;https://goldapple.ru/19000148537-sandal;5.6;Рефил - это запасной блок с ароматической жидкостью, довольно выгодный способ продлить жизнь вашего текущего диффузора и аромата для дома. Вам не придётся докупать ароматизатор в полном комплекте за более высокую цену. Сандал (100 мл) – потрясающе трепетный, нежный и легкий аромат. Нота сандалового дерева в нем довольно загадочна, именно она наполняет аромат таинственностью и глубиной. Сказать наверняка, чем пахнет диффузор, сложно. Он и теплый, и древесный, и сладковато-пряный, и с проявляющимися мускусными нотами, отлично расслабляет. Ароматизаторы VENEW - это 100% качественный eco-состав без капли спирта, собственное производство, стильный дизайн, сертифицированная продукция, разнообразие самых топовых запахов. Среди нашего ассортимента Вы найдёте знакомые ароматы, изготовленные по мотивам известных брендов, а также изысканные сочетания привычных нот, образующих невероятные букеты. Несомненно, наши товары для истинных ценителей качественного парфюма и подходят как для мужчин, так и для женщин. Такой парфюм для дома не стыдно преподнести в качестве подарка любимому, любимой, папе, маме, другу, сестре, да и просто без повода. Даже самый требовательный эстет найдёт тот аромат, который придётся ему по душе. Мы создаём гармонию, Вы дарите её близким.;Откройте бутылочку, перелейте наполнитель в имеющийся диффузор. Промойте флакон, если тот использовался с другой жидкостью, во избежание искажения аромата. Вставьте новые палочки, переверните через пару минут. Подождите, пока они пропитаются ароматом и начнут отдавать его в окружающее пространство. Интенсивность аромата зависит от выбранного наименования, количества палочек, температуры и циркуляции воздуха в помещении. Не ставьте флакон в угол, в маленькое закрытое помещение, слишком высоко. Идеально - в центре комнаты на уровне пояса. Рекомендуется переворачивать палочки каждые 5-7 дней (если насыщенности недостаточно, следует переворачивать их как можно чаще и/или добавить еще несколько штук). Аромат раскрывается в течение 12-48 часов. Допускается использование жидкости с исходной ёмкостью.
19000148528;VENEW кокос и шоколад;наполнитель для диффузора;Россия;650;650;https://goldapple.ru/19000148528-kokos-i-sokolad;4.6;Рефил - это запасной блок с ароматической жидкостью, довольно выгодный способ продлить жизнь вашего текущего диффузора и аромата для дома. Вам не придётся докупать ароматизатор в полном комплекте за более высокую цену. Кокос/шоколад (100 мл) - невероятно вкусный аромат для комфортной и успокаивающей атмосферы. Умеренно-сладкий, с благородным и спокойным звучанием - он повышает настроение, создает атмосферу веселья и беззаботности. Поистине райское наслаждение, концентрат радости и счастья, наполненный сладкими нотами экзотического кокоса, смешанного с глубиной настоящего шоколада. Такое сочетание точно способно избавить от негатива и раскрасить мир в яркие краски. Ароматизаторы VENEW - это 100% качественный eco-состав без капли спирта, собственное производство, стильный дизайн, сертифицированная продукция, разнообразие самых топовых запахов. Среди нашего ассортимента Вы найдёте знакомые ароматы, изготовленные по мотивам известных брендов, а также изысканные сочетания привычных нот, образующих невероятные букеты. Несомненно, наши товары для истинных ценителей качественного парфюма и подходят как для мужчин, так и для женщин. Такой парфюм для дома не стыдно преподнести в качестве подарка любимому, любимой, папе, маме, другу, сестре, да и просто без повода. Даже самый требовательный эстет найдёт тот аромат, который придётся ему по душе. Мы создаём гармонию, Вы дарите её близким.;Откройте бутылочку, перелейте наполнитель в имеющийся диффузор. Промойте флакон, если тот использовался с другой жидкостью, во избежание искажения аромата. Вставьте новые палочки, переверните через пару минут. Подождите, пока они пропитаются ароматом и начнут отдавать его в окружающее пространство. Интенсивность аромата зависит от выбранного наименования, количества палочек, температуры и циркуляции воздуха в помещении. Не ставьте флакон в угол, в маленькое закрытое помещение, слишком высоко. Идеально - в центре комнаты на уровне пояса. Рекомендуется переворачивать палочки каждые 5-7 дней (если насыщенности недостаточно, следует переворачивать их как можно чаще и/или добавить еще несколько штук). Аромат раскрывается в течение 12-48 часов. Допускается использование жидкости с исходной ёмкостью.
