article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
7150200001;CLINIQUE HAPPY FOR MEN COLOGNE Spray;одеколон;Швейцария;11990;5995;https://goldapple.ru/7150200001-happy-for-men-cologne-spray;657.6;Одеколон Clinique Happy for men cologne spray — цитрусовый фужерный аромат для мужчин.  Уникальный аромат, лежащий на коже тонким шлейфом, удерживая свежесть ветра и морской волны в течение дня.  Многослойная композиция одеколона от Clinique искрится цветочными нотами мандарина и грейпфрута, нежно сливаясь с древесным тоном в центре композиции. Тонкий шлейф из ароматов утренней мимозы и экстравагантной орхидеи привносят в композицию бодрость утра и яркость дня.  В аромате одеколон Happy for men звонко сияют экзотические кафрский лайм, сладкий каламанзи и нежный юзу, придавая необычный шарм и вплетая свежесть океанского бриза. Завершают композицию ароматы кипариса и кедра, гармонично соединяя в единую симфонию весь сложный аромат одеколона.;
7192300011;DIOR Dior Homme Cologne;одеколон;Франция;10850;10850;https://goldapple.ru/7192300011-dior-homme-cologne;305.28;"Парфюмер-дизайнер Дома Dior Франсуа Демаши вдохнул новую жизнь в саму концепцию одеколона, этого легендарного парфюмерного аккорда, и соединил его с современным характером аромата Dior Homme. Простая и прямодушная цитрусовая свежесть переплетается с утонченно раскрывающимся шлейфом. ""Парфюмерная хлопковая ткань"" во всей повседневной элегантности свежей белой сорочки, чистый аккорд нот калабрийского бергамота, цветка грейпфрута и белого мускуса. Dior Homme Cologne – сама суть роскоши, смелой в ее простом проявлении.";
19000041540;ACQUA DI PARMA COLONIA C.L.U.B.;одеколон;Италия;17900;17900;https://goldapple.ru/19000041540-colonia-c-l-u-b;75.2;Легкий, современный и лучезарный. Одеколон Colonia C.L.U.B., энергичный аромат, претворяющий в жизнь яркие моменты, которые остаются в памяти, потому что вы разделяете их вместе с теми, кто вам близок. Захватывающий с головой яркий одеколон, Colonia C.L.U.B. облачает неуемное чувство легкости во флакон. Бергамот и лимон привносят оживленность в верхние ноты одеколона, в то время как розовый и черный перец дают искристый импульс сердечным нотам периллы и розмарина. Согревающие базовые ноты кедра и мускуса олицетворяют блаженство от встреч и воспоминаний в кругу друзей.  Аромат о вашей жизни, вашем круге общения, о людях, с которыми вы нераздельно связаны на протяжение жизни, о тех, кто наполняет вас силой. Ода уверенности в каждом аспекте вашей уникальности, когда вы чувствуете себя на своем месте. Одеколон Colonia C.L.U.B. - ваш. Colonia C.L.U.B. представлен в иконическом флаконе Acqua di Parma. Изысканный темно-зеленый цвет крышечки и упаковки отражает ароматическое звучание одеколона. Герб и лейбл подчеркивают вековую историю Дома.;Небольшое количество нанести на тело, избегая попадания в глаза.
19000117824;LE COUVENT Aqua Majestae;одеколон;Франция;8051;3220;https://goldapple.ru/19000117824-aqua-majestae;42.3;Парфюмерная композиция AQUA MAJESTAE от LE COUVENT – словно сладкая цветочная волна. Она оставляет яркий цветочно-фруктовый шлейф, напоминающий о красоте золотого часа в саду, где цветет османтус.  Многогранный аромат этого цветка с узнаваемой нежной нотой, напоминающей бархатистый сочный абрикос, дополняют благоухающий букет акаций и свежий, игривый цитрусовый аккорд.  Солнечные, сияющие фруктовые и цветочные грани украшают древесную базу, построенную вокруг благородного звучания кедра.;Только для наружного применения.
83510500003;PRORASO Wood and Spice;одеколон;;2850;2707;https://goldapple.ru/83510500003-wood-and-spice;40.42;Одеколон Proraso Wood and Spice обеспечит превосходное завершение процедуры влажного бритья и отличное начало дня каждому мужчине. В начальных нотах аромата от Proraso звучит чарующее, терпкое сочетание тмина и шафрана. В сердце парфюмерной композиции одеколона разливаются ноты поистине мужественного и обволакивающего белого кедра, перекликаясь с томным сандалом. В шлейфе изысканного одеколона Wood and Spice звучит необычный мужской тандем из сладковатых нот ванили и скалистой розы. Средство дарит коже легкую и приятную отдушку, придавая коже и волосам особую свежесть.;
19000117838;LE COUVENT Aqua Sacrae;одеколон;Франция;8760;3504;https://goldapple.ru/19000117838-aqua-sacrae;32.2;Утонченный аромат AQUA SACRAE – воплощение красоты элегантного сада, где благоухают белые цветы. Композиция с цветочно-пудровым шлейфом манит на вечернюю прогулку среди жасмина и туберозы, ноты которых кажутся особенно чарующими в прохладных сумерках. Белые цветы гармонично сочетаются с освежающим мандарином и терпким аккордом, напоминающим чай Эрл Грей.  Элегантную композицию, объединившую свежесть и чувственность, дополняет древесное звучание сандала.  Выразительный аромат LE COUVENT, созданный на основе натуральных растительных эссенций, произведен в традициях французской высокой парфюмерии.;Только для наружного применения.
19000117829;LE COUVENT Aqua Minimes;одеколон;Франция;5751;2300;https://goldapple.ru/19000117829-aqua-minimes;28.8;Парфюмерная композиция AQUA MINIMES раскрывает ослепительную свежесть аромата, витающего в тихом цитрусовом саду по утрам, когда еще не исчезла прохладная роса.  Бодрящее древесно-цитрусовое звучание напоминает о первых лучах солнца, пробивающихся сквозь листья деревьев. Начало нового дня знаменуют яркий цитрон, литсея и мандарин.  Элегантность им придают землистый оттенок ветивера и благородная древесная нота кедра.  Насыщенный аромат, созданный на основе натуральных растительных эссенций, разработан в традициях французской высокой парфюмерии.;Только для наружного применения.
19000147942;LE COUVENT Aqua Mahana;одеколон;Франция;5751;2300;https://goldapple.ru/19000147942-aqua-mahana;24.84;Экзотический фруктово-цветочный аромат AQUA MAHANA – это парфюмерное путешествие в залитые солнцем райские сады на островах Туамоту, расположенных в самом сердце Французской Полинезии. Здесь местные жители в знак приветствия дарят путешественникам и гостям ожерелья из белых цветов.  Композиция LE COUVENT тоже встречает цветами: яркая, опьяняющая нота франжипани в сочетании с чарующим иланг-илангом и мадагаскарской ванилью мгновенно переносит в тропический рай на земле, где ярко светит солнце, а воздух разносит аромат цветущих растений и морской соли.;Только для наружного применения
19000117837;LE COUVENT Aqua Paradisi;одеколон;Франция;5751;2300;https://goldapple.ru/19000117837-aqua-paradisi;17.48;Аромат AQUA PARADISI полон нежности. Он передает свежесть и хрупкость роз, собранных в саду на рассвете. Композиция с деликатным фруктово-цветочным шлейфом отражает изысканность и мягкость лепестков королевы цветов. Нота молодой, только что сорванной розы окружена игривой свежестью бергамота.  Их изысканную гармонию дополняет фиалка, которая усиливает воздушную легкость и нежность композиции.  Выразительный аромат LE COUVENT, созданный на основе натуральных растительных эссенций, произведен в традициях французской высокой парфюмерии.;Только для наружного применения.
26420100009;ACQUA DI PARMA COLONIA;одеколон;Италия;17900;17900;https://goldapple.ru/26420100009-colonia;13.72;Одеколон Colonia от Acqua di Parma благородный, безвременный и долговечный. Композиция аромата вдохновлена солнечными Сицилийскими цитрусами и гармоничным сочетанием цветочных эссенций, таких как лаванда и болгарская роза, в базе сливающиеся с древесными нотами ветивера, сандалового дерева и пачули.;Небольшое количество нанести на тело, избегая попадания в глаза.
