article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000023364;BAGO HOME White fibre sticks;палочки для диффузора;;488;244;https://goldapple.ru/19000023364-white-fibre-sticks;2.0;Фибровые палочки играют роль проводника для ароматической жидкости. Сменные палочки для ароматического диффузора, изготовлены из прессованного хлопкового волокна, которое не имеет запаха и передаёт аромат в чистом виде. Цвета в ассортименте.;Интенсивность распространения аромата регулируется количеством вставленных в диффузор фибровых палочек: чем их больше – тем аромат насыщеннее, чем меньше – тем нежнее. Начните с 2-3 фибровых палочек и добавляйте или убавляйте по одной для достижения оптимальной интенсивности аромата. Время от времени переворачивайте палочки для поддержания эффективной работы. диффузора. При смене аромата необходимо использовать новые фибровые палочки, так как ароматы смешаются, и конечный результат может оказаться непредсказуемым.
19000340905;COMFORT ZONE Бамбуковые;палочки для диффузора;Италия;1420;1420;https://goldapple.ru/19000340905-tranquillity;2.0;Бамбуковые палочки для диффузора. Натуральное дерево.;Вставьте бамбуковые палочки в диффузор. Аромат начнет распространяться. Переворачивайте палочки раз в неделю.
19000396004;DR. VRANJES FIRENZE Maserati;палочки для диффузора;Италия;450;450;https://goldapple.ru/19000396004-maserati;1.6;Эксклюзивные палочки для диффузора Maserati от итальянского бренда Dr. Vranjes Firenze обеспечивают оптимальное раскрытие и распространение аромата для дома. Палочки упакованы в специальный конверт  глубокого, насыщенного синего цвета с эмблемой Maserati, трезубцем Посейдона, который можно найти на фонтане Нептуна в Болонье. Со временем палочки теряют свою капиллярную функцию и больше не позволяют аромату испаряться, поэтому их необходимо заменять на новые после чрезмерного насыщения. Подходит для диффузора в объеме 500 мл.;"Поместите во флакон все палочки, которые идут в комплекте – таким образом аромат не будет испаряться через открытое горлышко флакона. Оптимальное количество палочек для диффузора 500 мл – 12 шт.  1-2 раза в день переворачивайте палочки для распространения аромата. Для того, чтобы отрегулировать интенсивность аромата, переворачивайте необходимое количество палочек ежедневно (1-2 для деликатного, еле заметного звучания; все палочки – для более яркого)."
19760325755;DR. VRANJES FIRENZE Black;палочки для диффузора;Италия;450;450;https://goldapple.ru/19760325755-cernye;1.4;Палочки в черном цвете обеспечивают оптимальное раскрытие и распространение ароматов для дома Dr. Vranjes Firenze.  Со временем палочки теряют свою капиллярную функцию и больше не позволяют аромату испаряться, поэтому их необходимо заменять на новые после чрезмерного насыщения. Эксклюзивные палочки для диффузоров  Rosso Nobile 500 мл.;"Поместите во флакон все палочки, которые идут в комплекте – таким образом аромат не будет испаряться через открытое горлышко флакона.  Оптимальное количество палочек для диффузора 500 мл – 12 шт.  1-2 раза в день переворачивайте палочки для распространения аромата.  Для того, чтобы отрегулировать интенсивность аромата, переворачивайте необходимое количество палочек ежедневно (1-2 для деликатного, еле заметного звучания; все палочки – для более яркого)."
19000449408;ARIDA HOME Black;палочки для диффузора;Россия;167;150;https://goldapple.ru/19000449408-black;1.0;Фибровые палочки для аромадиффузора изготовлены из фиброволокна — синтетического пористого вещества. Они хорошо впитывают и отдают аромат.  Некоторые преимущества таких палочек: • Совместимость со всеми аромажидкостями на водной, спиртовой и масляной основе.  • Равномерное рассеивание запаха за счёт продуманной структуры.  • Палочки не нужно часто переворачивать, поэтому интерьерный парфюм медленнее испаряется.  • Не забиваются и служат дольше натуральных, обеспечивают более сильный запах на более дальние расстояния.;Извлеките палочки из упаковки и погрузите в ароматический диффузор (чем больше палочек - тем выше интенсивность).  Фибровые палочки можно не переворачивать в процессе использования. При замене ароматической эссенции в диффузоре желательно использовать новые палочки (поры палочек со временем забиваются, что снижает диффузию и искажает запах передачу нового аромата).  При обновлении ароматической эссенции в диффузоре замена палочек не обязательна при этом рекомендуется, так новые палочки позволят интенсивнее отдавать аромат диффузора.
19000023351;BAGO HOME Black fibre sticks for fragrance diffusers;палочки для диффузора;;450;225;https://goldapple.ru/19000023351-black-fibre-sticks-for-fragrance-diffusers;1.0;Фибровые палочки играют роль проводника для ароматической жидкости. Сменные палочки для ароматического диффузора, изготовлены из прессованного хлопкового волокна, которое не имеет запаха и передаёт аромат в чистом виде. Цвета в ассортименте.;Интенсивность распространения аромата регулируется количеством вставленных в диффузор фибровых палочек: чем их больше – тем аромат насыщеннее, чем меньше – тем нежнее. Начните с 2-3 фибровых палочек и добавляйте или убавляйте по одной для достижения оптимальной интенсивности аромата. Время от времени переворачивайте палочки для поддержания эффективной работы. диффузора. При смене аромата необходимо использовать новые фибровые палочки, так как ароматы смешаются, и конечный результат может оказаться непредсказуемым.
19000023357;BAGO HOME White fibre sticks for fragrance diffusers BAGO home;палочки для диффузора;;450;225;https://goldapple.ru/19000023357-white-fibre-sticks-for-fragrance-diffusers-bago-home;1.0;Фибровые палочки играют роль проводника для ароматической жидкости. Сменные палочки для ароматического диффузора, изготовлены из прессованного хлопкового волокна, которое не имеет запаха и передаёт аромат в чистом виде. Цвета в ассортименте.;Интенсивность распространения аромата регулируется количеством вставленных в диффузор фибровых палочек: чем их больше – тем аромат насыщеннее, чем меньше – тем нежнее. Начните с 2-3 фибровых палочек и добавляйте или убавляйте по одной для достижения оптимальной интенсивности аромата. Время от времени переворачивайте палочки для поддержания эффективной работы диффузора. При смене аромата необходимо использовать новые фибровые палочки, так как ароматы смешаются, и конечный результат может оказаться непредсказуемым.
19000410824;OXYGEN HOME Ротанговые;палочки для диффузора;Россия;212;190;https://goldapple.ru/19000410824-rotangovye;0.8;Набор сменных ротанговых палочек.;
19000410825;OXYGEN HOME фибровые;палочки для диффузора;Россия;263;236;https://goldapple.ru/19000410825-fibrovye;;Набор сменных фибровых палочек.;
19000023366;BAGO HOME Red fibre sticks;палочки для диффузора;;488;244;https://goldapple.ru/19000023366-red-fibre-sticks;;Фибровые палочки играют роль проводника для ароматической жидкости. Сменные палочки для ароматического диффузора, изготовлены из прессованного хлопкового волокна, которое не имеет запаха и передаёт аромат в чистом виде. Цвета в ассортименте.;Интенсивность распространения аромата регулируется количеством вставленных в диффузор фибровых палочек: чем их больше – тем аромат насыщеннее, чем меньше – тем нежнее. Начните с 2-3 фибровых палочек и добавляйте или убавляйте по одной для достижения оптимальной интенсивности аромата. Время от времени переворачивайте палочки для поддержания эффективной работы. диффузора. При смене аромата необходимо использовать новые фибровые палочки, так как ароматы смешаются, и конечный результат может оказаться непредсказуемым.
19760325753;DR. VRANJES FIRENZE White;палочки для диффузора;Италия;450;450;https://goldapple.ru/19760325753-belye;;Палочки в белом цвете обеспечивают оптимальное раскрытие и распространение ароматов для дома Dr. Vranjes Firenze.  Со временем палочки теряют свою капиллярную функцию и больше не позволяют аромату испаряться, поэтому их необходимо заменять на новые после чрезмерного насыщения. Подходят для диффузоров 500 мл, сочетаются со всеми ароматами, кроме Maserati и Rosso Nobile - для них в ассортименте бренда можно найти отдельные, идеально подходящие палочки.;"Поместите во флакон все палочки, которые идут в комплекте – таким образом аромат не будет испаряться через открытое горлышко флакона.  Оптимальное количество палочек для диффузора 500 мл – 12 шт. 1-2 раза в день переворачивайте палочки для распространения аромата.  Для того, чтобы отрегулировать интенсивность аромата, переворачивайте необходимое количество палочек ежедневно (1-2 для деликатного, еле заметного звучания; все палочки – для более яркого)."
