article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000148353;ESSENTIAL PARFUMS PARIS BOIS IMPERIAL refillable;парфюмерная вода;Франция;11041;6624;https://goldapple.ru/19000148353-bois-imperial-by-quentin-bisch;18408.96;Парфюмер – Quentin Bisch. «Центром созданного мной аромата стала необыкновенная и редкая нота – акигалавуд. Эта уникальная древесная нота, украшенная свежими специями, играет на контрастах».  Чувственный и свежий аромат ESSENTIAL PARFUMS с древесными, пряными и зелеными аккордами дополняют насыщенный гаитянский ветивер, пачули и нота Ambrofix со стойким звучанием амбры. Свежие листья базилика сочетаются с игривым ароматом перца Тимут, который раскрывает не только острую грань, но и свежую ноту, напоминающую грейпфрут.  В составе парфюмерной воды – 93% натуральных ингредиентов.  Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду.  Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила.  В интернет-магазине представлен актуальный дизайн продукта.  Обращаем внимание, возможно поступление товара в старом дизайне.;Только для наружного применения.
19760337211;ESSENTIAL PARFUMS PARIS BOIS IMPERIAL by Quentin Bisch;парфюмерная вода;Франция;2876;2588;https://goldapple.ru/19760337211-bois-imperial-by-quentin-bisch;6384.96;Парфюмер – Quentin Bisch. «Центром созданного мной аромата стала необыкновенная и редкая нота – акигалвуд. Эта уникальная древесная нота, украшенная свежими специями, играет на контрастах». Чувственный и свежий аромат ESSENTIAL PARFUMS с древесными, пряными и зелеными аккордами дополняют насыщенный гаитянский ветивер, пачули и нота Ambrofix со стойким звучанием амбры.  Свежие листья базилика сочетаются с игривым ароматом перца Тимут, который раскрывает не только острую грань, но и свежую ноту, напоминающую грейпфрут. В составе парфюмерной воды – 93% натуральных ингредиентов.  Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду.. Обращаем внимание, флакон аромата может отличаться от фото в интернет-магазине.  Товар может быть представлен с колпачком или без него.;
19760313142;BANANA REPUBLIC Dark Cherry & Amber;парфюмерная вода;Франция;9045;8140;https://goldapple.ru/19760313142-dark-cherry-amber;4663.48;Dark Cherry & Amber от Banana Republic – это восточный цветочный аромат, раскрывающий нежную сладость спелой и сочной вишни и розовой фрезии. В сердце композиции – вишнёвый цвет и гурманская нота пралине, которые формируют манящий и соблазнительный характер аромата. Древесный аккорд с белым кедром и амбра окутывают теплом и добавляют чувственность, перед которой невозможно устоять.  Парфюмер – Claude Dir.;Только для наружного применения.
32110200004;MOSCHINO TOY 2;парфюмерная вода;Италия;12400;9920;https://goldapple.ru/32110200004-moschino-toy2;2705.28;Культовый аромат от Moschino в виде плюшевого мишки возвращается! Второй эксклюзивный запуск, на этот раз – в стеклянном флаконе. Искрящуюся бодрость мандарина и яблока сорта «Гренни Смит»  сопровождают нежные цветочные ноты магнолии, раскрывая свежий, игривый аромат. Чистая и утонченная нота лепестков жасмина усиливается бархатистым звучанием пиона и хрустящей свежестью белой смородины. Древесные ноты амбры и сандала добавляют невероятную чувственность, в то время как акцент кристаллического мускуса наполняет аромат нежностью и сиянием.;
19760313139;BANANA REPUBLIC Tobacco & Tonka Bean;парфюмерная вода;Франция;6229;3737;https://goldapple.ru/19760313139-tobacco-tonka-bean;2378.2;Восточный гурманский аромат Tobacco & Tonka Bean от Banana Republic очаровывает верхними нотами груши Анжу и золотистой сливы Мирабель. В сердце декадентской, соблазнительной композиции – кокос и листья табака, дополняющие насыщенность и сливочную сладость ванили.  Бобы тонка подчеркивают тёмный, чувственный характер инновационного и многогранного аромата. Парфюмер – Gino Percontino.;Только для наружного применения.
19000148357;ESSENTIAL PARFUMS PARIS Nice bergamote refillable;парфюмерная вода;Франция;11041;7176;https://goldapple.ru/19000148357-nice-bergamote-by-antoine-maisondieu;2266.0;Парфюмер – Antoine Maisondieu. «Я посвятил этот аромат аристократической красоте калабрийского бергамота. Лепестки жасмина и древесные ноты сделали эту красоту ещё более возвышенной, а бобы тонка смягчили парфюмерную композицию». Nice Bergamote – это игривый и солнечный аромат. Натуральный бергамот из Калабрии поражает яркостью, словно вспышка, и переплетается с цветочным аккордом, объединившим ноты иланг-иланга с Коморских островов, лепестков розы и жасмина. Изысканный кедр формирует тёплую базу, смягченную бобами тонка из Венесуэлы.  Создатели парфюмерной воды ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду. Компания участвует в программе посадки деревьев на Коморских островах, где получает иланг-иланг, а в Венесуэле, поставляющей бобы тонка, соблюдает соглашение о защите местной фауны и поддерживает местные общины.  Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила.  В интернет-магазине представлен актуальный дизайн продукта.  Обращаем внимание, возможно поступление товара в старом дизайне.;Снимите крышку с флакона, открутите и вытащите помпу.  Прикрутите рефил до конца. Пополнение прекращается автоматически. Прикрутите помпу обратно на флакон и наденьте крышку
19000138440;VERSACE DYLAN PURPLE pour femme;парфюмерная вода;Италия;15700;11775;https://goldapple.ru/19000138440-dylan-purple-pour-femme;1942.12;Яркий и элегантный аромат Dylan Purple приглашает в увлекательное парфюмерное путешествие.  Дуэт искрящегося бергамота и пробуждающих радость нот свежего апельсина встречается с сочной грушей, которая придает композиции игривое звучание.  В сердце аромата яркой вспышкой раскрывается пленительная фрезия. Нежный аромат её лепестков подчеркивают невесомые молекулы Mahonial и Pomarose.  Цветочное сердце композиции VERSACE олицетворяет гипнотическую ауру морского заката, пурпурное свечение и лёгкий бриз. Молекулы Belambre и Ambrofix, мягкие оттенки Iso E Super и сливочные грани кедра идеально дополняют изысканный и глубокий характер аромата. Silkolide добавляет композиции легкие мускусные и фруктовые акценты.  Классификация аромата – цветочный фруктовый мускусный. Парфюмер – Кристоф Рейно.;
24863300003;CAROLINA HERRERA Good Girl;парфюмерная вода;Испания;9407;6584;https://goldapple.ru/24863300003-good-girl;1696.38;Парфюмерная вода Carolina Herrera Good Girl — элитный восточный аромат, заключенный в оригинальный флакон в виде изысканной черной туфельки.  Идеальное воплощение восточного шарма, загадочности и недосягаемой притягательности. Начальная нота Good Girl — ароматный, страстный запах кофе и нежный миндаль, нота сердца — цветочные запахи жасмин самбак и бархатная тубероза, завершает композицию парфюмерной воды какао и пряные бобы тонка.  Для истинных ценительниц восточных запахов бренд Carolina Herrera создал только им присущий тягучий, яркий, и в то же время деликатный аромат.;
19000246952;LIQUIDES IMAGINAIRES BLANCHE BÊTE;парфюмерная вода;Италия;19551;17595;https://goldapple.ru/19000246952;1474.9;Эта композиция – новый «зверь» в коллекции Les Eaux de Peau, посвященной благородным анималистичным и чувственным нотам.  Аромат BLANCHE BÊTE – удивительный, магический и завораживающий, словно белый единорог из средневековых легенд. На картинах это мифическое существо часто изображали радом с девушкой в благоухающем саду – и теперь аромат нежных цветов жасмина и туберозы из сказочного сада воплощён в изысканной композиции.  Эта парфюмерная вода – отражение любви и тайны, способности фантазировать и творить. Дайте волю воображению и погрузитесь в сказочную историю с волшебным сочетанием нот амбретты, сладкой ванили, чарующего мускуса, какао и бобов тонка, окутанных мечтательной дымкой ладана.  Парфюмер – Луиза Тёрнер.   Обращаем внимание, дизайн товара может отличаться от фото в карточке товара. Продукт проходит ребрендинг.;Только для наружного применения.
19000026658;LIQUIDES IMAGINAIRES BLANCHE BÊTE;парфюмерная вода;Италия;30423;27380;https://goldapple.ru/19000026658-blanche-bete;1473.92;Эта композиция – новый «зверь» в коллекции Les Eaux de Peau, посвященной благородным анималистичным и чувственным нотам.  Аромат BLANCHE BÊTE – удивительный, магический и завораживающий, словно белый единорог из средневековых легенд. На картинах это мифическое существо часто изображали радом с девушкой в благоухающем саду – и теперь аромат нежных цветов жасмина и туберозы из сказочного сада воплощён в изысканной композиции.  Эта парфюмерная вода – отражение любви и тайны, способности фантазировать и творить. Дайте волю воображению и погрузитесь в сказочную историю с волшебным сочетанием нот амбретты, сладкой ванили, чарующего мускуса, какао и бобов тонка, окутанных мечтательной дымкой ладана.  Парфюмер – Луиза Тёрнер.;Только для наружного применения.
83290100004;CHOPARD Vetiver d'Haiti au The Vert;парфюмерная вода;Италия;39735;27814;https://goldapple.ru/83290100004-vetiver-d-haiti-au-the-vert;1398.6;Парфюмерная вода Chopard Vtiver d hati au th vert — чувственный аромат для мужчин и женщин, на создание которого вдохновила чарующая атмосфера каннского фестиваля.  Верхние ноты композиции раскрываются нежностью зеленого чая, удачно дополненного амбреттой. В сердце Vtiver d hati au th vert — теплый ветивер, оттененный кедровыми акцентами. В шлейфе парфюмерной воды переливается изящный мускусный аккорд.;Только для наружного применения.
19760300405;BON PARFUMEUR PARIS 501 – praline, réglisse, patchouli;парфюмерная вода;Франция;5547;4992;https://goldapple.ru/19760300405-501-praline-reglisse-patchouli;1262.42;Пралине, лакрица, пачули – три характерные ноты аромата 501 от Bon Parfumeur. Сладкая выпечка и пудровые ноты ириса сочетаются в гурманском аромате, идеальном и для шопинга с подругами, и для романтического ужина при свечах. Композицию открывает яркий взрыв цитрусовых нот. В сердце аромата лакомые ноты пралине и пикантная пряность лакрицы дополняют звучание переливчатого пудрового аккорда. Нежные ваниль и мускус подчеркивают уникальный характер романтичного сочетания.  Верхние ноты: бергамот, фундук, юзу.  Ноты сердца: ирис, пралине, лакрица. Базовые ноты: кашмеран, амбра, мускус, пачули.;
19000148355;ESSENTIAL PARFUMS PARIS FIG INFUSION refillable;парфюмерная вода;Франция;11041;6072;https://goldapple.ru/19000148355-fig-infusion;1162.88;Парфюмер – Nathalie Lorson. «Я представляла себе искрящийся и светлый аромат, посвященный удовольствиям и радостям жизни. Мне хотелось создать композицию, которая вызовет ассоциации с послеобеденным отдыхом в уютном фруктовом саду и сладкой дремой в тени смоковницы». Успокаивающая композиция от ESSENTIAL PARFUMS PARIS построена вокруг ноты инжира, объединившей фруктовые, сливочные и зеленые оттенки. Сочность свежего фрукта подчеркивают итальянский мандарин, яркая нота черного чая и апельсиновый цвет. Тёплая нота сандала делает композицию более насыщенной, а бензоин, аромат которого напоминает сочетание ванили, амбры и корицы, придаёт изысканную сладость. Создатели парфюмерной воды ESSENTIAL PARFUMS PARIS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду. Для производства аромата использовались натуральные цветы апельсина из Туниса, бензоин из Вьетнама и черный чай со Шри-Ланки. Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила.  В интернет-магазине представлен актуальный дизайн продукта.  Обращаем внимание, возможно поступление товара в старом дизайне.;Снимите крышку с флакона, открутите и вытащите помпу.  Прикрутите рефил до конца. Пополнение прекращается автоматически. Прикрутите помпу обратно на флакон и наденьте крышку
7430800003;VERSACE Pour Homme;парфюмерная вода;Италия;12200;9150;https://goldapple.ru/7430800003-pour-homme;1123.08;Туалетная вода Versace  Pour Homme впитала в себя средиземноморский характер, имея в своем составе ингредиенты местного происхождения. Древесный аромат туалетной воды подойдет умным и сильным мужчинам, привыкшим шагать в ногу со временем. Верхние ноты  Pour Homme дарят свежесть и состоят из лимона, бергамота, апельсиновых листьев и нероли. Букет из голубого гиацинта, герани, мускатного шалфея и кедра составляет ноты сердца парфюма. Завершит этот гармоничный образ шлейф из мускуса, агарового дерева и бобов тонка. С Versace вы всегда будете производить впечатление стильного и эффектного мужчины, а стойкий аромат окутает вас чувственностью и шармом на весь день.;
7432100005;VERSACE Eros Flame;парфюмерная вода;Италия;13500;10125;https://goldapple.ru/7432100005-eros-flame;1054.48;Аромат для сильного, страстного, уверенного в себе мужчины, в то же время способного на глубокие эмоции. Флакон - огненно-красный, насыщенный и мужественный, олицетворяет всю силу страсти. Холод и жар. Сладость и острота. Свет и тень. Пирамиду аромата Versace Eros Flame можно охарактеризовать как игру контрастов, в которой соединяются самые благородные и изысканные ингредиенты, обогащая и дополняя друг друга. Невероятно жизнерадостные верхние ноты. Свежие, сочные итальянские цитрусовые – лимон, мандарин и горький апельсин согреты нотками черного мадагаскарского перца и окутаны ароматом дикого розмарина. Сквозь лёгкое облако pepperwood, герани и розы мы переносимся в сердце аромата, где драгоценные древесные ноты техасского кедра, экстракта пачули, ветивера с Гаити, горного дубового мха и сандала тонко переплетаются в чувственном танце с бобами тонка и ванилью. Versace Eros Flame - cтойкий, обволакивающий, в то же время невероятно мужественный аромат. Ода страсти и торжество чувственного восторга.;
19000154001;TESORI D’ORIENTE Byzantium;парфюмерная вода;Италия;1090;861;https://goldapple.ru/19000154001-byzantium;1025.8;Парфюм принадлежит к группе восточных ароматов. Роскошный, сказочный аромат пробуждает грезы о древнем городе Византии. Черная роза – редчайшая и самая загадочная разновидность этого цветка, сливаясь с теплыми нотами лабданума, создает сверкающий, словно драгоценная византийская мозаика, шлейф аромата за вами. Tesori d’Oriente Туалетная вода 100 мл приглашает Вас окунуться в мир эстетики и великолепия. Уникальная разработка итальянских парфюмеров создает туалетную воду с ярким ароматом, обладающим хорошей стойкостью до 10 часов. Туалетная вода Tesori d'Oriente принадлежит к группе восточных ароматов. Ольфакторное путешествие унесет вас от повседневной жизни: бегство в живописные уголки мира, окруженные бирюзовыми водами, где вы сможете найти свой внутренний покой. Ароматы, произведенные в Италии, созданы на основе натуральных масел, с натуральными компонентами.  Продукция вдохновлена древней идеей превратить ежедневный уход за телом в красивый ритуал, с помощью которого можно гармонизировать тело и душу. Парфюмерия данного бренда содержит традиционные восточные компоненты, использующиеся в течение многих веков при изготовлении косметики. Ароматические композиции разработаны ведущими мировыми парфюмерными компаниями и подойдут для подарка самым близким людям, потому что привлекательная и удобная упаковка имеет премиальный вид. Насладитесь роскошью гармонии Востока!;Нанести на тело или одежду, избегая попадания в глаза или на раздраженную кожу.  При необходимости повторить нанесение в течение дня.
19760302793;GIVENCHY  IRRESISTIBLE;парфюмерная вода;Франция;9600;9600;https://goldapple.ru/19760302793-irresistible;987.84;Новый аромат IRRESISTIBLE GIVENCHY Eau de Parfum бросает вызов всем законам притяжения. Его магнетическая сила очаровывает и захватывает нас вихрем великолепного свободного танца.  Композиция IRRESISTIBLE GIVENCHY представляет собой красочный дуэт роскошной розы и аккорда светлого дерева. Восхитительная Роза сверкает, раскрываясь в начале фруктовыми сочными гранями, подчеркнутыми игривым трио Груши, Амбретты и пудровой ноты Ириса. Это великолепное цветочно - фруктовое сочетание, в танце с аккордом Кедра и Янтарного дерева, создает легкое волнение перед тем, как объединиться с едва уловимой нотой Мускуса.   Наполненный особым духом, энергичный и озорной аромат парфюмерной воды IRRESISTIBLE GIVENCHY - настоящий концентрат соблазнения, наполненный очарованием и женственностью. Его спонтанность заразительна и невероятно увлекательна. Темп задан. А вы готовы присоединиться к танцу?;
19000154011;TESORI D’ORIENTE White musk;парфюмерная вода;Италия;1090;817;https://goldapple.ru/19000154011-white-musk;985.6;Нежный, мягкий, гармоничный аромат кристальной чистоты с бархатной цветочной нотой.  Неповторимое звучание белого мускуса в композиции Tesori d’Orienre оставляет на теле и одежде обволакивающий кремовый запах чистоты и спокойствия. Классические альдегиды на старте плавно переходят в нежную россыпь ирисовой пудры. По мере раскрытия белый мускус смягчается, становится пушистым, лаская кожу и пробуждая тайные желания. Tesori d’Oriente Туалетная вода 100 мл приглашает Вас окунуться в мир эстетики и великолепия. Уникальная разработка итальянских парфюмеров создает туалетную воду с ярким ароматом, обладающим хорошей стойкостью до 10 часов. Туалетная вода Tesori d'Oriente принадлежит к группе восточных ароматов. Ольфакторное путешествие унесет вас от повседневной жизни: бегство в живописные уголки мира, окруженные бирюзовыми водами, где вы сможете найти свой внутренний покой.  Ароматы, произведенные в Италии, созданы на основе натуральных масел, с натуральными компонентами. Продукция вдохновлена древней идеей превратить ежедневный уход за телом в красивый ритуал, с помощью которого можно гармонизировать тело и душу. Парфюмерия данного бренда содержит традиционные восточные компоненты, использующиеся в течение многих веков при изготовлении косметики. Ароматические композиции разработаны ведущими мировыми парфюмерными компаниями и подойдут для подарка самым близким людям, потому что привлекательная и удобная упаковка имеет премиальный вид. Насладитесь роскошью гармонии Востока!;Нанести на тело или одежду, избегая попадания в глаза или на раздраженную кожу.  При необходимости повторить нанесение в течение дня.
7431400003;VERSACE Bright Crystal Absolu;парфюмерная вода;Италия;14900;11175;https://goldapple.ru/7431400003-bright-crystal-absolu;983.92;Парфюмерная вода Versace Bright Crystal Absolu выпущен модным домом в 2014 году. Относится к категории цветочно-фруктовых запахов. Автор парфюмерной воды Альберто Мориллас создал запоминающуюся ароматический букет из граната, пиона, малины, лотоса, магнолии, амбры и махагони. Яркий гранатовый букет Versace оставляет после себя терпкий запах, заставляет почувствовать себя желанной. Чувственные ноты магнолии помогают набраться сил. Махагони придает аромату благородный оттенок.;
