article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000191522;THOMAS KOSMALA NO. 4 Après l’Amour Elixir de PARFUM;парфюмерная эссенция;Франция;24022;21619;https://goldapple.ru/19000191522-no-4-apres-l-amour-elixir-de-parfum;134.64;Парфюмерный эликсир THOMAS KOSMALA PARIS расширяет ольфактивный опыт и выделяет новые грани уже знакомой и любимой многими композиции No.4 Après l’Amour.  Цедра лимона и горький апельсин отходят на второй план, и главную роль начинают играть ноты миндаля и жасмина. Новая, менее воздушная версия обладает более густым, насыщенным шлейфом и окутывает соблазнительной сладостью.;Распылять на кожу с расстояния 20-30 см.
19000317579;CALVIN KLEIN One Intense;парфюмерная эссенция;Испания;9120;7752;https://goldapple.ru/19000317579-ck-one-essence;12.0;Провокационный, бесстрашный и смелый, CK One Essence усиливает дух оригинального аромата Calvin Klein CK One в более высокой концентрации.  Отдавая дань бесполой природе своего предшественника, CK One Essence — это унисекс-аромат, созданный для того, чтобы им наслаждался каждый.  Искрящийся итальянский бергамот и кровавый апельсин добавляют яркие верхние ноты, плавно переходя в зеленый чай в сопровождении теплой базы сандалового дерева и мускуса.  Созданный для воплощения мятежного духа оригинального CK One от Calvin Klein, CK One Essence прославляет свободное самовыражение и передает желание выйти за рамки условностей.;Наносить аромат равномерно на одежду, кожу и волосы.
19000357466;ANTINOMIE REVOLTE delicate;парфюмерная эссенция;Франция;9932;3972;https://goldapple.ru/19000357466-revolte-delicate;6.0;Волнующий аромат ANTINOMIE – словно начало истории любви. Сладость первых чувств натыкается на шипы романтических мук. Изысканно колкая роза раскрывает разные грани в этой искрящейся композиции. Цветочные ноты в сочетании со свежестью бергамота и клубники, аккордом гренадина и малиной зовут в опасную игру, цель которой – завоевать объект любви.   Верхние ноты: бергамот, розовый перец, амбра, клубника, гренадин. Ноты сердца: малина, нероли, роза, герань, пион. Базовые ноты: ветивер, сахар, кедр, амбервуд, амбра.;Только для наружного применения.
19000357462;ANTINOMIE MAJESTE brute;парфюмерная эссенция;Франция;9932;4966;https://goldapple.ru/19000357462-majeste-brute;4.6;Таинственный и роскошный аромат ANTINOMIE воспевает красоту магнетического уда. Загадочная, как самые мистические сны и видения, композиция околдовывает нотами шафрана, бархатцев и ладана. Разрастаясь, словно огромное дерево в густом лесу, аромат раскрывает теплые древесные аккорды, интригующее звучание благовоний и тонкую сладость пралине.  Верхние ноты: шафран, бархатцы, ладан.  Ноты сердца: ландыш, пачули, папирус, амбервуд. Базовые ноты: пралине, уд, ветивер, ладан.;Только для наружного применения.
19000357457;ANTINOMIE COURTOISIE feroce;парфюмерная эссенция;Франция;19864;7945;https://goldapple.ru/19000357457-courtoisie-feroce;3.0;Аромат ANTINOMIE – воплощение необузданной харизмы, нескрываемой гордости и хороших манер. Силу характера и беспощадную элегантность, перед которой сложно устоять, воплощает выразительный аккорд кожи. Глубокая, смелая композиция, дополненная нотами ананаса, ириса, амбры и сандала, покоряет дерзким характером и вдохновляет быть неотразимо нетипичными.  Верхние ноты: лимон, тимьян, яблоко.   Ноты сердца: кожа, ананас, ирис, амбервуд.  Базовые ноты: пралине, сандал, мускус, амбра.;Только для наружного применения.
19000357465;ANTINOMIE ALCHIMIE celeste;парфюмерная эссенция;Франция;9932;3972;https://goldapple.ru/19000357465-alchimie-celeste;3.0;Магнетический, словно сияние звезд, аромат ANTINOMIE переносит в сад цветущих гардений. Пленительную гармонию нежных белых цветов дополняют ландыш, жасмин, лилия, роза и цветки апельсина. Изысканный эликсир, украшенный свежестью сливы, персика и кокоса, пробуждает запредельный магнетизм, чувственность и приятное, сладостное волнение.  Верхние ноты: апельсин, плющ, лист розы. Ноты сердца: роза, ландыш, жасмин, лилия, цветок апельсина, слива, персик, кокос. Базовые ноты: амбра, уд, ветивер, сандал, сено, мускус, ваниль.;Только для наружного применения.
83460100003;FILIPPO SORCINELLI Symphonie-Passion;парфюмерная эссенция;;24900;23655;https://goldapple.ru/83460100003-symphonie-passion;2.0;Symphonie-Passion – это путешествие, во время которого вы приближаетесь к истокам Музыки. Ощущая кожей порывы ледяного ветра и топча камни, поцарапанные неизвестными звуками, вы молча движетесь навстречу объятиям тепла. Яркие верхние ноты аромата захватывают нас, словно нежные, но сильные первые звуки «Весны» Вивальди. Как и в любой симфонии, исполняемой оркестром, настоящая алхимия Symphonie-Passion кроется в слиянии дивных нот, гармонично сочетающихся в этой одновременно заряжающей энергией и успокаивающей композиции.;По мере необходимости
19000357460;ANTINOMIE REVOLTE delicate;парфюмерная эссенция;Франция;19864;7945;https://goldapple.ru/19000357460-revolte-delicate;1.8;Волнующий аромат ANTINOMIE – словно начало истории любви. Сладость первых чувств натыкается на шипы романтических мук. Изысканно колкая роза раскрывает разные грани в этой искрящейся композиции. Цветочные ноты в сочетании со свежестью бергамота и клубники, аккордом гренадина и малиной зовут в опасную игру, цель которой – завоевать объект любви.   Верхние ноты: бергамот, розовый перец, амбра, клубника, гренадин. Ноты сердца: малина, нероли, роза, герань, пион. Базовые ноты: ветивер, сахар, кедр, амбервуд, амбра.;Только для наружного применения.
19000384466;AMOUAGE Lustre;парфюмерная эссенция;Оман;90870;54522;https://goldapple.ru/19000384466-luster;1.0;Свет в темноте. Блеск полированной поверхности. Ослепительное сияние.  Lustre — это бесстыдно поэтическое обонятельное выражение желания продлить настоящее до конца времен. Lustre начинается с искры — всплеска искрящегося кардамона, который наполняет воздух пряной жизненной силой.  Сияние продолжается и смягчается ирисом — уникальным пудровым материалом, который добавляет блеск неподдельного, роскошного романтизма, заставляя композицию светиться с богатой внутренней элегантностью. Белая кремовость ириса усиливается сандаловым деревом, мягкая индивидуальность которого проецирует ощущение вечной бесшовности.  В финале, восхитительная ваниль охватывает все с теплой, длительной изысканностью;Нанести на пульсирующие точки.
19000357464;ANTINOMIE FIEVRE idyllique;парфюмерная эссенция;Франция;9932;3972;https://goldapple.ru/19000357464-fievre-idyllique;1.0;Аромат ANTINOMIE будоражит чувства. Очарованность или волнение? Насыщенная и чистая композиция захватывает внимание и пробуждает необузданное желание свободы. Виной тому чувственные, выразительные пачули. Ноты моркови, ириса, гелиотропа еще сильнее разжигают яркие ощущения. Сандал и амбра гармонично дополняют страстный характер композиции.   Верхние ноты: кардамон, лайм, свежий имбирь. Ноты сердца: морковь, ирис, гелиотроп. Базовые ноты: пачули, амбервуд, сандал, амбра.;Только для наружного применения.
