article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000121291;THE WOODS COLLECTION Bloom;подарочные наборы;Франция;11745;10570;https://goldapple.ru/19000121291-bloom;125.76;Мягкое сияние луны освещает лесную подстилку, раскрывая нежные ночные цветы, ожидающие нежной серебряной ласки, чтобы расцвести и раскрыть свою красоту, насыщенную свежесть и силу. Нежный букет цветов и фруктов наполняет ваши легкие в сопровождении древесных базовых тонов и соблазнительного ладана.  Бутоны полевых цветов всегда будут  to bloom из коллекции Natural by The Woods. Состав набор: 100ml+5ml. Флакон 5 ml пустой.;
19000121290;THE WOODS COLLECTION Dusk;подарочные наборы;Франция;11745;10570;https://goldapple.ru/19000121290-dusk;107.52;Когда солнце делегирует свои обязанности луне во время их ежедневного свидания, захватывающий переход от яркой светящейся ауры к теплой и тусклой атмосфере охватывает леса, затаившие дыхание в момент покоя. Dusk начинает свое путешествие с фруктового свежего чарующего яблока, смешанного с бергамотом и мандарином, а затем взрывается среднецветочным ощущением фиалок, жасмина и яркой герани.  Последние осколки раскрепощенного дневного времени зовут вас в DUSK из Natural by The Woods Collection. Состав набор: 100ml+5ml. Флакон 5 ml пустой.;
19760310035;STATE OF MIND Butterfly Mind;подарочные наборы;Франция;12023;7213;https://goldapple.ru/19760310035-butterfly-mind;68.16;Мобильная версия спрея создана, чтобы любимый аромат всегда был под рукой! Стильный восьмигранный флакон с изысканным дизайном защищен бархатным чехлом, который входит в набор.  Также прилагается воронка для наполнения компактной упаковки (атомайзера) из полноразмерного флакона. Невесомый цветочно-фруктовый аромат вызывает ассоциации с природой, молодостью и лёгкостью. На его создание вдохновила красота весны и вечного начала. В этом светлом, романтичном и многогранном аромате нежность белого чая и цветков сакуры гармонирует с фруктовыми нотами фейхоа.  Украшают праздничный букет чувственные вишня и мускус.  Компактный флакон в элегантном чехле станет украшением сумочки и позволит наслаждаться нежной композицией в течение всего дня.;
19000275550;CHOPARD Imperiale iris malika;подарочные наборы;Италия;13999;8399;https://goldapple.ru/19000275550-imperiale-iris-malika;61.44;В подарочный набор Chopard входят парфюмерная вода IMPERIALE IRIS MALIKA (100 мл) и элегантная косметичка. Современный и женственный аромат Chopard воспевает роскошную ноту ириса – одного из самых аристократичных и благородных цветов.  Королевский цветочный букет с чарующим ирисом, иланг-илангом и жасмином украшают соблазнительные ноты сочных ягод, древесный аккорд, теплые ноты смол и пряные специи.  Парфюмер – Dora Baghriche.;Парфюмерная вода: только для наружного применения, распылите на кожу или одежду с небольшого расстояния.  Косметичку используйте для хранения косметики или парфюмерии.
19000030981;L'ATELIER PARFUM DOUCE INSOMNIE + VERTE EUPHORIE;подарочные наборы;Франция;12356;7413;https://goldapple.ru/19000030981-douce-insomnie-verte-euphorie;58.56;"Два аромата – и две совершенно разные эмоции. Откройте для себя гармоничную пару изысканных парфюмерных композиций из коллекции L'ATELIER PARFUM, пробуждающей различные чувства и ощущения. В подарочный набор входят два аромата: парфюмерная вода DOUCE INSOMNIE, в чувственном и гипнотическом аромате которой гармонируют яркая кофейная нота, сандал и нежный цветочный аккорд, и миниатюра парфюмерной воды VERTE EUPHORIE с игривой и бодрящей композицией, объединившей свежесть цитрусов, ноту белого кедра и нежность мускуса. Парфюмерная вода DOUCE INSOMNIE напоминает о маленьких удовольствиях, таких как чашка горячего капучино, а VERTE EUPHORIE дарит чувство свободы и беззаботности. В набор входит:  L'ATELIER PARFUM Douce Insomnie Парфюмерная вода, 100 мл; L'ATELIER PARFUM Verte Euphorie Парфюмерная вода, 15 мл.";Распылите на пульсирующие зоны, такие как запястья, шея, за ушами и внутренняя сторона локтя. Избегайте контакта с одеждой, чтобы сохранить качество аромата.
19000121300;SIGNATURE BY SILLAGE DORIENT Ambre;подарочные наборы;Франция;19574;17616;https://goldapple.ru/19000121300-ambre;58.28;В изысканный набор входят парфюмерная вода AMBRE (100 мл) и её миниатюра в тревел-формате (15 мл).  Аромат SIGNATURE by Sillage d'Orient посвящен красоте янтаря, который ценили на протяжении веков: древние египтяне верили в его способность защищать, а древние греки считали янтарь слезами богинь. Аристократический камень вдохновил на создание благородной и насыщенной парфюмерной композиции, в которой чувственный амбровый аккорд обрамляют бальзамические ноты и нежная сладость ванили.  В интернет-магазине представлен актуальный дизайн товара. При заказе вы можете получить товар как в старом, так и в новом дизайне.;Распылять на кожу с расстояния 20-30 см.
19000178436;MOSCHINO TOY BOY;подарочные наборы;Италия;15700;14130;https://goldapple.ru/19000178436-toy-boy;54.88;В подарочный набор от MOSCHINO входят парфюмерная вода TOY BOY (100 мл), её миниатюра (10 мл), которую удобно носить с собой и брать в путешествия, парфюмированный гель для душа и ванны (100 мл) и парфюмированный бальзам после бритья (100 мл). Соблазнительная композиция раскрывается нотами бергамота, розовых ягод, мускатного ореха, груши и элеми. Абсолю розы, гвоздика, магнолия и цветы льна играют в сердце аромата. Кашмеран, гаитянский ветивер, амбермакс и силколид подчеркивают смелый характер композиции.;
19000121304;SIGNATURE BY SILLAGE DORIENT Musk;подарочные наборы;Франция;19574;13701;https://goldapple.ru/19000121304-musk;51.24;В изысканный набор входят парфюмерная вода MUSK (100 мл), её миниатюра в тревел-формате (15 мл) и распылитель.  Нежная и чувственная композиция SIGNATURE by Sillage d'Orient – это гармония соблазнительного мускуса, свежих цветочных нот и специй. Вдохновением для создания роскошной композиции стали легенды о прекрасных нимфах в белых платьях и с цветами в волосах, развевающихся на ветру. Нимфы пели и танцевали, встречая весну, и эта свежесть первых теплых дней отражена в аромате.  Восточная композиция идеально дополняет уникальные чары человека и подчеркивает его чувственность.;Распылять на кожу с расстояния 20-30 см.
19000221689;PRESS GURWITZ PERFUMERIE Discovery Set;подарочные наборы;Россия;4700;4230;https://goldapple.ru/19000221689-discovery-set;49.02;Discovery Set – прекрасная возможность познакомиться сразу со всеми пятнадцатью ароматами Press Gurwitz Perfumerie. Изысканные, пленительные бленды на основе лучших ценных компонентов, собранных из разных уголков мира. Все ароматы унисекс. Каждый из ароматов заключен во флакон 2,5 мл, который легко поместится даже в самую маленькую сумку. Куда бы вы не направлялись – в офис или на вечеринку, аромат будет с вами везде. В СОСТАВ НАБОРА ВХОДЯТ БЕСТСЕЛЛЕРЫ БРЕНДА: Eau de Parfum №2 c нотами бобов тонка, перца и пачули. Насыщенный теплый бленд, содержит природные афродизиаки, которые раскроют чувственное настроение.  Eau de Parfum №3 – дымный, уютный и пряный. Сочетает в себе ноты мадагаскарской ванили, табака и корицы. Пористый, как ванильное печенье, горячий словно табак, утонченный, как сломанная палочка корицы. Аромат №3 погружает вас в тепло и мягкость нежных, но мужественных объятий. Eau de Parfum №6 – древесный, но при этом тонкий, шипровый за счет земельных нот пачули с переплетением амбровых аккордов и кожных вкраплений. Чувственный и сексуальный, аромат содержит феромоны, которые делают ваш образ особенно притягательным и создают стойкий головокружительный шлейф. Eau de Parfum №15 – яркая композиция, которая передает чувственность благодаря дымчато-древесным аккордам сандала и кедра, пряным оттенкам кожи, сочным нотам ириса, инжира и кардамона. Теплый, интимный и уютный аромат, словно тающий в лучах солнца. Познакомьтесь со всеми ароматами и отыщите ваш собственный бестселлер!  Этот стильный набор станет прекрасным подарком в праздничный сезон. PRESS GURWITZ PERFUMERIE – АРОМАТЫ ДЛЯ ЛЮДЕЙ СВОБОДНЫХ ДУХОМ;Распылять на кожу или одежду с расстояния 50 см. Можно брызнуть парфюмом в воздухе перед собой и войти в облако аромата. Для усиления стойкости наносить на разогретое тело.
19000263996;CHOPARD Oud Malaki;подарочные наборы;Италия;13591;9513;https://goldapple.ru/19000263996-oud-malaki;29.76;В изысканный подарочный набор Chopard входят парфюмерная вода OUD MALAKI (80 мл) и гель для душа OUD MALAKI (150 мл).  Парфюмерная композиция, стартующая со свежих нот грейпфрута и лаванды, раскрывает благородную красоту уда, подчеркнутую чувственным звучанием табака, амбры, кожи и пряностей.  Древесно-восточный аромат, отражающий встречу динамичного Запада и загадочного Востока, словно переносит в сказочную арабскую ночь.;Только для наружного применения.
