article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000038909;BAGO HOME Fresh cotton;саше ароматическое;;331;297;https://goldapple.ru/19000038909-fresh-cotton;64.5;Сочетание свежего с цветочным ароматом. Ароматический диффузор «Свежий Хлопок» от Bago home наполнит ваш дом свежим, но при этом сладким цветочным ароматом.;Освободите ароматическое саше от целлофановой упаковки
19000268048;AROMA HARMONY #8 Pepper;саше ароматическое;Россия;140;126;https://goldapple.ru/19000268048-8-pepper;54.56;Аромат начинает свою композицию с нот чёрного перца, раскрываясь лёгкой древесностью и терпкостью. Постепенно пробуждаются пряные и теплые ноты кардамона, аккорды которого наполняют пространство манящей тайной. Начиная своё звучание, амбра придаёт аромату глубину и пленительную медовую сладость.;Откройте прозрачную упаковку. 2. Достаньте ароматическое саше.  Положите саше в ящик для белья, в комод, повесьте в шкаф или автомобиль при помощи держателя.
19000268047;AROMA HARMONY #15 Cedar;саше ароматическое;Россия;140;126;https://goldapple.ru/19000268047-15-cedar;45.08;Верхние ноты аромата начинаются с дымного, древесного, слегка сладкого гаякового дерева. Его богатый и сложный аромат добавляет композиции глубину и характер. Далее слышны бальзамические ноты пачули, а обрамляет композицию медовый кедр с оттенками специй.;Откройте прозрачную упаковку. 2. Достаньте ароматическое саше.  Положите саше в ящик для белья, в комод, повесьте в шкаф или автомобиль при помощи держателя.
19000268050;AROMA HARMONY #24 Wood;саше ароматическое;Россия;140;126;https://goldapple.ru/19000268050-24-wood;17.1;Пряные и древесные оттенки уда рисуют в воображении образ загадочного востока, его таинственность. Сладковатая и мягкая амбра добавляет аромату тепла. Завершающий аккорд композиции – свежая, чистая и успокаивающая лаванда. Ее травяные и цветочные ноты словно переносят вас на поля лавандовых ферм, где время течёт медленнее.;Откройте прозрачную упаковку 2. Достаньте ароматическое саше  Положите саше в ящик для белья, в комод, повесьте в шкаф или автомобиль при помощи держателя.
19000268060;AROMA HARMONY Yuzu Mandarine;саше ароматическое;Россия;140;126;https://goldapple.ru/19000268060-yuzu-mandarine;14.08;Почувствуйте свежесть цитрусовых! Аромат юзу и мандарина оживит ваш дом и подарит вам ощущение бодрости и настроения. Дайте этому аромату возможность пробудить в вас чувство радости и оптимизма.;Откройте прозрачную упаковку. 2. Достаньте ароматическое саше.  Положите саше в ящик для белья, в комод, повесьте в шкаф или автомобиль при помощи держателя.
19000038904;BAGO HOME Figs;саше ароматическое;;331;238;https://goldapple.ru/19000038904-figs;12.32;Многогранный аромат инжира от летнего и травянистого до тонкого и горьковатого, как миндаль, волшебным образом объединяются со спелой малиной и сочной клюквой. Цветочная феерия из пряной ванили, сладкой лилии и свежести герани дополняет фруктово-ягодный букет. Впустите это богатство в дом и удивите друзей!;Освободите ароматическое саше от целлофановой упаковки
19000268049;AROMA HARMONY #13 Warm Tobacco;саше ароматическое;Россия;140;79;https://goldapple.ru/19000268049-13-warm-tobacco;12.16;"Саше ""#13 Warm Tobacco"" наполнит ваше пространство нотами табака, бобов тонка и сухофруктов, придавая ему уют и теплоту. Этот аромат создаст атмосферу комфорта и спокойствия, наполнив ваш дом теплыми и обволакивающими нотами.";Откройте прозрачную упаковку 2. Достаньте ароматическое саше  Положите саше в ящик для белья, в комод, повесьте в шкаф или автомобиль при помощи держателя.
19000429286;AROMA HARMONY CHERRY OUD;саше ароматическое;Россия;140;126;https://goldapple.ru/19000429286-cherry-oud;11.52;Коллекция ароматов для дома  создана для того, чтобы поддерживать в доме атмосферу уюта и  Cozy nature by Aroma Harmony harmony гармонии.  В каждом аромате есть частичка природы и её энергия  жизни. Это тёплая коллекция, окутывающая помещение ненавязчивым  шлейфом, который дарит ощущение спокойствия. Концепция минимализма и деревянные ноты, представленные в каждом аромате — это ода планете.   В каждой линии, в каждой детали, в каждом дуновении ветра, в  самом взгляде на мир — чувствуется присутствие природы, ее  мудрость и сила. Она незримо присутствует в каждой ноте композиции.  Саше — в новой  упаковке. Простой и лаконичной.;Откройте прозрачную упаковку. Достаньте ароматическое саше. Положите саше в ящик для белья, в комод, повесьте в шкаф или автомобиль при помощи держателя.
19000060308;INSIDE YOU Cashmere wood;саше ароматическое;;660;594;https://goldapple.ru/19000060308-cashmere-wood;10.78;Готовы окунуться в мир ароматов ?  Кашемировое дерево- основу аромата составляют древесные, амбровые ноты с оттенками какао и цитруса. В меру терпкий, элегантный аромат для утонченных вечеров.  Аромасаше от Insideyou выполнены из натурального кокосового воска.  Кокосовый воск не имеет своего запаха и прекрасно отдаёт аромат, добавленных в него аромамасел. Его текстура не оставляет следов, не крошится, и имеет приятную глянцевую поверхность.  Аромасаше будет радовать вас приятным ароматом 2-4 месяца. Чем более интенсивный аромат, тем более насыщенная и долгая аромотдача.;"-повесить аромасаше на вешалку в шкаф между одеждой;   -положить на полку с одеждой;   -повесить в комнате и тогда лёгкий аромат будет распространяться по всему пространству;   -положить в дамскую или спортивную сумку;  -растопить на аромалампе.  Меры предосторожности: -Не оставляйте аромасаше на солнце и рядом с теплоисточниками."
19000310347;ETERIA COSMO Апельсин и гардения;саше ароматическое;Россия;200;140;https://goldapple.ru/19000310347-apel-sin-i-gardenia;10.08;Привнесите в свой дом нежность и радость с ароматом «Апельсин, гардения и душистый горошек». Сладкий апельсин Сицилии раскроет свою сочность и свежесть, наполняя воздух теплым и ярким ароматом. Гардения добавляет ноты благоухания и элегантности, а аромат душистого горошка придает композиции легкую сладость. Площадь ароматизации до 5 м2. Срок службы после вскрытия 5-7 недель.;Освободите саше от целлофановой упаковки, положите саше в бельевой шкаф или повесьте на штангу платяного шкафа при помощи держателя на оборотной стороне саше.
