article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000245147;FOR ME BY GOLD APPLE Pink woods;скраб для тела;Россия;600;540;https://goldapple.ru/19000245147-pink-woods;515.12;Скраб с морской солью и абрикосовой косточкой эффективно удаляет ороговевшие клетки, выравнивает рельеф и повышает тонус. Он отшелушивает кожу максимально нежно и бережно, не допуская повреждений. Формула обогащена ценными компонентами для комплексного ухода. Масла грейпфрута и розмарина обладают антиоксидантным эффектом, а экстракт базилика глубоко увлажняет и придает упругость. Скраб имеет рассыпчатую текстуру, но соль, пропитанная маслами, легко распределяется по коже. После применения он оставляет легкий масляный финиш и бодрящий древесно-цитрусовый аромат, в котором свежий мандарин сочетается с терпкостью кедра и мягкостью лаванды.;Нанесите скраб на влажную кожу и распределите его по телу круговыми движениями, после смойте остатки скраба теплой водой.  Используйте скраб 1–2 раза в неделю.
19000322315;ZIELINSKI & ROZEN Pink Pepper, Elemi, Cinnamon, Leather;скраб для тела;Израиль;1190;1190;https://goldapple.ru/19000322315-pink-pepper-elemi-cinnamon-leather;27.6;Содержит натуральную соль Мертвого моря.  Способствует нежному удалению мертвых клеток эпидермиса. Обеспечивает длительное ощущение увлажнения и напитанности благодаря маслам. Не требует дополнительного использования крема.;Нанесите на влажную или распаренную кожу, вотрите массирующими движениями, затем смойте теплой водой.
19000322317;ZIELINSKI & ROZEN Black Pepper, Vetiver, Neroli, Amber;скраб для тела;Израиль;1190;1190;https://goldapple.ru/19000322317-black-pepper-vetiver-neroli-amber;27.26;Содержит натуральную соль Мертвого моря.  Способствует нежному удалению мертвых клеток эпидермиса. Обеспечивает длительное ощущение увлажнения и напитанности благодаря маслам. Не требует дополнительного использования крема.;Нанесите на влажную или распаренную кожу, вотрите массирующими движениями, затем смойте теплой водой.
19000322316;ZIELINSKI & ROZEN Orange & Jasmine;скраб для тела;Израиль;1190;1190;https://goldapple.ru/19000322316-orange-jasmine;21.0;Содержит натуральную соль Мертвого моря.  Способствует нежному удалению мертвых клеток эпидермиса. Обеспечивает длительное ощущение увлажнения и напитанности благодаря маслам. Не требует дополнительного использования крема.;Нанесите на влажную или распаренную кожу, вотрите массирующими движениями, затем смойте теплой водой.
99000016539;LAMONNET black pepper & amber;скраб для тела;;985;690;https://goldapple.ru/99000016539-black-pepper-amber;20.58;"Профессиональный уход за телом с парфюмированным скрабом от LAMONNET. Подарите незабываемый СПА-ритуал для вашей кожи.  Скраб избавит от неровностей и шероховатостей на коже, придаст ей тонус и эластичность. Мягкий и деликатный пилинг эффект достигается благодаря среднему размеру частиц морской соли, с добавлением частиц сахара.  Уникальный anti-age комплекс с добавлением алоэ-вера, экстракта листьев центеллы, ланолина, масла ши, масло авокадо, масла виноградных косточек и др. интенсивно питает и увлажняет кожу, улучшая её внешний вид и предотвращая шелушение.  Парфюмированная отдушка из Франции подарит легкий и ненавязчивый шлейф на протяжении нескольких часов. Роскошный дизайн баночки станет украшением любой ванной комнаты. Парфюмерная композиция: ""Черный перец, амбра, нероли"". Роскошный, манящий, дерзкий. Взрывной микс из дразнящего черного перца, чувственного нероли, удового дерева, выделанной кожи, приглушенный аккордами амбры и ветивера. Универсальный шлейфовый аромат подойдёт как для женщин, так и для мужчин на каждый день.";Нанесте скраб на сухую или влажную кожу легкими массажными движениями. Помассируйте в течение 3-5 минут. Смойте теплой водой.
19760325045;ZIELINSKI & ROZEN Black Pepper, Vetiver, Neroli, Amber;скраб для тела;;3190;3190;https://goldapple.ru/19760325045-black-pepper-amber-neroli;18.4;Многофункциональное средство для ухода за кожей тела. Деликатные гранулы соли Мертвого моря, пропитанной миндальным маслом, отшелушивают ороговевший слой эпидермиса, улучшают микроциркуляцию и ускоряют обменные процессы в клетках кожи. Благодаря этому кожа становится мягкой и гладкой.  Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.;Нанесите нужное количество скраба на кожу легкими массажными движениями, а затем смойте водой.
19000021548;ZIELINSKI & ROZEN Rosemary & Lemon;скраб для тела;;1190;1190;https://goldapple.ru/19000021548-rosemary-lemon;17.48;Содержит натуральную соль Мертвого моря.  Способствует нежному удалению мертвых клеток эпидермиса. Обеспечивает длительное ощущение увлажнения и напитанности благодаря маслам. Не требует дополнительного использования крема.;Нанесите на влажную или распаренную кожу, вотрите массирующими движениями, затем смойте теплой водой.
19000208559;ZIELINSKI & ROZEN Pink Pepper, Elemi, Cinnamon, Leather;скраб для тела;;3190;3190;https://goldapple.ru/19000208559-pink-pepper-elemi-cinnamon-leather;17.48;Эффективно очищает кожу и отшелушивает ороговевшие клетки. Улучшает микроциркуляцию и ускоряет обменные процессы.;Нанести скраб на влажную или предварительно распаренную кожу. Втереть массажными движениями, смыть тёплой водой, нанести увлажняющий крем. Хранить в сухом, защищенном от света и недоступном для детей месте при температуре от +5 °С до +25 °С.
19000084164;ZIELINSKI & ROZEN Peach, Passion fruit, Musk;скраб для тела;;3190;3190;https://goldapple.ru/19000084164-peach-passion-fruit-musk;13.8;Многофункциональное средство для ухода за кожей тела. Деликатные гранулы соли Мертвого моря, пропитанной миндальным маслом, отшелушивают ороговевший слой эпидермиса, улучшают микроциркуляцию и ускоряют обменные процессы в клетках кожи. Благодаря этому кожа становится мягкой и гладкой.;Нанесите нужное количество скраба на кожу легкими массажными движениями, а затем смойте водой.
19000384404;CASA LEGGERA Albero Bianco;скраб для тела;Россия;4000;3400;https://goldapple.ru/19000384404-albero-bianco;11.52;Парфюмированный скраб для тела Albero Bianco с нотами пачули, цветов, бергамота, кедра, розовых ягод и морских нот.  Обладает невероятным ароматом, который создаёт ощущение спа, а благодаря инновационному активному ингредиенту Oleosoft O4, в составе которого ферментированная смесь масел оливы, миндаля, льна и бораго, увеличивается эластичность кожи, уменьшаются растяжки и стимулируется процесс работы митохондрий.  Комплекс масел миндаля, жожоба и виноградной косточки будет обогащать кожу витаминами, антиоксидантами, укреплять и питать кожный барьер.  В основе скраба лежит морская соль, которая помогает удалить ороговевшие клетки кожи, стимулирует обновление, улучшает цвет и способствует увеличение лимфодренажных процессов. После использования скраба кожа обретает эффект шелковистости и увлажнения.;Лёгкими круговыми движениями нанесите на влажную кожу во время принятия душа или ванны. При попадании в глаза тщательно промойте водой.
