article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
7430500001;VERSACE Eau Fraiche;туалетная вода;Италия;11700;8775;https://goldapple.ru/7430500001-eau-fraiche;1942.36;Туалетная вода Versace Eau Fraiche имеет сложную композицию, в которой классические мужские аккорды сочетаются со свежими тонами, придающими запаху необычайную легкость и шарм. Верхние ноты этой туалетной воды включают в себя экзотическую карамболу, белый лимон и розовое дерево. Комбинация из кедровой хвои, душистого шалфея и горьковатого эстрагона составляют сердце Eau Fraiche. Прекрасно дополнит букет шлейф из чувственного мускуса, теплой амбры и легкой древесины платана. Этот тонизирующий аромат от Versace станет отличным подарком для сильного и харизматичного мужчины, умеющего получать удовольствие от жизни.;
19760343529;MOSCHINO TOY 2 BUBBLE GUM;туалетная вода;Италия;11600;8700;https://goldapple.ru/19760343529-toy-2-bubble-gum;1896.92;Туалетная вода TOY 2 BUBBLE GUM от MOSCHINO – это жизнерадостный и позитивный аромат для тех, кто хочет видеть жизнь в розовом цвете! Великолепную и многогранную розу окутывают игривые и насыщенные ноты жевательной резинки, одновременно сладкие и пряные. Вдохновляющую и бодрящую композицию, которая заставляет забыть о негативных эмоциях, дополняют засахаренные цитрусы в сочетании с сочным персиком и черной смородиной. Имбирь и корица придают аромату лёгкую остроту, а древесные ноты и нежный мускус делают его элегантным. Культовый флакон в виде плюшевого мишки стал розовым, и теперь TOY 2 раскрывает свои нежные объятия для всех, кто знает: розовый никогда не выйдет из моды!;
7431800004;VERSACE Eros Pour Femme;туалетная вода;Италия;7900;5925;https://goldapple.ru/7431800004-eros-pour-femme;1680.96;Туалетная вода Versace Eros Pour Femme – это новое измерение свежести, захватывающей и чувственной. В верхних нотах композиции - изысканные цитрусовые: сицилийский лимон и мандарин, и искрящиеся фруктовые ноты малины и белой смородины. Волнующие ноты лепестков фрезии и магнолии отсылают к женской природе аромата, а померанец и жасмин подчёркивают интенсивность и характер композиции. Смелый акцент белых пачули в сочетании с яркими древесными оттенками, мускусом и амброксаном придают аромату чувственность.;
19000002875;MANDARINA DUCK FREEDOMLAND;туалетная вода;Италия;5123;4610;https://goldapple.ru/19000002875-freedomland;1109.76;Аромат FREEDOMLAND от MANDARINA DUCK создан для тех, кто выбирает свободу и дух бесконечного веселья. В атмосферу музыкального фестиваля, ошеломляющего зажигательной музыкой и яркими красками, погружают искрящиеся ноты апельсина, лимона, ананаса, клубники, базилика и мяты. Вечеринка продолжается с нотами сердца: коктейлем «Пина колада», кокосовым молоком, жасмином и личи. Полностью окунуться в этот праздник музыки и свободы помогают ноты вишневого десерта, мускуса, гелиотропа и коктейля «Писко-сауэр». Семейство аромата: цветочный фруктовый.;
7430800010;VERSACE Eros;туалетная вода;Италия;7300;5475;https://goldapple.ru/7430800010-eros;1038.8;"Уникальная аура, чувственное прикосновение, несокрушимая мужественность - таковы ключевые ноты оды любви, воспеваемой Эросом, страстным и непреклонным соблазнителем. Новый аромат олицетворяет абсолютную мужественность, соединяя в единое целое: искрящуюся ауру яркой, вибрирующей, экстраординарной свежести листьев Мяты, цедры Итальянского Лимона и Зеленого Яблока; захватывающую чувственность интригующий, восточных, обволакивающих нот Бобов Тонка, Амброксана (Амбры), цветов Герани и Ванили; соблазнительную мужественность, воплощенную в древесном шлейфе Атласского и Виргинского Кедра, Ветивера и Дубового мха, привносящих в аромат интенсивный оттенок мощи и власти.";
7291600001;RABANNE Invictus;туалетная вода;Франция;10390;7584;https://goldapple.ru/7291600001-invictus;992.74;Туалетная вода Paco Rabanne Invictus — для сильных и уверенных в себе. Освежающий аромат сразу обращает на себя внимание. Впервые Invictus представлен в 2013 году парфюмерами Вероник Ниберг и Энн Флипо. Яркие цитрусовые ноты в составе Paco Rabanne перекликаются с волнующими морскими аккордами. Морские ноты позволят расслабиться, напомнят о лете. Аромат пачули создаст ауру загадочности, амбра образует легкий и запоминающийся шлейф, придает глубину композиции. Стойкость парфюма сохраняется в течение всего дня. Обладатели туалетной воды ставят перед собой цели и всегда их добиваются. Это энергичные мужчины, спортсмены, пребывающие в постоянном движении. Внешний вид товара может отличаться.;
7300600001;MOSCHINO Cheap and Chic I LOVE LOVE;туалетная вода;Италия;5800;4640;https://goldapple.ru/7300600001-cheap-and-chic-i-love-love;903.36;"Аромат I LOVE LOVE - аромат любви. I LOVE LOVE - аромат столь же юный, как и чувство, вдохновившее на его создание, как ноты букета, источающего счастье с первого мгновения. Настоящий подарок для влюбленной женщины, энергичной, ироничной и задорной в любви. Аромат: Цветочный, свежий фруктовый. ВЕРХНИЕ НОТЫ: Красная смородина, Грейпфрут, Лимон, Апельсин; СРЕДНИЕ НОТЫ: Камыш, Ландыш, Корица; ШЛЕЙФ: Древесина танака, Кедр, Мускус.";
7192200017;DIOR Miss Dior Blooming Bouquet;туалетная вода;Франция;16300;16300;https://goldapple.ru/7192200017-miss-dior-blooming-bouquet;787.72;Miss Dior Blooming Bouquet - это мгновенное удовольствие, признание в любви к жизни, которое вовлекает Вас. Появившись в 1947 году, Miss Dior исполнил мечту Кристиана Диора о создании средства от печали и тоски. С тех пор Miss Dior не изменил своего предназначения, он все также воплощает красоту и счастье. Туалетная вода Miss Dior Blooming Bouquet была создана словно цветочное прикосновение, одновременно чувственное и нежное. Это многогранный и неповторимый букет только что распустившихся цветов. Его контрастный шлейф вызывает ощущение подобное любви с первого взгляда, переданной в нотах полевых цветов и бергамота.  Дуэт нот дамасской розы и пиона раскрывается благородством, подобно страстным и сияющим эмоциям. Мягкий, легкий аккорд белого мускуса завершает букет этого аромата, рассказывающего историю любви. Аромат Miss Dior Blooming Bouquet помещен во флакон в особенном стиле: бант Miss Dior, сотканный из тысячи разноцветных нитей, придает аромату кутюрный штрих. Этот необыкновенный жаккардовый бант, вдохновленный букетом из тысячи переливающихся цветов, был создан в мастерской одного из самых известных французских производителей лент: Maison Faure, основанной в 1864 году. Эта нежная и свежая туалетная вода также выпускается в формате роликовой жемчужины, которую удобно брать с собой.;Небольшое количество аромата аккуратно нанести на зону шеи, декольте, запястьев.
80130500003;ARMAND BASI In RED;туалетная вода;Италия;4601;3082;https://goldapple.ru/80130500003-in-red;751.06;Туалетная вода Armand Basi In RED для женщин для начала восхитит да порадует вас свежестью мандарина и вкусными приправами имбиря, бергамота, кардамона. Запахи удивительно сочетаются в чудесный фимиам. Эта чувственная прелюдия к цветочному аромату делает туалетную воду непревзойденной в повседневном пользовании. Сердце аромата сладкое благодаря жасмину, фиалке, розе и ландышу. Использование в Armand Basi базовых нот мха, древесины и мускуса наиболее точно раскрывает весь букет благоухания. Благодаря цветам аромат наполнен весной, он придает молодость. А еще In RED для женщин дышит чувственностью, благородностью и женственностью.;Только для наружного применения.
7291300004;RABANNE 1 Million;туалетная вода;Франция;13858;9700;https://goldapple.ru/7291300004-1-million;687.36;Туалетная вода Rabanne 1 Million — это идеальный выбор для денди, который обладает манерами и во всем стремится быть первым. Главная его задача — добиться цели и реализовать мечту.  Аромат Rabanne воплотил в себе силу и власть золота. Парфюм подчеркивает лучшие качества обладателя: цитрусовые ноты освежают и обращают на себя внимание, травяные аккорды придают образу дерзости и решительности. Древесная композиция туалетной воды акцентирует внимание на стиле и элегантности. Корица делает образ гармоничным и чувственным, а мята — бодрит и поднимает настроение.  Шлейф, который оставляет после себя 1 Million, оставляет лишь чувство восхищения.  Внешний вид товара может отличаться.;
