article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000287581;ALAN BRAY Extrait Tobacco&Vanille;экстракт;Россия;2874;1724;https://goldapple.ru/19000287581-tobacco-vanille;436.16;Композиция построена на притягательном дуэте благородного табака и изысканной бурбонской ванили.  Чувственные и глубокие аккорды ключевых компонентов звучат многогранно и невероятно красиво за счет роскошного обрамления. Здесь пряность корицы и какао, сливочность бобов тонка, сок древесины с нотами кленового сиропа и нежность белого мускуса. Аромат придает своему обладателю аристократичность, подчеркивает его безупречный вкус и природную притягательность.  Там, где звучат ноты Tobacco &Vanille, даже воздух становится особенно манящим и бесконечно элегантным.;Нанести на шею, запястье, локтевые сгибы.
19000006030;MAISON FRANCIS KURKDJIAN BACCARAT ROUGE 540;экстракт;Франция;27000;27000;https://goldapple.ru/19000006030-baccarat-rouge-540;282.94;Парфюмерный экстракт Baccarat Rouge 540 усиливает сияние трех компонентов парфюмерной воды, не изменяя оригинального звучания. Отточенное мастерство парфюмера и мудрость, приобретенная со временем, привели к рождению этого древесного парфюмерного экстракта, ставшего истинным шедевром Франсиса Кюркджяна. Верхняя нота жасмина Грандифлорум мягко подчеркивает замысел мастера. Оттенок огня усиливается пудровыми гранями горького миндаля. Наконец, минеральная нота, построенная вокруг амбры, укрощена мускусным и древесным аккордом. Флакон, играя со светом, добавляет экстракту интенсивности. Он облачен в блестящую красную мантию, намекающую на красный цвет знаменитого хрусталя Baccarat. Парфюмерный экстракт Baccarat Rouge 540 Maison Francis Kurkdjian  воплощает собой изобилие и слияние компонентов, которые можно укротить только с помощью искусства парфюмера и мудрости, обретенной со временем.;Нанести аромат на запястья, шею и точки пульса.
19000287580;ALAN BRAY Extrait Tobacco&Cherry;экстракт;Россия;2874;2212;https://goldapple.ru/19000287580-tobacco-cherry;253.44;Аромат посвящен спелой и сочной вишне, звучание которой проявляется с первых аккордов. Вступление дополняют искрящиеся ноты розовых ягод и пряность мускатного ореха. А в сердце композиции вишневое звучание обрамляется великолепием сандала и нежностью жасмина самбак.  Шлейф представляет собой богатую симфонию, в которой ощущается роскошная бурбонская ваниль,  тягучий ладанник и благородство кожи. Красота и лаконичность флакона сочетаются с роскошью звучания самого аромата, одинаково эффектно раскрывающемся как на мужчинах, так и на женщинах. Tobacco&Cherry открывает дверь в мир притяжения и природного магнетизма.;Нанести на шею, запястье, локтевые сгибы.
19000342979;ESSENTIAL PARFUMS PARIS BOIS IMPERIAL by Quentin Bisch;экстракт;Франция;16310;8155;https://goldapple.ru/19000342979-bois-imperial-by-quentin-bisch;240.64;Парфюмер – Quentin Bisch. «В этой концентрированной версии BOIS IMPÉRIAL я усилил контрасты для абсолютного обольщения».  Черный перец делает композицию ESSENTIAL PARFUMS более взрывной, а атласский кедр и абсолют розы — насыщенной и глубокой. Древесный шлейф дополнен яркими нотами лабданума и пихтового бальзама, которые придают аромату новое ощущение зависимости и силы. В составе парфюмерного экстракта – 87% натуральных ингредиентов.  Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду.;Только для наружного применения.
19000161479;FREESHAPE EYWA Blessings from Nature;экстракт;Италия;21780;10890;https://goldapple.ru/19000161479-eywa-blessings-from-nature;198.72;EYWA — благословение природы и гимн уникальности в смелой, чувственной композиции. Восточно-древесный аромат прославляет силу природы, её позитивную энергию и тех, кто поддерживает равновесие в мире. Горький апельсин, нероли, плюмерия раскрываются в верхних нотах.  В нотах сердца проявляются магнолия, абсолют жасмина, петитгрейн. Завершающими аккордами звучат амбра и древесные ноты.  Крышка и подставка для флакона сделаны из розового мрамора Эйджин, натурального камня, который идеально подходит аромату. FreeShape — освободите душу и примерьте новый облик.;
19000166818;MIND GAMES Blockade;экстракт;США;28292;25462;https://goldapple.ru/19000166818-blockade;183.3;Лицом к лицу с противником — в блокаде на шахматном поле слабости работают на вас. Меняется восприятие, уходят мысли о сомнении и нерешительности. Динамичный и контрастный аромат вдохновляет на действие. Теплые ноты кожи, уда и амбры встречаются с бодрящей свежестью манго, острого перца и томатного листа. Исследуйте разум, чувства, силу духа с MIND GAMES и погрузитесь в стратегически идеальные композиции.;Распылите на кожу с расстояния 20-30 см.
19000166825;MIND GAMES J'Adoube;экстракт;США;28292;25462;https://goldapple.ru/19000166825-j-adoube;115.64;J’ADOUBE — я двигаюсь, но остаюсь прежним. Интригующие гранат, роза и мандарин устремляются в сладость. Аромат эволюционирует в глубокую базу из кожи, пачули и амбростара и фокусируется на хаосе, но сохраняет свою спонтанность и свободу. Исследуйте разум, чувства, силу духа с MIND GAMES и погрузитесь в стратегически идеальные композиции.;Распылите на кожу с расстояния 20-30 см.
19000220509;MIND GAMES QUEENING;экстракт;США;28292;25462;https://goldapple.ru/19000220509-queening;97.76;Коллекция soulmate воплощает силу и единство пешек, коллективную уверенность и стремление поддерживать друг друга. По характеру пешка — решительная, амбициозная и бесстрашная фигура.  Каждый аромат продуман, чтобы вы могли носить его самостоятельно или наслаивать с другими, создавая неповторимую композицию. Дизайн флаконов изящен, современен и сдержан — тонкие детали намекают на защитный слой брони. Разожгите страсть и откройте в себе лучшее с soulmate. Queening — празднование достижения своих целей. Эта изысканная композиция сочетает в себе королевский аромат ириса со сладостью ванили, создавая бодрящее начало, за которым следуют выдержанный ром и шафран.  Этот пленительный аромат наделяет силой всех нынешних и амбициозных королев.;Распылите на кожу с расстояния 20-30 см.
19000000388;INITIO PARFUMS PRIVES MUSK THERAPY;экстракт;;54000;45900;https://goldapple.ru/19000000388-musk-therapy;92.12;Великолепные натуральные ингредиенты, и их идеальная гармония.  Чистое наслаждение … Белый сандал дарит ощущение наполненности.  Он успокаивает и придает чувство уверенности в себе.  Магнолия, объединенная с гедионом, обладающим свойствами феромона, активирует участки головного мозга, отвечающие за удовольствие.;
83690100017;NISHANE Hacivat;экстракт;;25500;21675;https://goldapple.ru/83690100017-hacivat;89.18;Аромат, как дань элегантности, доброте, благородству и любви к искусству. Вдохновленный традиционным персонажем театра теней, этот шипровый аромат поможет вам жить в ваших лучших мечтах благодаря вечным сверкающим мотивам своей позитивной структуры, состоящей из бодрящих нот ананаса и бергамота, усиленных глубиной древесных нот. Наслаждайтесь любовью!;Наносить на неповрежденные участки кожи, волос и одежду.
19000340602;AMOUAGE Guidance 46;экстракт;Оман;101790;61074;https://goldapple.ru/19000340602-guidance-46;86.48;Увлекательный и завораживающий Guidance 46 Exceptional Extrait — это исследование света и тени, хрупкости и силы, утонченности и яркой выразительности — парадоксы, объединенные с непосредственностью, которая может быть достигнута только с помощью парфюмерного искусства.;Нанести на пульсирующие точки.
19000334152;BANANA REPUBLIC ORRIS VANILLE;экстракт;США;7652;6886;https://goldapple.ru/19000334152-orris-vanille;85.14;Изысканный аромат BANANA REPUBLIC, созданный для современной женщины, представляет симфонию нот, которые пленяют и остаются в памяти. Он воплощает суть роскоши, женственности и неизменной красоты, путешествие сквозь время и эмоции. Верхние ноты композиции дарят волнующее звучание, подобное первым лучам золотого восхода солнца. Цитрусовая искра бергамота переплетается со свежестью лимонного перца, а можжевельник усиливает бодрящий характер аромата.   Дымчатые и смолистые грани ладана, гармонично подчеркнутые утонченным ирисом, создают ощущение мистики.  По мере раскрытия нежные, сладкие оттенки яблоневого цвета дополняют элегантность композиции. Насыщенная амбра окутывает чувственным теплом, дополняя сливочную сладость ванили. Бархатистое сандаловое дерево придает аромату глубину и оставляет долгий, неотразимый шлейф. Классификация аромата: древесный, цветочный, амбровый.  Парфюмер – Catherine Selig;Только для наружного применения.
19000222198;ANTINOMIE DANSE PASSIVE;экстракт;Франция;14951;11213;https://goldapple.ru/19000222198-danse-passive;68.62;Музыка напевает свою фруктовую мелодию — кислые ноты малины и апельсина перемежаются нотами персика. Мы закрываем глаза: мгновение убаюкивает, а воздух укачивает.  Свежесть издалека выражена в иланг-иланге, жасмине, кедре. Позволяем себе увлечься заключительной нотой мускуса. Искрящийся и свежий DANSE PASSIVE — аромат медленного танца.;Только для наружного применения.
19000013016;NISHANE ANI;экстракт;;23600;20060;https://goldapple.ru/19000013016-ani;61.74;Древний мегаполис, Ани и его многочисленные разрушенные церкви теперь являются памятником величия империи и неизбежности времени. В честь этого мистического места ANI, древнего мегаполиса, теперь разрушенного , Nishane создал аромат, сочетающий яркую свежесть, огненную пряность, грубый лес и уютное тепло - настоящее путешествие сквозь века. Ani открывается ярким, бодрящим свежим и зеленым бергамотом, переполненным сочными цитрусовыми нотами и аккордом свежей растительности, пробуждающимися зарослями, которые вновь покрыли разрушенные стены. Сверкающая смесь пряностей имбиря наводит на мысль о том, что жизнь еще осталась, в то время как из-под древних камней выглядывает великолепная фруктовая роза. Теперь мы чувствуем силу истории, как богатую, сливочную, смолистую ваниль и богатое землистое древесное эхо, которое разносится множеством голосов, оставленных историей. Сложный, сильный и яркий, Ani - это аромат с истинным наследием. Этот парфюм предназначен для того, чтобы разрушить любую границу между людьми и дать возможность владельцу построить свою собственную;Наносить на неповрежденные участки кожи. Не распылять вблизи открытого огня. Не допускать попадания в глаза или на поврежденную кожу. Употребление в пищу опасно для здоровья! Хранить в темном месте при комнатной температуре!
19000220508;MIND GAMES LIONORA;экстракт;США;28292;25462;https://goldapple.ru/19000220508-lionora;61.64;Коллекция soulmate воплощает силу и единство пешек, коллективную уверенность и стремление поддерживать друг друга. По характеру пешка — решительная, амбициозная и бесстрашная фигура.  Каждый аромат продуман, чтобы вы могли носить его самостоятельно или наслаивать с другими, создавая неповторимую композицию. Дизайн флаконов изящен, современен и сдержан — тонкие детали намекают на защитный слой брони. Разожгите страсть и откройте в себе лучшее с soulmate. Lionora прославляет соблазнительное очарование грации, красоты и мудрости. Сочные ноты фруктов и цветов утопают в медовых, животных нотах османтуса, прежде чем раствориться в мягких и сливочных нотах сандалового дерева.  Композиция запечатляет страсть и романтику влюбленности, а также неоспоримую силу настоящей любви.;Распылите на кожу с расстояния 20-30 см.
19000215477;TUMI Awaken distilled 08:00 gmt;экстракт;США;13791;12411;https://goldapple.ru/19000215477;56.84;Насыщенный парфюмерный экстракт TUMI – идеальный выбор для гражданина мира, чья динамичная жизнь связана с точностью среднего времени по Гринвичу. Это более мощная и интенсивная версия классического аромата AWAKEN [08:00 GMT], дополненная выразительными древесно-амбровыми нотами и мягкой свежестью лаванды. Притягательный древесный аккорд делает сочетание фужерных и цитрусовых нот более контрастным, глубоким и ярким. Этот тонизирующий, бодрящий и стойкий аромат способен зарядить энергией надолго.;Только для наружного применения.
83690100001;NISHANE Wulong Cha;экстракт;;20900;15884;https://goldapple.ru/83690100001-wulong-cha;54.72;Раскрывается цитрусовыми нотами  бергамота, апельсина и мандарина. В то время как средиземноморский инжир и  мускус являются базой аромата,  китайский чай улун медленно  завораживает.;
19000334150;BANANA REPUBLIC MONDAY ROSE;экстракт;США;7652;5892;https://goldapple.ru/19000334150-monday-rose;53.58;С первого вдоха аромат BANANA REPUBLIC раскрывается ярким фруктовым шлейфом бергамота и грейпфрута, переливающихся на фоне сладости личи. В сердце композиции звучит нежная нота розы в современном прочтении, окутанная карамелью, бархатистой амброй и мускусом.  Парфюмер – Christelle Laprade.;Только для наружного применения.
19000220500;MIND GAMES THE FORWARD;экстракт;США;28292;25462;https://goldapple.ru/19000220500-the-forward;46.0;Коллекция soulmate воплощает силу и единство пешек, коллективную уверенность и стремление поддерживать друг друга. По характеру пешка — решительная, амбициозная и бесстрашная фигура.  Каждый аромат продуман, чтобы вы могли носить его самостоятельно или наслаивать с другими, создавая неповторимую композицию. Дизайн флаконов изящен, современен и сдержан — тонкие детали намекают на защитный слой брони. Разожгите страсть и откройте в себе лучшее с soulmate. The forward выступает вперед со смесью ярких, искрящихся цитрусов в смелом и незабываемом старте аромата. С каждым движением он становится более захватывающим, раскрывая глубину благодаря многогранным оттенкам соли, жасмина и ванили.  Царственный и дерзкий, но в то же время мягкий и утонченный, the forward превосходит ожидания.;Распылите на кожу с расстояния 20-30 см.
19000175281;MARC-ANTOINE BARROIS Ganymede Extrait;экстракт;Франция;31900;30305;https://goldapple.ru/19000175281-ganymede-extrait;41.28;Огромный спутник Юпитера является вдохновением для названия парфюма, но также он известен тем, что полон кратеров и имеет подземный океан, который больше, чем все океаны Земли, вместе взятые.  Создатели аромата, Марк-Антуан Барруа и Квентин Биш, представили его в этом мире с атмосферой, наполненной ароматическим сырьем, которое воспламеняется: небо сияет кислым всплеском мандарина и священными фумаролами ладана и мирры. Это планета, покрытая теплыми бархатными дюнами, где царствуют специи и карамелизированный бессмертник.  Огненное сердце аромата напоминает о том, что боги дали Ганимеду вечную жизнь, чтобы его красота никогда не увядала. Это ли тлеющая кожа, скрытая под дикой кожей? Драгоценный парфюмерный экстракт, настолько же утонченный, насколько чувственный.  Ganymede EXTRAIT раскрывает в своем головокружительном шлейфе очарование великой Классики.;
19000220504;MIND GAMES GAMBIT;экстракт;США;28292;25462;https://goldapple.ru/19000220504-gambit;37.72;Коллекция SOULMATE воплощает силу и единство пешек, коллективную уверенность и стремление поддерживать друг друга. По характеру пешка — решительная, амбициозная и бесстрашная фигура.  Каждый аромат продуман, чтобы вы могли носить его самостоятельно или наслаивать с другими, создавая неповторимую композицию. Дизайн флаконов изящен, современен и сдержан — тонкие детали намекают на защитный слой брони. Разожгите страсть и откройте в себе лучшее с SOULMATE.  GAMBIT создан для современного игрока, смелого и вдохновляющего. Уверенный и беззастенчиво страстный аромат с отличительными нотами специй, перемешанных с небольшой фруктовой сладостью и окутанных в успокаивающую теплоту.  Взрывы свежей герани задерживаются в глубокой дымке лаванды, прежде чем раствориться в сияющих нотах сандалового дерева и амбры.  GAMBIT не только знает своё предназначение, но и уверенно прокладывает к нему путь.;Распылите на кожу с расстояния 20-30 см.
19000220505;MIND GAMES EN PRISE;экстракт;США;28292;25462;https://goldapple.ru/19000220505-en-prise;36.8;Коллекция soulmate воплощает силу и единство пешек, коллективную уверенность и стремление поддерживать друг друга. По характеру пешка — решительная, амбициозная и бесстрашная фигура. Каждый аромат продуман, чтобы вы могли носить его самостоятельно или наслаивать с другими, создавая неповторимую композицию. Дизайн флаконов изящен, современен и сдержан — тонкие детали намекают на защитный слой брони. Разожгите страсть и откройте в себе лучшее с soulmate. En prise — многогранный аромат, который приглашает вас исследовать соблазнительную сторону уязвимости. Чарующее начало хрустящего, шипучего бергамота с отголоском грейпфрута сменяется чувственной сладостью кристаллического сахара и интимностью шафрана в сердце композиции. По мере того, как разворачивается это динамичное взаимодействие, землистые слои аромата ветивера и мха завершают En prise.;Распылите на кожу с расстояния 20-30 см.
19000287578;ALAN BRAY Gourmet Délice Floral;экстракт;Россия;2874;1839;https://goldapple.ru/19000287578-delice-floral;36.12;Волнующий и незабываемый аромат Delice Floral мгновенно покорит вас нежным звучанием абсолюта флердоранжа. Вступлению аромата   корица и кардамон дарят пряность,  а  мандарин и бергамот - цитрусовые нотки. В сердце композиции свежий жасмин обрамляет величественную розу. Теплые ноты амбры в сочетании с соблазнительной ванилью придают композиции чувственный характер. Аромат  Delice Floral вдохновлен элегантностью и очарованием десертов, покрытых лепестками цветов. Он - тончайшее произведение искусства, как те самые сладкие цветочные лепестки, неотличимые от живых цветов.;Нанести на шею, запястье, локтевые сгибы.
19000166822;MIND GAMES Double Attack;экстракт;США;28292;21219;https://goldapple.ru/19000166822-double-attack;35.72;Чемпионы создают судьбу сами и готовы рискнуть всем ради триумфа, когда шансы в их пользу. Аккорд шоколада создает смесь многогранных горьковато-сладких и древесных нот, которые определяют характер аромата. Специи и цветы разрушают преграды, а затем уступают место чарующим бурбону и ванили. Исследуйте разум, чувства, силу духа с MIND GAMES и погрузитесь в стратегически идеальные композиции.;Распылите на кожу с расстояния 20-30 см.
19000220506;MIND GAMES SANS VOIR;экстракт;США;28292;21219;https://goldapple.ru/19000220506-sans-voir;35.28;Коллекция soulmate воплощает силу и единство пешек, коллективную уверенность и стремление поддерживать друг друга. По характеру пешка — решительная, амбициозная и бесстрашная фигура.  Каждый аромат продуман, чтобы вы могли носить его самостоятельно или наслаивать с другими, создавая неповторимую композицию. Дизайн флаконов изящен, современен и сдержан — тонкие детали намекают на защитный слой брони. Разожгите страсть и откройте в себе лучшее с soulmate. В симфонии контрастов sans voir ведет вас по прибрежной мечте с нюансами морской соли, грейпфрута и жасмина, окутанных каскадом кипариса и фрезии.  Пока развивается ольфакторное повествование, ваше внутреннее видение пробуждается с мистической розой и пало санто, открывая возможности, которые были скрыты всего несколько мгновений назад.;Распылите на кожу с расстояния 20-30 см.
19000166819;MIND GAMES Caïssa;экстракт;США;28292;18389;https://goldapple.ru/19000166819-caissa;27.9;Каисса, богиня шахмат, показывает, на что мы готовы ради любви. Ноты черной лакрицы добавляют загадочности, пока розовый перец и кардамон согревают. Роскошные белые цветы сливаются с древесно-амбровыми нотами. Исследуйте разум, чувства, силу духа с MIND GAMES и погрузитесь в стратегически идеальные композиции.;Распылите на кожу с расстояния 20-30 см.
19000356149;MIND GAMES Mentor;экстракт;США;37367;33630;https://goldapple.ru/19000356149-mentor;27.44;Одновременно соблазнительный и сложный аромат MENTOR воспевает контрасты и предлагает уникальный взгляд на классические гурманские композиции.  В нем сочетаются изысканность дымчатого уда, придающего базе землистые оттенки, и чувственность теплой, медовой амбры, усиленной нотой бобов тонка. Слива подчеркивает глубину аромата и дополняет его многогранную сладость, делая композицию MIND GAMES еще более притягательной.  Тонкий баланс сладких и землистых нот очаровывает гармонией и пробуждает воспоминания.;Только для наружного применения.  Распылите на кожу с расстояния 20-30 см.
19000126964;INITIO PARFUMS PRIVES PARAGON;экстракт;;54000;45900;https://goldapple.ru/19000126964-paragon;26.46;Третий аромат в коллекции Hedonist открывает совершенно новый уровень и показывает особое видение.  Напитываясь силой священных лесов и растений, PARAGON проходит свой путь свершений. В аромате PARAGON воплотилась истинная природа Пало Санто и белого шалфея.  Уникальный аромат «священного дерева» Пало Санто, мастерски смешанный с белым шалфеем и агаровым деревом, стимулирует мозг и вызывает положительные эмоции.;Нанесите на кожу .
19000013015;NISHANE Safran Colognise;экстракт;;16200;13770;https://goldapple.ru/19000013015-safran-cologhise;26.0;Яркий искрящийся аромат — вариация на тему традиционных турецких одеколонов, которые принято подавать гостям, чтобы они освежили руки. Композицию пронизывает огненное солнечное благоухание шафрана, подчеркнутое экзотическими искрами маракуйи. Им вторят сочные лимоны, согревающие пряности, амброво-мускусный аккорд с кожаными акцентами. В основе формулы — высокая концентрация эфирных масел.;Наносить на неповрежденные участки кожи. Не распылять вблизи открытого огня. Не допускать попадания в глаза или на поврежденную кожу. Употребление в пищу опасно для здоровья! Хранить в темном месте при комнатной температуре!
82520100001;WIDIAN Black Collection №2;экстракт;ОАЭ;23933;21539;https://goldapple.ru/82520100001-black-collection-2;24.96;Духи Aj Arabia Black Collection № 2 отличаются экзотичностью и невероятной стойкостью. Чувственная парфюмерная композиция Black Collection № 2 открывается сочностью сливы и бодрящей спелостью мандарина.  В сердце духов от Aj Arabia звучат изысканные переливы нежной розы и терпкого сандалового дерева, которые сменяются воздушной ванильной нежностью, горечью дубового мха и пряностью мускуса.;
