article;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
99000051565;HERBOLICA Fresh East;эфирное масло;;750;750;https://goldapple.ru/99000051565-fresh-east;;"Эфирный бленд ""Свежесть Востока"" – это уникальная смесь натуральных эфирных масел, созданная для того, чтобы наполнить ваш дом восточными ароматами и подарить ощущение свежести и экзотики. Смесь состоит из эфирных масел цитрусовых, сандала, ванили и других растений, известных своими тонизирующими и освежающими свойствами. Аромат ""Свежесть Востока"" напоминает теплый восточный ветерок в горах или освежающий дыхание моря, создавая атмосферу умиротворения и спокойствия. Это идеальный выбор для тех, кто хочет привнести в свой дом нотки восточного волшебства и насладиться приятным ароматом, который будет бодрить и освежать вас каждый день.";Смешайте 3–5 капель эфирного масла и 10–15 мл масла базы, проведите массаж.
99000055597;HERBOLICA wild mint;эфирное масло;;559;559;https://goldapple.ru/99000055597-wild-mint;;Растение мяты перечной - это многолетнее растение, растущее летом, с вертикальными квадратными стеблями, достигающими в зрелом возрасте 1 метра в высоту. Эфирное масло мяты перечной извлекается из ароматических листьев этого растения и с давних времен известно, как отличное средство для пищеварения, а также ряд других полезных для здоровья свойств.;Ароматерапия: 3–5 капель в диффузор.Наружно: Разбавлять 1–2 капли в 1 ст. л. базового масла (кокос, миндальное) для массажа или кожи. Ингаляции: 2–3 капли в миску с горячей водой, дышать паром 5–10 мин. Добавки: в косметику, шампуни (1–2 капли на порцию).
99000057811;ONLY OIL Эвкалипт;эфирное масло;;220;220;https://goldapple.ru/99000057811-evkalipt;;"Эфирное масло эвкалипта OnlyOil получают из листьев путем перегонки с водяным паром, с последующей конденсацией паров и выделением масла из полученного дистиллята. Представляет собой легкое, летучее соединение, обладающее привлекательным запахом и пряно-горьким вкусом. Для изготовления эфирного масла эвкалипта мы используем только чистое и натуральное сырье, привезенное из Китая. Масло богато эфирными соединениями, около 80% которых составляют бициклические монотерпены: цинеол (преимущественно 1,8-цинеол), пинен, миртенол, сесквитерпен, аромадендрен; дубильные вещества (до 10 %), флавоноиды и фенолкарбоновые кислоты. Содержит микро- и макроэлементы – кальций, калий, магний, марганец, цинк, железо, а также полиненасыщенные жирные кислоты, обеспечивающие липидное насыщение клеток кожи. Ароматерапия:  Улучшает настроение, тонизирует и повышает жизненную активность. Аромат эфирного масла эвкалипта положительно влияют на психоэмоциональное состояние, снижает раздражительность. Восстанавливает организм после стресса и истощения, снижает утомляемость при умственных нагрузках. Эвкалиптовое масло отлично стимулирует организм и поддерживает иммунитет. Косметология: Используется для обогащения косметических средств. Эвкалиптовое масло нормализует работу сальных желез, обладает дезодорирующими свойствами. Используется против прыщей, угрей и акне. Масло эвкалипта является прекрасным средством для очищения и ухода за проблемной кожей. Питает и укрепляет волосы, устраняет перхоть и ломкость.";Уход за проблемной кожей: 7–10 капель эвкалиптового масла или его смесь с лавандовым маслом на 10–15 г. (мл.) основы (крема, лосьона, геля, шампуня и другие) нанести на проблемные участки кожи. Массаж: 4–5 капель эвкалиптового масла или композицию масел смешать с 1–2 столовыми ложками любого растительного масла (оливкового, миндального, кукурузного, зародышей пшеницы) или выбранного Вами крема. Ванны: В наполненную ванну (37–38°С) добавить 5–7 капель эвкалиптового масла или одной из композиций масел, предварительно смешанных с 1 столовой ложкой эмульгатора (молока, меда, морской или поваренной соли). Длительность процедуры 10–15 минут. Сауна: 5–7 капель эвкалиптового масла или одной из композиций масел добавить в емкость с небольшим количеством горячей воды и поместить на верхний стеллаж парилки.
99000057820;ONLY OIL Пихта сибирская;эфирное масло;;299;299;https://goldapple.ru/99000057820-pihta-sibirskaa;;"Эфирные масла OnlyOil – продукция премиального уровня, которая изготавливается из чистого сырья ведущих и признанных мировых производителей с разных концов земного шара. В составе только натуральное эфирное масло хвои пихты сибирской, которое имеет сертификат ГОСТ ISO 10869-2015, что свидетельствует о его натуральности и наивысшем качестве. Пихта сибирская (Abies sibirica) – вид крупных вечнозеленых хвойных пород деревьев высотой до 30 метров семейства Сосновых. Хвоя душистая, мягкая, не колючая. Пихтовые леса или ""пихтачи"" в основном встречаются в Восточной и Западной Сибири, на Урале и в северной части России. Пихтовые лапки или охвоенные концы ветвей пихты используют для получения пихтового масла OnlyOil, которое по своему качеству превосходит масло, полученное из других видов хвойных пород. Получение эфирного масла основано на перегонке с водяным паром. Продукт производства обладает ярко выраженным хвойным ароматом. Для изготовления эфирных масел пихты мы используем только чистое и натуральное сырье, привезенное из Сибири. Пихтовое масло содержит около 50-60% сложного эфира борнилацетата, который придает маслу хвойно-камфорный запах. Среди сопутствующих веществ присутствуют альфа и бета-пинен, борнеол, камфен, обладающие тонизирующей активностью. В совокупности содержит более 35 биологически активных веществ, такие как аскорбиновая кислота, витамины, фитоциды и флавоноиды. Ароматерапия:  Эфирное масло пихты благотворно влияет на нервную систему. Улучшает настроение, тонизирует и повышает жизненную активность. Пихтовое масло отлично стимулирует организм и поддерживает иммунитет. Идеально подходит для массажа. Эфирное масло пихта расслабляет околосуставные ткани, снимает боль в мышцах. Косметология: Используется для обогащения косметических средств. Улучшает упругость, тонус и эластичность кожи, повышает защитные функции кожи. Пихтовое масло восстанавливает и улучшает состояние ногтей. Эффективно против прыщей, высыпаний, угрей и акне. Масло пихты является прекрасным средством для очищения и ухода за проблемной кожей. Эфирное масло пихта великолепно подходит для бани, сауны, хамама или ванны — наполнит хвойным пихтовым ароматом парилку или ванную комнату и раскроет свои полезные свойства.";Обогащение косметических средств: 4–6 капель эфирного масла пихты смешать с 15 г. крема, использовать при раздраженной и увядающей коже. Ванны: В наполненную ванну (37–38°С) добавить 4–7 капель эфирного масла пихты, предварительно смешанных с 1 столовой ложкой эмульгатора (молока, меда, морской или поваренной соли). Продолжительность процедуры 10–20 минут. Сауна: 5–10 капель эфирного масла пихты добавить в емкость с небольшим количеством горячей воды и поместить ее на верхний стеллаж парилки.
99000057835;ONLY OIL Кедр;эфирное масло;;240;240;https://goldapple.ru/99000057835-kedr;;Кедр атласский (Cedrus deodara) - южное вечнозеленое хвойное дерево семейства Сосновых (Pinaceae). При благоприятных условиях достигает высоты до 40 метров. Естественный ареал произрастания – Северная Африка, регионы Марокко и Алжира, как теплолюбивый вид способен к культивированию на Черноморском побережье. Применяется в ландшафтном дизайне для создания массивов, аллейных и одиночных посадок. Масло кедра считается одним из первых ароматических масел полученное древними египтянами. Масло использовали в парфюмерии, при бальзамировании, а также в качестве компонента состава противоядий. Эфирное масло получают из хвои и молодых побегов методом перегонки с водяным паром (дистилляцией). Эфирное масло– легкое, летучее, бесцветное или желтоватого оттенка. Обладает приятным и стойким бальзамическим ароматом с древесными нотками. Эфирное масло кедра рекомендуется использовать для ухода за проблемной кожей. Обладает омолаживающим эффектом, повышает упругость и тонус кожи, делая ее эластичной. Весьма эффективно применение масла при ломкости и выпадении волос, ломкости ногтей, образовании перхоти. Обладает приятным хвойным ароматом, поэтому подходит для принятия ванн и использования в банях. Прекрасно успокаивает и укрепляет нервную систему, способствует улучшению мыслительных способностей.;Для укрепления волос: 5–6 капель кедрового масла добавлять в воду для ополаскивания волос после мытья. Ванна: в наполненную ванну (37–38 °С) добавить 4–7 капель кедрового масла или одной из композиций масел, предварительно смешанных с 1 столовой ложкой эмульгатора (меда, молока, морской или поваренной соли). Продолжительность процедуры 10–20 мин. Сауна: 5–10 капель кедрового масла или одной из композиций масел (с бергамотовым, кипарисовым или неролиевым и розовым эфирными маслами, взятыми в равных пропорциях) добавить в емкость с небольшим количеством горячей воды и поместить её на верхний стеллаж парилки. Для ухода за проблемной кожей: 5 капель эфирного масла кедра в смеси с бергамотовым, кипарисовым или неролиевым и розовым эфирными маслами взятых в равных пропорциях, смешать с 1 столовой ложкой любого растительного масла (миндального, персикового, жожоба, виноградных косточек и др.) или выбранного Вами крема. Наносить на проблемные участки кожи.
99000055595;HERBOLICA Green Tea;эфирное масло;;510;510;https://goldapple.ru/99000055595-green-tea;;Эфирное масло зеленого чая от Herbolica — это концентрат природной энергии, созданный для ценителей натуральной красоты и здорового образа жизни. Изготовленное методом бережной паровой дистилляции из листьев камелии китайской (Camellia sinensis), масло сохраняет все целебные свойства знаменитого растения. Его легкий, травянисто-цветочный аромат с нотками свежескошенной травы наполнит пространство ощущением чистоты и спокойствия.;Ароматерапия: 3–5 капель в диффузор.Наружно: Разбавлять 1–2 капли в 1 ст. л. базового масла (кокос, миндальное) для массажа или кожи. Ингаляции: 2–3 капли в миску с горячей водой, дышать паром 5–10 мин. Добавки: в косметику, шампуни (1–2 капли на порцию).
99000055594;HERBOLICA Neroli;эфирное масло;;780;780;https://goldapple.ru/99000055594-neroli;;Эфирное масло нероли получают из цветков либо сладкого апельсинового дерева, либо горького апельсинового дерева.;Ароматерапия: 3–5 капель в диффузор.Наружно: Разбавлять 1–2 капли в 1 ст. л. базового масла (кокос, миндальное) для массажа или кожи. Ингаляции: 2–3 капли в миску с горячей водой, дышать паром 5–10 мин. Добавки: в косметику, шампуни (1–2 капли на порцию).
99000044903;HERBOLICA Revitalizing;эфирное масло;;650;650;https://goldapple.ru/99000044903-revitalizing;;Восстанавливающая эфирная композиция действуют на ваши эмоциональные чувства и оживляют ваше тело. Ваши мысли проясняться и почувствуете себя полным драйва и легко справитесь с новыми задачами и с стрессовыми ситуациями. Помимо восстановления, масло одновременно расслабляет и создает в вас внутренний баланс. Используйте это масло во время экзамена или просто в беспокойной повседневной жизни.;Смешайте 3–5 капель эфирного масла и 10–15 мл масла базы, проведите массаж.
99000055599;HERBOLICA Mandarin Orange;эфирное масло;;440;440;https://goldapple.ru/99000055599-mandarin-orange;;Представьте спелый мандарин, сорванный с ветки под ласковыми лучами солнца. Сладковато-терпкие ноты с лёгкой горчинкой цедры танцуют в воздухе, даря ощущение беззаботности и тепла. Этот аромат — как глоток прохладного лимонада в знойный день: бодрящий, яркий, наполненный жизнью!;Ароматерапия: 3–5 капель в диффузор.Наружно: Разбавлять 1–2 капли в 1 ст. л. базового масла (кокос, миндальное) для массажа или кожи. Ингаляции: 2–3 капли в миску с горячей водой, дышать паром 5–10 мин. Добавки: в косметику, шампуни (1–2 капли на порцию).
99000024675;ICT PROFESSIONAL СТОПАНОСМИЯ;эфирное масло;;1610;1610;https://goldapple.ru/99000024675-stopanosmia;;Набор предназначен для ольфакторного тренинга при полной или частичной потере обоняния или искаженном восприятии запахов.  При вдыхании эфирные масла попадают на поверхность специализированных рецепторов и вызывают их возбуждение, затем нервные импульсы по обонятельным нервам, через обонятельные луковицы и подкорковые центры, поступают в корковые центры обоняния мозга и там обрабатываются, вызывая у человека определённые воспоминания и, как следствие, идентификацию объекта.  Флакон №1 содержит 100% натуральное эфирное масло апельсина. Масло апельсина тонизирует дыхательную систему, оно улучшает настроение и общее эмоциональное состояние. При вдыхании нужно представлять, что вы нюхаете апельсин. Если обоняние отсутствует, то необходимо вспоминать, как пахнет апельсин и пытаться ощутить его запах. Содержимое флакона вдыхать 20 секунд. Флакон №2 содержит смесь 100% натуральных эфирных масел герани, мелиссы тимьяна, иланг-иланга, литсеи кубеба, кайепута и шалфея растворенные в триглицеридах. Сбалансированный состав смеси масел улучшает общее состояние дыхательной системы.  Масло герани, шалфея и мелиссы устраняет застойные и воспалительные процессы. Масло тимьяна улучшает кровообращение. Масло иланг-иланга выравнивает дыхание, делая его более глубоким. Масло кубеба увеличивает секрецию желез с лучшим отхождением слизи и нормализацией дыхания. Масло кайепута обладает иммуностимулирующим и спазмолитическим действием. Одну каплю данной смеси следует нанести на палец, а затем втирать в подносовой желобок в течение 1 минуты при этом массируя точку между верхней губой и носом. Флакон №3 содержит 100% натуральное эфирное масло равинтсары. Масло равинтсары тонизирует, а так же обладает иммуностимулирующим, нейростимулирующим, противоспазматическим действием, что способствует нормализации обоняния. Содержимое флакона вдыхать 20 секунд. Флакон №4 содержит смесь 100% натуральных эфирных масел апельсина, лимона, мяты, мелиссы, лаванды, розмарина и равинтсары в триглицеридах. Сбалансированный состав смеси улучшает общее состояние дыхательной системы. Масло апельсина и лимона тонизируют дыхательную систему и весь организм в целом. Масло мяты активизирует мозговую деятельность. Масло мелиссы устраняет застойные и воспалительные процессы. Масло лаванды обладает антисептическими и противовоспалительными свойствами. Масло розмарина стимулирует мозговое кровообращение и способствует восстановлению памяти. Масло равинтсары способствует нормализации обоняния. Одну каплю данной смеси следует нанести на палец, а затем массировать точку между верхней губой и носом на носовом желобке в течение 1 минуты. Флакон №5 содержит 100% натуральное эфирное масло корицы. Масло корицы способствует ускорению межклеточного обмена веществ и быстрой регенерации клеток. При вдыхании нужно представлять, что вы нюхаете корицу. Если обоняние отсутствует, то необходимо вспоминать, как пахнет корица и пытаться ощутить ее запах. Содержимое флакона вдыхать 20 секунд. В эфирных маслах, входящих в состав набора находятся бициклические монотерпены (α- и β-пинены, камфен), борнеол, цинеол, камфора, ациклические монотерпены (линалоол , мирцен, α- и β-оцимены), моноциклические монотерпены (α-лимонен, цитраль, геранилацетат, ментол, α- и β-пинен, дипентен, фелландрен, цинеол и др.), ароматические соединения (тимол, карвакрол, геранилацетат) и ряд других веществ, способных оказывать положительное влияние на нормальное функционирование обонятельного анализатора человека. Для того, чтобы восстановить обоняние, отоларингологи и нейрофизиологи рекомендуют проводить тренинг обонятельной системы. Набор эфирных масел с оптимально подобранным составом позволит максимально быстро вернуть утраченное обоняния. Очень важно начать тренировки как можно раньше после того, как обоняние пропало. Перед тренингом рекомендовано проводить туалет носа с использованием 0,9 % солевого раствора.;"Последовательно: открыть флакон №1 и вдыхать 20 секунд; открыть флакон №2, одну каплю данной смеси следует нанести на палец, а затем массировать точку между верхней губой и носом на носовом желобке в течение 1 минуты; открыть флакон № 3 и вдыхать 20 секунд; открыть флакон №4, одну каплю данной смеси следует нанести на палец, а затем массировать точку между верхней губой и носом на носовом желобке в течение 1 минуты; открыть флакон №5 и вдыхать 20 секунд. Тренировку повторять не реже 2 раз в день в течение 3 месяцев."
