article;brand;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
99000015136;HYPNOTECA;HYPNOTECA Black Wood;ароматические свечи;Россия;3200;3200;https://goldapple.ru/99000015136-black-wood;2.0;"""Black Wood"" – это воплощение изысканности и элегантности в мире парфюмерии. Этот аромат представляет собой идеальное сочетание теплоты пикантного красного дерева и прозрачной нежности масла ши, создавая атмосферу роскоши и неповторимого шарма. В основе аромата лежат натуральные древесные ноты сандала и кедра, которые гармонично сочетаются с базовыми аккордами нежного мускуса. Тонкие акценты бобов добавляют аромату глубину и сложность, делая его поистине неповторимым. Подсвечник-шар изготовлен из высококачественного акрилового гипса. Каждое изделие является уникальным и неповторимым, так как выполнено полностью вручную. Благодаря этому, оттенок и количество блёсток на каждом подсвечнике могут отличаться, что придает им особый шарм и индивидуальность.";Использовать для создания ароматической атмосферы. Перед использованием удалите все декоративные элементы упаковки. Выберите удобное место для свечи, недоступное для детей и животных, вдали от штор и тканей.  Держите свечу зажженной не менее 1 часа, чтобы воск равномерно расплавился по поверхности. Оптимальное время горения свечи не более 3 часов за раз.  Если пламя начнет коптить или станет очень высокое – обрежьте фитиль на 1-2 мм. Если пламя недостаточно сильное – уберите часть воска с поверхности.  Используйте гасильник для гашения свечи, не накрывайте для тушения крышкой от свечи. Не оставляйте зажженную свечу без присмотра и на сквозняках. Соблюдайте безопасное расстояние от пожароопасных предметов.  Избегать прямых солнечных лучей. Не ставьте свечу на поверхность, которую можно повредить. Осторожно: во время горения свечи стакан может нагреться. Натуральный воск очень подвержен изменению температуры, хранить в сухом месте при t не ниже 10° и не выше 23°.
19000187150;Bloomcandles;BLOOMCANDLES Луговые травы;ароматические свечи;Россия;2300;1840;https://goldapple.ru/19000187150-lugovye-travy;1.98;Теплое и летнее сочетание ромашки, фиалки и скошенной травы уносит на прогулку по горному Алтаю. Там, где воздух наполнен солнцем и ароматами горных трав. Характер аромата: растительный, свежий летний. Особенности: • Свеча в керамическом кашпо. • Время горения – 40 часов. • Деревянный фитиль из розового дерева, создающий уютный треск, как от камина. • Лаконичный дизайн и сочетание белого матового кашпо с пудровыми элементами  подходит к любому интерьеру. • Подарочная пудровая упаковка, тишью и сургучная печать, делают свечу - идеальным подарком, как себе, так и другим.;Ароматические свечи имеют насыщенный, яркий аромат. Пространство наполняется ароматом через 5 - 15  минут после зажжения  • Важно! В помещении не должно быть сквозняка, чтобы аромат не улетучивался..   • Чтобы свеча дольше сохраняла свой аромат тушите пламя не задувая, а накрывая ее крышкой. • Не оставляйте свечу наедине с детьми и животными. • Фитиль изготавливается из розового дерева, поэтому при горении он издает приятный, уютный треск, похожий на камин. • Обязательно подрезайте фитиль на 1-2 мм перед каждым использованием, чтобы пламя не коптило и горело ровно.
19000125897;FOR ME by gold apple;FOR ME BY GOLD APPLE My Mantra;ароматические свечи;Россия;3445;1722;https://goldapple.ru/19000125897-my-mantra;1.6;Ароматическая свеча для идеального настроя. Аромат My Mantra – это история медитации. Умиротворяющая дымность благовоний и шероховатые солнечные лучи, которые пробиваются через нее. Древесность индийского сандала переплетается с яркими нотами восточных пряностей и свежестью лемонграсса, успокаивая и настраивая на день.;Зажечь фитиль.  После использования погасить пламя.  Для полного раскрытия аромата рекомендуется не гасить пламя, пока вся поверхность свечи не покроется расплавленным воском
19000467885;BoomBloom;BOOMBLOOM Holly jolly;ароматические свечи;Россия;1390;1251;https://goldapple.ru/19000467885-holly-jolly;1.0;Holly Jolly от Boom bloom (Бу́м Блу́м) — яркий цитрусовый аромат со спелыми мандаринами, сладкими апельсинами и горьковатой цедрой. Освежающие ноты лимона, лёгкая мята и едва заметный кедр создают ощущение праздничной эйфории. «Мандариновый переполох» — аромат новогодней мандариновой комы. Давайте признаемся, что она случалась с каждым из нас хотя бы раз в жизни? Куда ни посмотри — мандарины на столе, мандарины на окне, мандарины под ёлкой.;Подрежьте фитиль свечи до 5 мм. Зажгите фитиль и оставьте гореть на 1–3 часа, пока расплавленный воск не достигнет стенок сосуда. Не жгите свечу дольше 3 часов подряд. Подрезайте фитиль перед каждым использованием. Попробуйте эти простые правила, чтобы продлить срок службы свечи.
19000238535;GIARDINO MAGICO;GIARDINO MAGICO Bouquet di gelsomino;ароматические свечи;Россия;6350;3175;https://goldapple.ru/19000238535-bouquet-di-gelsomino;1.0;Парфюмированная свеча GIARDINO MAGICO создаст уютную атмосферу в пространстве и прекрасно впишется в любой интерьер. Уже с первых минут тонкий аромат постепенно и плавно, словно шаг за шагом, будет наполнять пространство своим неповторимым звучанием. Аромат «Bouquet di Gelsomino» наполняет пространство атмосферой цветущих садов Лигурии. Благоухание нескольких сортов жасмина в сочетании с нотами свежескошенной травы, зеленого чая, сахарной ваты и мускуса. Подходит для любителей нежных цветочных ароматов.;Открыть крышку и зажечь фитиль.
19000212029;Villermo;VILLERMO Ванильный пудинг, Bubbles mini бук;ароматические свечи;Россия;1615;1356;https://goldapple.ru/19000212029-vanil-nyj-puding-bubbles-mini-buk;;Ароматическая свеча VILLERMO сделана вручную из 100%-ного натурального соевого воска. Соевый воск производится из соевого масла и обладает сильнейшей ароматической отдачей как в твердом, так и плавленом состоянии, в отличие от кокосового воска или парафина. Ароматическое масло в тандеме с соевым воском наполнит вашу комнату прекрасным, ярким ароматом и создаст приятную атмосферу в доме.  Аппетитный аромат с легким, но дорогим звучанием: в нем благородная бурбонская ваниль, сладкий маршмеллоу и изысканный, дарящий особенную ноту, сандал. Запах десерта-мечты: вы приходите в восторг, попробовав его впервые, и с каждым разом влюбляетесь в него все сильнее. Аромасвеча в гипсовой форме Bubbles mini имеет хлопковый фитиль. Он ярче и дольше горит, может приятно потрескивать при горении, создавая уют в доме. Крышка из натурального бука обработана специальным маслом.  Аромасвеча с хлопковым фитилем от VILLERMO – это подарок со вкусом и ароматом.  Ароматические свечи можно использовать для медитации, ароматизации помещения или для домашнего декора.  TOP – бурбонская ваниль, заварной крем HEART – маршмеллоу, кокосовое молоко BASE – сливки, масло ши, сандал Высота 8,5 см, диаметр 9 см. Объем 100 мл – не менее 30 часов горения.;Ароматические свечи можно использовать для медитации, ароматизации помещения или для домашнего декора. Также ароматическую свечу можно использовать как массажную: соевый воск подходит в качестве теплого масла для массажа. Не оставляйте свечу зажженной без присмотра.
19000467886;BoomBloom;BOOMBLOOM Silent night;ароматические свечи;Россия;1390;1251;https://goldapple.ru/19000467886-silent-night;;Silent Night от Boom bloom (Бу́м Блу́м) — аромат кристальной снежной ночи с пронизывающими нотами эвкалипта и морозного можжевельника. Той самой, когда щёки зашлись румянцем от холода, а снежинки лениво падают с неба. «Синий иней» — куранты отбили полночь, заветные мечты загаданы, наступает время самой первой и главной ночи года, щедрой на чудеса и исполнения желаний.;Подрежьте фитиль свечи до 5 мм. Зажгите фитиль и оставьте гореть на 1–3 часа, пока расплавленный воск не достигнет стенок сосуда. Не жгите свечу дольше 3 часов подряд. Подрезайте фитиль перед каждым использованием. Попробуйте эти простые правила, чтобы продлить срок службы свечи.
19000231305;Канделябрум;КАНДЕЛЯБРУМ Christmas Spirit;ароматические свечи;Россия;2120;1908;https://goldapple.ru/19000231305-christmas-spirit;;"Зажгите свечу ""Дух Рождества"" и погрузитесь в вихрь ароматов, создающих тепло новогодних каникул. Это не просто свеча, это источник вдохновения, напоминание о встречах с близкими и друзьями, ожидание чуда в воздухе.  Верхние ноты лимона придают свежесть, словно первый снег под ногами. Сердце аромата расцветает сладким медом, корицей, ароматной выпечкой и пикантным розовым перцем. Эти ноты создают неповторимую гармонию, наполняя пространство уютом и воспоминаниями о волшебных моментах. Основа свечи воплощает в себе ванильные ноты, теплоту кедра и загадочность амбры, создавая атмосферу настоящего семейного праздника в каждом ее дыхании. Подарите своему дому дух Рождества, дарящий не только аромат, но и волшебство. С этой свечой каждый вечер станет особым, напоминая о важности моментов и создавая атмосферу тепла и веселья в вашем уюте.";"Способ применения ароматической свечи из натуральных ингредиентов от Канделябрум: 1. Подготовка: Извлеките свечу из упаковку и уберите все элементы декора и упаковки.  2. Расположение свечи: Установите свечу на ровную, устойчивую и негорючую поверхность, удалённую от прямых источников тепла. 3. Зажигание: Зажгите фитиль свечи с помощью зажигалки или спичек. Убедитесь, что фитиль не слишком длинный; для идеального горения его длина должна быть около 0,5 см. 4. Продолжительность горения: Для максимального раскрытия аромата и равномерного распределения воска, желательно использовать свечу Канделябрум в течение 2-4 часов. Не оставляйте горящую свечу без присмотра.  5. Погасание: Чтобы погасить свечу, аккуратно наденьте крышку на стакан и дайте дыму выйти из стакана. Или используйте специальный гасильник. Никогда не пытайтесь дуть на свечу, чтобы погасить ее – это может привести к рассеиванию горячего расплавленного воска. 6. Уход и хранение: После использования ароматической свечи и полного остывания воска, проверьте фитиль на длину и при необходимости обрежьте его до длины 0,5 см. Верните крышку на стакан и храните свечу в сухом, прохладном месте, вдали от прямых солнечных лучей. Следуя этим простым рекомендациям, вы сможете насладиться ароматической свечей от Канделябрум и создать в вашем доме или рабочем месте приятную и уютную атмосферу."
99000123049;The svechi;THE SVECHI полный джингл белс;ароматические свечи;Россия;1690;1690;https://goldapple.ru/99000123049-polnyj-dzingl-bels;;Голубая свеча «Полный Джингл Белс» с ароматом «Сливочный пудинг».  Нежный, чувственный аромат. Сладость ярких нот бурбонской ванили и заварного крема уравновешивается более спокойными нотами сандалового дерева, кокосового молока и сливок. Деликатное и дорогое звучание. Свеча входит в коллекцию «Хайп» — это яркие цветные свечи с забавными надписями и интересными, запоминающимися ароматами.;Подрежьте фитиль до 5–7 мм.  Зажгите свечу и дайте верхнему слою полностью расплавиться.  Для тушения используйте гаситель или крышку, пока огонь не погаснет, после чего уберите крышку. Дождитесь полного остывания воска перед повторным использованием.  Подрежьте фитиль перед новым зажжением.  Меры предосторожности:  Использовать только по назначению. Не жечь более 3 часов подряд. Не использовать, если до дна остается менее 1 см воска. Не задувать пламя и не заливать водой. Не оставлять без присмотра. Держать вдали от детей, домашних животных и легковоспламеняющихся предметов. Возможны аллергические реакции. Не принимать внутрь. При проглатывании обратитесь к врачу.  Условия хранения:  Хранить при температуре от 20 до 24°С, вдали от солнечных лучей, горячих поверхностей и источников тепла.
99000115438;TAKO Home;TAKO HOME мандарин;ароматические свечи;Россия;3500;3500;https://goldapple.ru/99000115438-mandarin;;Свеча в гипсовом подсвечнике ручной работы в виде новогоднего шара с бантом — с ароматом еще не очищенного мандарина в кожуре, знакомым с детства запахом праздника и уютных зимних каникул.  В сочетании с уникальным подсвечником и в подарочной упаковке она украсит любой интерьер и создаст праздничную атмосферу.  После использования свечи подсвечник можно использовать повторно.  Размер подсвечника: 13х10 см.;Подрезайте фитиль при каждом использовании до 3-4 мм. Так свеча не будет коптить, и пламя будет ровным.  Тушите свечу крышкой.  Не жгите свечу более 3 часов подряд.
