article;brand;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000138442;Versace;VERSACE DYLAN PURPLE pour femme;парфюмерная вода;Италия;12200;9150;https://goldapple.ru/19000138442-dylan-purple-pour-femme;1949.48;Яркий и элегантный аромат Dylan Purple приглашает в увлекательное парфюмерное путешествие.  Дуэт искрящегося бергамота и пробуждающих радость нот свежего апельсина встречается с сочной грушей, которая придает композиции игривое звучание.  В сердце аромата яркой вспышкой раскрывается пленительная фрезия. Нежный аромат её лепестков подчеркивают невесомые молекулы Mahonial и Pomarose.  Цветочное сердце композиции VERSACE олицетворяет гипнотическую ауру морского заката, пурпурное свечение и лёгкий бриз. Молекулы Belambre и Ambrofix, мягкие оттенки Iso E Super и сливочные грани кедра идеально дополняют изысканный и глубокий характер аромата. Silkolide добавляет композиции легкие мускусные и фруктовые акценты.  Классификация аромата – цветочный фруктовый мускусный. Парфюмер – Кристоф Рейно.;
19760300404;Bon Parfumeur Paris;BON PARFUMEUR PARIS 501 – praline, réglisse, patchouli;парфюмерная вода;Франция;10992;9892;https://goldapple.ru/19760300404-501-praline-reglisse-patchouli;1270.88;Пралине, лакрица, пачули – три характерные ноты аромата 501 от Bon Parfumeur. Сладкая выпечка и пудровые ноты ириса сочетаются в гурманском аромате, идеальном и для шопинга с подругами, и для романтического ужина при свечах. Композицию открывает яркий взрыв цитрусовых нот. В сердце аромата лакомые ноты пралине и пикантная пряность лакрицы дополняют звучание переливчатого пудрового аккорда. Нежные ваниль и мускус подчеркивают уникальный характер романтичного сочетания.  Верхние ноты: бергамот, фундук, юзу.  Ноты сердца: ирис, пралине, лакрица. Базовые ноты: кашмеран, амбра, мускус, пачули.;
19760302794;Givenchy;GIVENCHY  IRRESISTIBLE;парфюмерная вода;Франция;13450;13450;https://goldapple.ru/19760302794-irresistible;988.82;Новый аромат IRRESISTIBLE GIVENCHY Eau de Parfum бросает вызов всем законам притяжения. Его магнетическая сила очаровывает и захватывает нас вихрем великолепного свободного танца.  Композиция IRRESISTIBLE GIVENCHY представляет собой красочный дуэт роскошной розы и аккорда светлого дерева. Восхитительная Роза сверкает, раскрываясь в начале фруктовыми сочными гранями, подчеркнутыми игривым трио Груши, Амбретты и пудровой ноты Ириса. Это великолепное цветочно - фруктовое сочетание, в танце с аккордом Кедра и Янтарного дерева, создает легкое волнение перед тем, как объединиться с едва уловимой нотой Мускуса.   Наполненный особым духом, энергичный и озорной аромат парфюмерной воды IRRESISTIBLE GIVENCHY - настоящий концентрат соблазнения, наполненный очарованием и женственностью. Его спонтанность заразительна и невероятно увлекательна. Темп задан. А вы готовы присоединиться к танцу?;
26730600001;Byredo;BYREDO Bal d`Afrique;парфюмерная вода;Испания;45110;27066;https://goldapple.ru/26730600001-bal-d-afrique;896.76;Ревущие двадцатые годы… В знаменитом Мулен Руж жарче, чем в самой Африке, ведь на сцене Жозефина Бейкер! Черная жемчужина, танцующая богиня, ставшая символом эпохи! Воплощение самых смелых мужских фантазий.  Bal d’Afrique – страстная смесь теплых и романтических нот ветивера, навеянная образом Парижа конца 20-х годов, африканской культурой, искусством, музыкой и танцами. Парижский авангард и африканская культура создают странное, полное энергии и страстей сочетание.;
28330100005;THOMAS KOSMALA;THOMAS KOSMALA № 4 Après l'Amour;парфюмерная вода;Франция;22510;20259;https://goldapple.ru/28330100005-no-4-apres-l-amour;828.92;Утонченный, многогранный аромат THOMAS KOSMALA отражает чувственный момент прикосновения кожи к коже. Парфюмерная композиция, таящая в своем сердце специи, воплощает томное настроение и энергию любви. Горький апельсин и лимонная цедра создают сияние верхних нот и постепенно остывают до базовых нот мускуса, амбры и сухого древесного аккорда.   Обращаем внимание, цвет аромата может незначительно отличаться вследствие наличия в составе натуральных природных компонентов, используемых для производства товара.;
80284600001;Bvlgari;BVLGARI Man Wood Essence;парфюмерная вода;Италия;12445;12445;https://goldapple.ru/80284600001-man-wood-essence;785.28;BVLGARI MAN WOOD ESSENCE оптимизирует сильные связи между городом и природой. Привнося городскую жизнь и широкие просторы, новый парфюм соединяет человека с его собственной внутренней силой. В притягательной композиции мягко смешаны ноты трех твердых пород дерева - Кедра, Кипариса и Ветивера - резонируя с теплыми и солнечными нотами смолы Бензоина. Невероятная свежесть с оттенком итальянской цедры и тонко ароматными зелеными акцентами кориандра.;
83800100001;ESSENTIAL PARFUMS PARIS;ESSENTIAL PARFUMS PARIS Orange X Santal;парфюмерная вода;Франция;2876;2013;https://goldapple.ru/83800100001-orange-x-santal;756.24;Парфюмер – Natalie Gracia Cetto. «Я представила себе свежий и чувственный аромат, в котором искристые и сочные ноты горького апельсина из Италии играют с великолепным, нежным сандалом из Австралии».  Orange X Santal – это светлый, радостный и чувственный аромат. Ноты горького апельсина и сандалового дерева, излучающие тепло и свет, переносят вас на побережье Италии. Сочная мякоть цитруса и лёгкая горечь его кожуры создают идеальную гармонию, которую дополняет зеленая нота базилика из Египта. Французский дубовый мох формирует шипровый аккорд, а кипарис из Франции и австралийский сандал закрепляют светлые верхние ноты.  Создатели парфюмерной воды ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы. Для производства Orange X Santal используется масло сандала, полученное в Западной Австралии. Это позволяет обеспечить постоянный доход для местных общин и стабильные поставки ценного ингредиента. . Обращаем внимание, флакон аромата может отличаться от фото в интернет-магазине.  Товар может быть представлен с колпачком или без него.;
26375200002;Tom Ford;TOM FORD Ombré Leather;парфюмерная вода;Швейцария;26500;21200;https://goldapple.ru/26375200002-ombre-leather;694.82;TOM FORD OMBRÉ LEATHER - цветочный кожаный аромат напоминает пейзаж американского юго-запада, где скалы и песчаные дюны простираются вдаль, сливаясь воедино с горизонтом. Пряные пачули и ветивер делают чувственные ноты кожи еще более осязаемыми, а вся красота дикой пустыни раскрывается нотами белых цветов жасмина самбак. Сочетание нот амбры и мха позволяют ощутить жар, исходящий от скал и раскаленных песков пустыни. «OMBRÉ LEATHER — фактурная композиция, впечатляющая своей осязаемой чувственностью. С этим ароматом ощущаешь себя особенным, не похожим ни на кого, привлекательным и желанным», — ТОМ ФОРД. TOM FORD OMBRÉ LEATHER EAU DE PARFUM заключен в гладкий матовый черный флакон с логотипом из искусственной кожи.;Нанесите аромат на запястья, шею и точки пульса на очищенную и увлажненную кожу. Не растирайте.
7190300009;DIOR;DIOR J'Adore;парфюмерная вода;Франция;18750;18750;https://goldapple.ru/7190300009-j-adore;598.78;Парфюмерная вода J'adore - невероятный цветочный аромат для женщин. Этот букет продуман до последней детали как прекрасный Уникальный цветок. Эссенция Иланг-Иланга раскрывает свои цветочно-фруктовые ноты. Роскошная Дамасская Роза пробуждает чувства, а гармоничный дуэт Грасского Жасмина Грандифлорум и Жасмина Самбак вторит ей.  Изменение цвета туалетной воды не является браком. С течением времени аромат может приобретать более розовый оттенок. Изменение цвета не влияет на парфюмерные свойства (аромат остается неизменным) и на его безопасность использования.;
19000200199;Neydo;NEYDO Blond redhead 16.11;парфюмерная вода;Франция;6200;5580;https://goldapple.ru/19000200199-blond-redhead-16-11;545.2;Сон Антуана о необыкновенной встрече в парижской кондитерской, наполненной запахом фруктов, ванили и шоколада с легкими нотами специй и дерева. Капля риска, щепотка уверенности в себе – и вуаля! – аромат-предсказание готов. Свежие цветочные ноты роз и фрезий, дополненные нюансами сухофруктов и земли… Этот сон точно сбудется! Antoine, 16.11 Ну вот и все – последний клубничный макарун нашел свое место. Витрина, над которой я тружусь с самого утра, наконец-то оформлена. Пора и передохнуть. Но не успеваю даже присесть, как в кондитерскую входит ОНА. Настоящая француженка – небрежная прическа, волосы цвета клубничный блонд, в одной руке букет фрезий, в другой – пакеты с покупками. Такими женщинами я восхищаюсь издалека. Вблизи же впадаю в ступор, меня буквально парализует. А ОНА бродит по кондитерской, и к нашему привычному запаху ванили вдруг добавляется аромат сухофруктов и теплой земли. «Excusez-moi», – указывает ОНА на торт с начинкой из инжира и розовых лепестков. Как зомби снимаю стеклянный клош, и воздух наполняется сладким ароматом. «Délicieuse», – шепчет ОНА. Какой у нее бархатный волнующий голос! Скажи еще что-нибудь, ну пожалуйста… Торт вырывается из моих рук, кувыркается и падает, взрываясь сливочным кремом. Бах! Цветки фрезий разбросаны по полу.  Ее волосы в креме, крем на моей щеке. Я смущен, нужно как-то извиниться, но не могу! И вдруг… ОНА начинает хохотать. Я тоже. Протягиваю руку, чтобы смахнуть крошки с ее шелковой блузки. Какое декольте! Она шепчет: «Délicieuse… Délici… deli…» – «De-di-di» – настойчиво звонит будильник. Просыпаюсь, облизывая сухие губы. Как же не вовремя! Страна происхождения товара может отличаться (Республика Корея/Франция).;Только для наружного применения.
