article;brand;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
7430100016;Versace;VERSACE Versense;туалетная вода;Италия;7600;5700;https://goldapple.ru/7430100016-versense;2239.68;Туалетная вода Versace Versense подойдет романтическим и независимым натурам. В ее цветочно-древесном аромате переплелись безграничная свежесть и глубокая чувственность. Вместе они рождают невероятное наслаждение, ощущение свободы. Верхними нотками этой туалетной воды являются утонченный бергамот, травянистая опунция, искрящийся мандарин. В сердце ее аромата спрятаны нежный жасмин, кардамон с оттенком лимона и легким следом эвкалипта. В шлейфе воды Versense древесные нотки сандала и кедра, дополненные мускусом. Такая композиция гармонична, несмотря на свою разнородность. Она наполнена жизненной энергией. Недаром эта вода марки Versace так популярна у представительниц прекрасного пола.;
7430600002;Versace;VERSACE Bright Crystal;туалетная вода;Италия;10500;7875;https://goldapple.ru/7430600002-bright-crystal;1932.48;Всепоглощающая страсть, кристальная прозрачность, яркое великолепие.  Манящий и роскошный аромат для женщины Versace, сильной и уверенной, и в то же время очень женственной и чувственной, и всегда эффектной. Для женщины, которой понравится окутывающая дымка аромата с деликатными нотками яркого и сочного граната, ледяной свежести и сверкающего юзу. В сердце аромата непревзойденный по чистоте и роскоши звучания аккорд магнолии, пиона и цветов лотоса, а в шлейфе — утонченная чувственность и притягательная сила амбры, красного дерева и мускуса. Аромат заключён в элегантный флакон и увенчан великолепной крышкой, ограненной как бриллиант;
7430800010;Versace;VERSACE Eros;туалетная вода;Италия;7300;5475;https://goldapple.ru/7430800010-eros;1042.72;"Уникальная аура, чувственное прикосновение, несокрушимая мужественность - таковы ключевые ноты оды любви, воспеваемой Эросом, страстным и непреклонным соблазнителем. Новый аромат олицетворяет абсолютную мужественность, соединяя в единое целое: искрящуюся ауру яркой, вибрирующей, экстраординарной свежести листьев Мяты, цедры Итальянского Лимона и Зеленого Яблока; захватывающую чувственность интригующий, восточных, обволакивающих нот Бобов Тонка, Амброксана (Амбры), цветов Герани и Ванили; соблазнительную мужественность, воплощенную в древесном шлейфе Атласского и Виргинского Кедра, Ветивера и Дубового мха, привносящих в аромат интенсивный оттенок мощи и власти.";
7273800003;Kenzo;KENZO L'EAU KENZO Pour Femme;туалетная вода;Франция;10790;10790;https://goldapple.ru/7273800003-l-eau-kenzo-pour-femme;733.44;Культовый аромат L’EAU KENZO - легендарная свежесть теперь в новом дизайне. Вдохновленный природой L’EAU KENZO объединяет в себе аромат цветов, фруктов, свежести и счастья. Акватическая фруктово-цветочная композиция, созданная Оливье Креспом, построена вокруг цветка лотоса, окутанного морозным бризом с сочными нотами персика.  Прозрачный флакон L’EAU KENZO напоминает один из жизненно важных природных элементов – воду: вертикальный дизайн подчёркивает её монументальную силу, а изгибы напоминают волны на её поверхности. В своём стремлении делать мир прекрасней KENZO PARFUMS внедряет новые, экологичные подходы к своей работе: флакон L’EAU KENZO на 15% состоит из переработанного стекла, упаковка изготовлена из картона, полученного из экологически чистых источников и имеющего сертификат FSC® (Forest Stewardship Council®), печать произведена биочернилами.   Также в продаже обновленный дизайн мужской версии туалетной воды L’EAU KENZO. Откройте для себя неизведанные грани L’EAU KENZO в новом дизайне #LEAUKENZO;Только для наружного применения
7291300004;RABANNE;RABANNE 1 Million;туалетная вода;Франция;13858;9700;https://goldapple.ru/7291300004-1-million;691.2;Туалетная вода Rabanne 1 Million — это идеальный выбор для денди, который обладает манерами и во всем стремится быть первым. Главная его задача — добиться цели и реализовать мечту.  Аромат Rabanne воплотил в себе силу и власть золота. Парфюм подчеркивает лучшие качества обладателя: цитрусовые ноты освежают и обращают на себя внимание, травяные аккорды придают образу дерзости и решительности. Древесная композиция туалетной воды акцентирует внимание на стиле и элегантности. Корица делает образ гармоничным и чувственным, а мята — бодрит и поднимает настроение.  Шлейф, который оставляет после себя 1 Million, оставляет лишь чувство восхищения.  Внешний вид товара может отличаться.;
7203100001;Dolce & Gabbana;DOLCE & GABBANA K by Dolce & Gabbana;туалетная вода;Франция;9891;6626;https://goldapple.ru/7203100001-k-by-dolce-gabbana;465.6;Аромат K by Dolce&Gabbana символизирует новую эру мужественности. Свежие ноты цитрусов, красного апельсина и сицилийского лимона, воссоздают атмосферу теплого полудня на лоне итальянской природы. Яркий и мужественный аромат дополнен освежающим звучанием ягод можжевельника. Затем раскрываются чувственные пульсирующие ноты благородного кедра, плавно сменяясь оттенками зеленого ветивера и пачули. Неожиданная искрящаяся нота эссенции красного перца наделяет композицию неповторимым, огненным и энергичным характером. K by Dolce&Gabbana — это бодрящий и вдохновляющий мужской аромат.;
19000107891;Guerlain;GUERLAIN Aqua Allegoria Mandarine Basilic;туалетная вода;Франция;11900;11900;https://goldapple.ru/19000107891-aqua-allegoria-mandarine-basilic;392.92;Mandarine Basilic - это радостный аромат, созданный на основе мандарина, самого вкусного и сочного фрукта семейства цитрусовых.  Душистый и искрящийся цитрусовый аромат. Сочная и терпкая мякоть мандарина, собранного на юге Италии, перекликается со свежим ароматом базилика и наполняется энергией зелёного чая в сочетании с древесными нотами.  Настоящая ода чудесам природы, ароматы Aqua Allegoria являются отражением бережного отношения Guerlain к природным ресурсам. Они содержат до 95% натуральных ингредиентов*, изготовляются на основе органического свекольного спирта и помещены во флакон, состоящий на 15% из переработанного стекла, созданного полностью во Франции.  *От 90 до 95% ингредиентов натурального происхождения, в соответствии со стандартом ISO 16128, учитывая качество воды.;Нанести на тело или одежду, избегая попадания в глаза.
7181400002;Carolina Herrera;CAROLINA HERRERA CH Men;туалетная вода;Испания;10233;7163;https://goldapple.ru/7181400002-ch-men;311.04;Туалетная вода Carolina Herrera CH Men построена на контрасте ароматов. Солнечные и вяжущие нотки бергамота и яркого грейпфрута, дополняются сладким ароматом ванильного сахара и ведут к шлейфу из пряного шафрана и муската. Дополняется композиция теплым запахом дерева, аккордами мха дуба, кожи и амбры. Стильный и экстравагантный запах туалетной воды зовет за собой в далекие путешествия, придавая еще большей мужественности своему владельцу. Вода CH Men отличается стойкостью запаха, приятно расположившегося шлейфом по всей коже. Аромат от Carolina Herrera упакован во флакон лаконичной формы, дополнен брутальными элементами.;
19760330462;Banderas;BANDERAS her secret desire;туалетная вода;Испания;4242;3605;https://goldapple.ru/19760330462-her-secret-desire;242.88;Antonio представляет Her Secret Desire, парфюмерное творение, которое стало неотъемлемой частью вселенной ароматов The Secret. Женский аромат, в котором Соблазн раскрывает чувства и открывает эту самую сокровенную тайну - ваши самые глубокие, самые тайные желания… Путешествие чувств начинается с цитрусового взрыва бергамота и сочной малины. Чтобы чувства обострились до максимума, в основу аромата добавили цветочный букет из жасмина самбак и нероли. Ирис, окутанный в сладостную древесину сандала и бальзамической ели, таит в себе ноты бархатистой ванили.;
7230200001;GUCCI;GUCCI Rush;туалетная вода;Испания;11500;8050;https://goldapple.ru/7230200001-rush;73.5;"Туалетная вода Gucci Rush. Красная губная помада, туфли на тонкой шпильке, открытое платье и несколько капель пьянящих духов, заставляющих мужские сердца замирать в ожидании их таинственной богини. Композиция запаха открывается деликатными прикосновениями лепестков африканской фрезии, персика и калифорнийской гардении, на смену которым приходят нежные, словно трепетная мечта, ноты сердца: жасмин, дамасская роза и кориандр. К концу дня на кожу оседает мягкое, чарующее облако из нот витивера, ванили и пачули. Аромат: Восточный цветочный. ВЕРХНИЕ НОТЫ: Фрезия Кориандр; СРЕДНИЕ НОТЫ: Жасмин Роза Гардения; ШЛЕЙФ: Ваниль Пачули Ветивер.";
